State,ZipCode,EstimatedCombinedRate
AK,99501,0.000000
AK,99502,0.000000
AK,99503,0.000000
AK,99504,0.000000
AK,99505,0.000000
AK,99506,0.000000
AK,99507,0.000000
AK,99508,0.000000
AK,99509,0.000000
AK,99510,0.000000
AK,99511,0.000000
AK,99513,0.000000
AK,99514,0.000000
AK,99515,0.000000
AK,99516,0.000000
AK,99517,0.000000
AK,99518,0.000000
AK,99519,0.000000
AK,99520,0.000000
AK,99521,0.000000
AK,99522,0.000000
AK,99523,0.000000
AK,99524,0.000000
AK,99529,0.000000
AK,99530,0.000000
AK,99540,0.000000
AK,99545,0.000000
AK,99546,0.040000
AK,99547,0.000000
AK,99548,0.000000
AK,99549,0.000000
AK,99550,0.000000
AK,99551,0.000000
AK,99552,0.000000
AK,99553,0.000000
AK,99554,0.040000
AK,99555,0.050000
AK,99556,0.030000
AK,99557,0.020000
AK,99558,0.000000
AK,99559,0.060000
AK,99561,0.020000
AK,99563,0.030000
AK,99564,0.000000
AK,99565,0.060000
AK,99566,0.000000
AK,99567,0.000000
AK,99568,0.030000
AK,99569,0.060000
AK,99571,0.000000
AK,99572,0.030000
AK,99573,0.000000
AK,99574,0.060000
AK,99575,0.000000
AK,99576,0.060000
AK,99577,0.000000
AK,99578,0.020000
AK,99579,0.000000
AK,99580,0.000000
AK,99581,0.040000
AK,99583,0.030000
AK,99585,0.040000
AK,99586,0.000000
AK,99587,0.000000
AK,99588,0.000000
AK,99589,0.000000
AK,99590,0.000000
AK,99591,0.000000
AK,99599,0.000000
AK,99602,0.000000
AK,99603,0.078500
AK,99604,0.050000
AK,99605,0.030000
AK,99606,0.030000
AK,99607,0.000000
AK,99608,0.000000
AK,99609,0.000000
AK,99610,0.030000
AK,99611,0.060000
AK,99612,0.060000
AK,99613,0.000000
AK,99614,0.000000
AK,99615,0.070000
AK,99619,0.070000
AK,99620,0.030000
AK,99621,0.050000
AK,99622,0.000000
AK,99623,0.000000
AK,99624,0.030000
AK,99625,0.000000
AK,99626,0.000000
AK,99627,0.000000
AK,99628,0.020000
AK,99629,0.025000
AK,99630,0.040000
AK,99631,0.030000
AK,99632,0.030000
AK,99633,0.000000
AK,99634,0.050000
AK,99635,0.030000
AK,99636,0.000000
AK,99637,0.020000
AK,99638,0.000000
AK,99639,0.030000
AK,99640,0.000000
AK,99641,0.040000
AK,99643,0.030000
AK,99644,0.060000
AK,99645,0.030000
AK,99647,0.000000
AK,99648,0.000000
AK,99649,0.000000
AK,99650,0.040000
AK,99651,0.000000
AK,99652,0.000000
AK,99653,0.000000
AK,99654,0.025000
AK,99655,0.030000
AK,99656,0.000000
AK,99657,0.000000
AK,99658,0.030000
AK,99659,0.040000
AK,99660,0.035000
AK,99661,0.040000
AK,99662,0.060000
AK,99663,0.095000
AK,99664,0.070000
AK,99665,0.000000
AK,99666,0.040000
AK,99667,0.000000
AK,99668,0.000000
AK,99669,0.060000
AK,99670,0.000000
AK,99671,0.040000
AK,99672,0.030000
AK,99674,0.000000
AK,99675,0.000000
AK,99676,0.030000
AK,99677,0.000000
AK,99678,0.020000
AK,99679,0.000000
AK,99680,0.000000
AK,99681,0.000000
AK,99682,0.030000
AK,99683,0.000000
AK,99684,0.050000
AK,99685,0.030000
AK,99686,0.000000
AK,99687,0.025000
AK,99688,0.000000
AK,99689,0.050000
AK,99690,0.020000
AK,99691,0.000000
AK,99692,0.030000
AK,99693,0.050000
AK,99694,0.020000
AK,99695,0.000000
AK,99697,0.070000
AK,99701,0.000000
AK,99702,0.000000
AK,99703,0.000000
AK,99704,0.000000
AK,99705,0.055000
AK,99706,0.000000
AK,99707,0.000000
AK,99708,0.000000
AK,99709,0.000000
AK,99710,0.000000
AK,99711,0.000000
AK,99712,0.000000
AK,99714,0.000000
AK,99716,0.000000
AK,99720,0.000000
AK,99721,0.000000
AK,99722,0.000000
AK,99723,0.000000
AK,99724,0.000000
AK,99725,0.000000
AK,99726,0.000000
AK,99727,0.060000
AK,99729,0.000000
AK,99730,0.000000
AK,99731,0.000000
AK,99732,0.000000
AK,99733,0.000000
AK,99734,0.000000
AK,99736,0.030000
AK,99737,0.000000
AK,99738,0.000000
AK,99739,0.030000
AK,99740,0.030000
AK,99741,0.030000
AK,99742,0.030000
AK,99743,0.000000
AK,99744,0.000000
AK,99745,0.000000
AK,99746,0.000000
AK,99747,0.000000
AK,99748,0.000000
AK,99749,0.030000
AK,99750,0.020000
AK,99751,0.030000
AK,99752,0.060000
AK,99753,0.030000
AK,99754,0.000000
AK,99755,0.000000
AK,99756,0.000000
AK,99757,0.000000
AK,99758,0.000000
AK,99759,0.000000
AK,99760,0.040000
AK,99761,0.000000
AK,99762,0.050000
AK,99763,0.040000
AK,99764,0.000000
AK,99765,0.000000
AK,99766,0.030000
AK,99767,0.000000
AK,99768,0.000000
AK,99769,0.040000
AK,99770,0.065000
AK,99771,0.040000
AK,99772,0.030000
AK,99773,0.020000
AK,99774,0.000000
AK,99775,0.000000
AK,99776,0.000000
AK,99777,0.020000
AK,99778,0.030000
AK,99780,0.000000
AK,99781,0.000000
AK,99782,0.000000
AK,99783,0.030000
AK,99784,0.010000
AK,99785,0.030000
AK,99786,0.030000
AK,99788,0.000000
AK,99789,0.000000
AK,99790,0.000000
AK,99791,0.000000
AK,99801,0.050000
AK,99802,0.050000
AK,99803,0.050000
AK,99811,0.050000
AK,99812,0.050000
AK,99820,0.030000
AK,99821,0.050000
