State,ZipCode,EstimatedCombinedRate
AL,35004,0.100000
AL,35005,0.100000
AL,35006,0.090000
AL,35007,0.090000
AL,35010,0.100000
AL,35011,0.100000
AL,35013,0.100000
AL,35014,0.085000
AL,35015,0.100000
AL,35016,0.125000
AL,35019,0.085000
AL,35020,0.100000
AL,35021,0.100000
AL,35022,0.100000
AL,35023,0.100000
AL,35031,0.090000
AL,35032,0.070000
AL,35033,0.085000
AL,35034,0.100000
AL,35035,0.080000
AL,35036,0.100000
AL,35038,0.060000
AL,35040,0.120000
AL,35042,0.100000
AL,35043,0.100000
AL,35044,0.090000
AL,35045,0.100000
AL,35046,0.100000
AL,35048,0.100000
AL,35049,0.090000
AL,35051,0.100000
AL,35052,0.060000
AL,35053,0.085000
AL,35054,0.100000
AL,35055,0.090000
AL,35056,0.090000
AL,35057,0.090000
AL,35058,0.090000
AL,35060,0.100000
AL,35061,0.100000
AL,35062,0.100000
AL,35063,0.080000
AL,35064,0.100000
AL,35068,0.100000
AL,35070,0.090000
AL,35071,0.100000
AL,35072,0.090000
AL,35073,0.100000
AL,35074,0.090000
AL,35077,0.090000
AL,35078,0.100000
AL,35079,0.090000
AL,35080,0.100000
AL,35082,0.080000
AL,35083,0.085000
AL,35085,0.110000
AL,35087,0.100000
AL,35089,0.100000
AL,35091,0.100000
AL,35094,0.100000
AL,35096,0.100000
AL,35097,0.090000
AL,35098,0.085000
AL,35111,0.100000
AL,35112,0.100000
AL,35114,0.090000
AL,35115,0.100000
AL,35116,0.100000
AL,35117,0.100000
AL,35118,0.100000
AL,35119,0.100000
AL,35120,0.100000
AL,35121,0.120000
AL,35123,0.100000
AL,35124,0.090000
AL,35125,0.100000
AL,35126,0.100000
AL,35127,0.100000
AL,35128,0.100000
AL,35130,0.100000
AL,35131,0.100000
AL,35133,0.090000
AL,35135,0.100000
AL,35136,0.090000
AL,35137,0.070000
AL,35139,0.080000
AL,35142,0.077500
AL,35143,0.080000
AL,35144,0.090000
AL,35146,0.100000
AL,35147,0.100000
AL,35148,0.100000
AL,35149,0.070000
AL,35150,0.090000
AL,35151,0.090000
AL,35160,0.100000
AL,35161,0.100000
AL,35171,0.110000
AL,35172,0.090000
AL,35173,0.100000
AL,35175,0.110000
