State,ZipCode,EstimatedCombinedRate
AR,65761,0.082500
AR,71277,0.085000
AR,71601,0.100000
AR,71602,0.100000
AR,71603,0.100000
AR,71611,0.100000
AR,71612,0.087500
AR,71613,0.100000
AR,71630,0.100000
AR,71631,0.085000
AR,71635,0.097500
AR,71638,0.105000
AR,71639,0.110000
AR,71640,0.105000
AR,71642,0.090000
AR,71643,0.115000
AR,71644,0.095000
AR,71646,0.110000
AR,71647,0.105000
AR,71651,0.085000
AR,71652,0.107500
AR,71653,0.105000
AR,71654,0.110000
AR,71655,0.097500
AR,71656,0.097500
AR,71657,0.097500
AR,71658,0.087500
AR,71659,0.077500
AR,71660,0.097500
AR,71661,0.090000
AR,71662,0.080000
AR,71663,0.090000
AR,71665,0.107500
AR,71666,0.080000
AR,71667,0.097500
AR,71670,0.087500
AR,71671,0.097500
AR,71674,0.080000
AR,71675,0.087500
AR,71676,0.100000
AR,71677,0.087500
AR,71678,0.085000
AR,71701,0.102500
AR,71711,0.102500
AR,71720,0.095000
AR,71721,0.080000
AR,71722,0.085000
AR,71724,0.085000
AR,71725,0.097500
AR,71726,0.105000
AR,71728,0.080000
AR,71730,0.097500
AR,71731,0.097500
AR,71740,0.090000
AR,71742,0.100000
AR,71743,0.095000
AR,71744,0.095000
AR,71745,0.090000
AR,71747,0.085000
AR,71748,0.085000
AR,71749,0.095000
AR,71750,0.085000
AR,71751,0.085000
AR,71752,0.085000
AR,71753,0.103750
AR,71754,0.103750
AR,71758,0.085000
AR,71759,0.085000
AR,71762,0.085000
AR,71763,0.095000
AR,71764,0.095000
AR,71765,0.095000
AR,71766,0.100000
AR,71770,0.085000
AR,71772,0.080000
AR,71801,0.095000
AR,71802,0.095000
AR,71820,0.093750
AR,71822,0.113750
AR,71823,0.096250
AR,71825,0.100000
AR,71826,0.097500
AR,71827,0.087500
AR,71828,0.085000
AR,71831,0.092500
AR,71832,0.106250
AR,71833,0.102500
AR,71834,0.077500
AR,71835,0.085000
AR,71836,0.103750
AR,71837,0.087500
AR,71838,0.100000
AR,71839,0.087500
AR,71840,0.077500
AR,71841,0.126250
AR,71842,0.106250
AR,71845,0.097500
AR,71846,0.103750
AR,71847,0.100000
AR,71851,0.102500
AR,71852,0.102500
AR,71853,0.093750
AR,71854,0.102500
AR,71855,0.085000
AR,71857,0.095000
AR,71858,0.095000
AR,71859,0.092500
AR,71860,0.097500
AR,71861,0.100000
AR,71862,0.095000
AR,71864,0.085000
AR,71865,0.103750
AR,71866,0.093750
AR,71901,0.095000
AR,71902,0.095000
AR,71903,0.095000
AR,71909,0.080000
AR,71910,0.080000
AR,71913,0.095000
AR,71914,0.095000
AR,71920,0.080000
AR,71921,0.095000
AR,71922,0.085000
AR,71923,0.100000
AR,71929,0.080000
AR,71932,0.085000
AR,71933,0.095000
AR,71935,0.095000
AR,71937,0.105000
AR,71940,0.095000
AR,71941,0.080000
AR,71942,0.080000
AR,71943,0.100000
AR,71944,0.095000
AR,71945,0.095000
AR,71949,0.095000
AR,71950,0.085000
AR,71952,0.085000
AR,71953,0.095000
AR,71956,0.080000
AR,71957,0.105000
AR,71958,0.100000
AR,71959,0.092500
AR,71960,0.105000
AR,71961,0.095000
AR,71962,0.080000
AR,71964,0.080000
AR,71965,0.095000
AR,71966,0.095000
AR,71968,0.095000
AR,71969,0.095000
AR,71970,0.095000
AR,71971,0.092500
AR,71972,0.095000
AR,71973,0.095000
AR,71998,0.100000
AR,71999,0.100000
AR,72001,0.092500
AR,72002,0.105000
AR,72003,0.085000
AR,72004,0.087500
AR,72005,0.087500
AR,72006,0.095000
AR,72007,0.100000
AR,72010,0.097500
AR,72011,0.093750
AR,72012,0.095000
AR,72013,0.082500
AR,72014,0.092500
AR,72015,0.098750
AR,72016,0.092500
AR,72017,0.080000
AR,72018,0.093750
AR,72019,0.098750
AR,72020,0.102500
AR,72021,0.095000
AR,72022,0.098750
AR,72023,0.100000
AR,72024,0.101250
AR,72025,0.092500
AR,72026,0.075000
AR,72027,0.082500
AR,72028,0.080000
AR,72029,0.105000
AR,72030,0.082500
AR,72031,0.090000
AR,72032,0.087500
AR,72033,0.087500
AR,72034,0.087500
AR,72035,0.087500
AR,72036,0.095000
AR,72037,0.080000
AR,72038,0.075000
AR,72039,0.090000
AR,72040,0.110000
AR,72041,0.100000
AR,72042,0.110000
AR,72043,0.097500
AR,72044,0.081250
AR,72045,0.082500
AR,72046,0.110000
AR,72047,0.070000
AR,72048,0.075000
AR,72051,0.080000
AR,72052,0.082500
AR,72053,0.075000
AR,72055,0.105000
AR,72057,0.097500
AR,72058,0.095000
AR,72059,0.085000
AR,72060,0.082500
AR,72061,0.085000
AR,72063,0.082500
AR,72064,0.110000
AR,72065,0.077500
AR,72066,0.080000
AR,72067,0.091250
AR,72068,0.092500
AR,72069,0.095000
AR,72070,0.092500
AR,72072,0.090000
AR,72073,0.087500
AR,72074,0.085000
AR,72075,0.087500
AR,72076,0.095000
AR,72078,0.095000
AR,72079,0.077500
AR,72080,0.082500
AR,72081,0.097500
AR,72082,0.097500
AR,72083,0.090000
AR,72084,0.085000
AR,72085,0.082500
AR,72086,0.110000
AR,72087,0.080000
AR,72088,0.096250
AR,72089,0.098750
AR,72099,0.095000
AR,72101,0.095000
AR,72102,0.097500
AR,72103,0.086250
AR,72104,0.110000
AR,72106,0.095000
AR,72107,0.112500
AR,72108,0.065000
AR,72110,0.092500
AR,72111,0.082500
AR,72112,0.102500
AR,72113,0.095000
AR,72114,0.095000
AR,72115,0.095000
AR,72116,0.095000
AR,72117,0.095000
AR,72118,0.095000
AR,72119,0.095000
AR,72120,0.095000
AR,72121,0.092500
AR,72122,0.075000
AR,72123,0.095000
AR,72124,0.095000
AR,72125,0.092500
AR,72126,0.102500
AR,72127,0.112500
AR,72128,0.080000
AR,72129,0.077500
AR,72130,0.081250
AR,72131,0.096250
AR,72132,0.097500
AR,72133,0.077500
AR,72134,0.075000
AR,72135,0.092500
AR,72136,0.082500
AR,72137,0.102500
AR,72139,0.082500
AR,72140,0.095000
AR,72141,0.080000
AR,72142,0.095000
AR,72143,0.097500
AR,72145,0.097500
AR,72149,0.097500
AR,72150,0.097500
AR,72152,0.087500
AR,72153,0.096250
AR,72156,0.082500
AR,72157,0.082500
AR,72158,0.093750
AR,72160,0.105000
AR,72164,0.075000
AR,72165,0.080000
AR,72166,0.075000
AR,72167,0.080000
AR,72168,0.077500
AR,72169,0.087500
AR,72170,0.080000
AR,72173,0.097500
AR,72175,0.097500
AR,72176,0.100000
AR,72178,0.082500
AR,72179,0.081250
AR,72180,0.075000
AR,72181,0.070000
AR,72182,0.077500
AR,72183,0.075000
AR,72190,0.095000
AR,72199,0.095000
AR,72201,0.086250
AR,72202,0.086250
AR,72203,0.086250
AR,72204,0.086250
AR,72205,0.086250
AR,72206,0.095000
AR,72207,0.086250
AR,72209,0.086250
AR,72210,0.086250
AR,72211,0.095000
AR,72212,0.086250
AR,72214,0.086250
AR,72215,0.086250
AR,72216,0.086250
AR,72217,0.086250
AR,72219,0.086250
AR,72221,0.086250
AR,72222,0.086250
AR,72223,0.086250
AR,72225,0.086250
AR,72227,0.086250
AR,72231,0.095000
AR,72255,0.086250
AR,72260,0.086250
AR,72295,0.086250
AR,72301,0.102500
AR,72303,0.097500
AR,72310,0.090000
AR,72311,0.075000
AR,72312,0.085000
AR,72313,0.090000
AR,72315,0.105000
AR,72316,0.105000
AR,72319,0.105000
AR,72320,0.075000
AR,72321,0.090000
AR,72322,0.095000
AR,72324,0.105000
AR,72325,0.082500
AR,72326,0.113750
AR,72327,0.102500
AR,72328,0.085000
AR,72329,0.090000
AR,72330,0.090000
AR,72331,0.105000
AR,72332,0.082500
AR,72333,0.085000
AR,72335,0.113750
AR,72336,0.113750
AR,72338,0.090000
AR,72339,0.092500
AR,72340,0.095000
AR,72341,0.075000
AR,72342,0.105000
AR,72346,0.095000
AR,72347,0.095000
AR,72348,0.105000
AR,72350,0.102500
AR,72351,0.110000
AR,72352,0.075000
AR,72353,0.085000
AR,72354,0.097500
AR,72355,0.105000
AR,72358,0.100000
AR,72359,0.105000
AR,72360,0.095000
AR,72364,0.112500
AR,72365,0.102500
