State,ZipCode,EstimatedCombinedRate
AZ,85001,0.086000
AZ,85002,0.086000
AZ,85003,0.086000
AZ,85004,0.086000
AZ,85005,0.086000
AZ,85006,0.086000
AZ,85007,0.086000
AZ,85008,0.086000
AZ,85009,0.086000
AZ,85010,0.086000
AZ,85011,0.086000
AZ,85012,0.086000
AZ,85013,0.086000
AZ,85014,0.086000
AZ,85015,0.086000
AZ,85016,0.086000
AZ,85017,0.086000
AZ,85018,0.088000
AZ,85019,0.086000
AZ,85020,0.086000
AZ,85021,0.086000
AZ,85022,0.086000
AZ,85023,0.086000
AZ,85024,0.086000
AZ,85026,0.086000
AZ,85027,0.086000
AZ,85028,0.086000
AZ,85029,0.086000
AZ,85030,0.086000
AZ,85031,0.092000
AZ,85032,0.086000
AZ,85033,0.092000
AZ,85034,0.086000
AZ,85035,0.086000
AZ,85036,0.086000
AZ,85037,0.088000
AZ,85038,0.086000
AZ,85039,0.063000
AZ,85040,0.086000
AZ,85041,0.086000
AZ,85042,0.086000
AZ,85043,0.088000
AZ,85044,0.086000
AZ,85045,0.086000
AZ,85046,0.086000
AZ,85048,0.086000
AZ,85050,0.086000
AZ,85051,0.092000
AZ,85053,0.086000
AZ,85054,0.086000
AZ,85060,0.086000
AZ,85061,0.086000
AZ,85062,0.086000
AZ,85063,0.086000
AZ,85064,0.086000
AZ,85065,0.086000
AZ,85066,0.086000
AZ,85067,0.086000
AZ,85068,0.086000
AZ,85069,0.086000
AZ,85070,0.086000
AZ,85071,0.086000
AZ,85072,0.086000
AZ,85073,0.063000
AZ,85074,0.086000
AZ,85075,0.086000
AZ,85076,0.086000
AZ,85078,0.086000
AZ,85079,0.086000
AZ,85080,0.086000
AZ,85082,0.086000
AZ,85083,0.086000
AZ,85085,0.086000
AZ,85086,0.086000
AZ,85087,0.093000
AZ,85117,0.091000
AZ,85118,0.091000
AZ,85119,0.091000
AZ,85120,0.091000
AZ,85121,0.087000
AZ,85122,0.087000
AZ,85123,0.067000
AZ,85127,0.063000
AZ,85128,0.097000
AZ,85130,0.087000
AZ,85131,0.097000
AZ,85132,0.087000
AZ,85135,0.096000
AZ,85137,0.107000
AZ,85138,0.087000
AZ,85139,0.088000
AZ,85140,0.089500
AZ,85141,0.067000
AZ,85142,0.089500
AZ,85143,0.087000
AZ,85145,0.067000
AZ,85147,0.082000
AZ,85172,0.067000
AZ,85173,0.107000
AZ,85178,0.091000
AZ,85190,0.066000
AZ,85191,0.097000
AZ,85192,0.101000
AZ,85193,0.097000
AZ,85194,0.097000
AZ,85201,0.083000
AZ,85202,0.083000
AZ,85203,0.083000
AZ,85204,0.083000
AZ,85205,0.083000
AZ,85206,0.083000
AZ,85207,0.083000
AZ,85208,0.091000
AZ,85209,0.083000
AZ,85210,0.083000
AZ,85211,0.083000
AZ,85212,0.083000
AZ,85213,0.083000
AZ,85214,0.083000
AZ,85215,0.083000
AZ,85216,0.083000
AZ,85224,0.083000
AZ,85225,0.078000
AZ,85226,0.081000
AZ,85233,0.078000
AZ,85234,0.083000
AZ,85236,0.078000
AZ,85244,0.078000
AZ,85246,0.078000
AZ,85248,0.082000
AZ,85249,0.082000
AZ,85250,0.088000
AZ,85251,0.086000
AZ,85252,0.080500
AZ,85253,0.088000
AZ,85254,0.086000
AZ,85255,0.086000
AZ,85256,0.080500
AZ,85257,0.086000
AZ,85258,0.080500
AZ,85259,0.080500
AZ,85260,0.080500
AZ,85261,0.080500
AZ,85262,0.080500
AZ,85263,0.063000
AZ,85264,0.063000
AZ,85266,0.093000
AZ,85267,0.080500
AZ,85268,0.092000
AZ,85269,0.092000
AZ,85271,0.080500
AZ,85274,0.083000
AZ,85275,0.083000
AZ,85277,0.083000
AZ,85280,0.081000
AZ,85281,0.083000
AZ,85282,0.081000
AZ,85283,0.103000
AZ,85284,0.081000
AZ,85285,0.081000
AZ,85286,0.078000
AZ,85287,0.081000
AZ,85288,0.083000
AZ,85295,0.078000
AZ,85296,0.083000
AZ,85297,0.078000
AZ,85298,0.085500
AZ,85299,0.078000
AZ,85301,0.092000
AZ,85302,0.092000
AZ,85303,0.092000
AZ,85304,0.092000
AZ,85305,0.092000
AZ,85306,0.092000
AZ,85307,0.092000
AZ,85308,0.092000
AZ,85309,0.092000
AZ,85310,0.092000
AZ,85311,0.092000
AZ,85312,0.092000
AZ,85318,0.092000
AZ,85320,0.063000
AZ,85321,0.061000
AZ,85322,0.063000
AZ,85323,0.088000
AZ,85324,0.063500
AZ,85325,0.066000
AZ,85326,0.093000
AZ,85327,0.093000
AZ,85328,0.066000
AZ,85329,0.088000
AZ,85331,0.093000
AZ,85332,0.063500
AZ,85333,0.067120
AZ,85334,0.066000
AZ,85335,0.093000
AZ,85336,0.107120
AZ,85337,0.098000
AZ,85338,0.093000
AZ,85339,0.086000
AZ,85340,0.093000
AZ,85341,0.061000
AZ,85342,0.063500
AZ,85343,0.063000
AZ,85344,0.086000
AZ,85345,0.093000
AZ,85346,0.091000
AZ,85347,0.067120
AZ,85348,0.066000
AZ,85349,0.107120
AZ,85350,0.107120
AZ,85351,0.093000
AZ,85352,0.067120
AZ,85353,0.088000
AZ,85354,0.063000
AZ,85355,0.092000
AZ,85356,0.102120
AZ,85357,0.066000
AZ,85358,0.085000
AZ,85359,0.091000
AZ,85360,0.056000
AZ,85361,0.085000
AZ,85362,0.063500
AZ,85363,0.093000
AZ,85364,0.084120
AZ,85365,0.084120
AZ,85366,0.084120
AZ,85367,0.067120
AZ,85369,0.084120
AZ,85371,0.066000
AZ,85372,0.063000
AZ,85373,0.081000
AZ,85374,0.085000
AZ,85375,0.063000
AZ,85376,0.063000
AZ,85377,0.093000
