State,ZipCode,EstimatedCombinedRate
CA,90001,0.102500
CA,90002,0.102500
CA,90003,0.095000
CA,90004,0.095000
CA,90005,0.095000
CA,90006,0.095000
CA,90007,0.095000
CA,90008,0.095000
CA,90009,0.100000
CA,90010,0.095000
CA,90011,0.095000
CA,90012,0.095000
CA,90013,0.095000
CA,90014,0.095000
CA,90015,0.095000
CA,90016,0.102500
CA,90017,0.095000
CA,90018,0.095000
CA,90019,0.095000
CA,90020,0.095000
CA,90021,0.095000
CA,90022,0.102500
CA,90023,0.102500
CA,90024,0.095000
CA,90025,0.102500
CA,90026,0.095000
CA,90027,0.095000
CA,90028,0.102500
CA,90029,0.095000
CA,90030,0.095000
CA,90031,0.095000
CA,90032,0.102500
CA,90033,0.095000
CA,90034,0.102500
CA,90035,0.095000
CA,90036,0.095000
CA,90037,0.095000
CA,90038,0.102500
CA,90039,0.095000
CA,90040,0.102500
CA,90041,0.102500
CA,90042,0.102500
CA,90043,0.100000
CA,90044,0.102500
CA,90045,0.102500
CA,90046,0.102500
CA,90047,0.102500
CA,90048,0.102500
CA,90049,0.102500
CA,90050,0.095000
CA,90051,0.095000
CA,90052,0.095000
CA,90053,0.095000
CA,90054,0.095000
CA,90055,0.095000
CA,90056,0.100000
CA,90057,0.095000
CA,90058,0.102500
CA,90059,0.102500
CA,90060,0.095000
CA,90061,0.095000
CA,90062,0.095000
CA,90063,0.102500
CA,90064,0.102500
CA,90065,0.102500
CA,90066,0.102500
CA,90067,0.095000
CA,90068,0.102500
CA,90069,0.102500
CA,90070,0.095000
CA,90071,0.095000
CA,90072,0.095000
CA,90073,0.095000
CA,90074,0.095000
CA,90075,0.095000
CA,90076,0.095000
CA,90077,0.095000
CA,90078,0.095000
CA,90079,0.095000
CA,90080,0.095000
CA,90081,0.095000
CA,90082,0.095000
CA,90083,0.095000
CA,90084,0.095000
CA,90086,0.095000
CA,90087,0.095000
CA,90088,0.095000
CA,90089,0.095000
CA,90091,0.102500
