State,ZipCode,EstimatedCombinedRate
CO,80001,0.079600
CO,80002,0.088100
CO,80003,0.086000
CO,80004,0.079600
CO,80005,0.083500
CO,80006,0.079600
CO,80007,0.079600
CO,80010,0.088100
CO,80011,0.085000
CO,80012,0.088100
CO,80013,0.085000
CO,80014,0.088100
CO,80015,0.080000
CO,80016,0.087500
CO,80017,0.080000
CO,80018,0.080000
CO,80019,0.088100
CO,80020,0.088350
CO,80021,0.083500
CO,80022,0.092500
CO,80023,0.086000
CO,80024,0.047500
CO,80025,0.051850
CO,80026,0.090550
CO,80027,0.090550
CO,80030,0.086000
CO,80031,0.087500
CO,80033,0.080000
CO,80034,0.080000
CO,80035,0.086000
CO,80036,0.086000
CO,80037,0.092500
CO,80038,0.081500
CO,80040,0.085000
CO,80041,0.080000
CO,80042,0.085000
CO,80044,0.080000
CO,80045,0.085000
CO,80046,0.067500
CO,80047,0.080000
CO,80101,0.039000
CO,80102,0.077500
CO,80103,0.039000
CO,80104,0.079000
CO,80105,0.039000
CO,80106,0.051300
CO,80107,0.079000
CO,80108,0.080000
CO,80109,0.079000
CO,80110,0.088100
CO,80111,0.088100
CO,80112,0.080500
CO,80113,0.088100
CO,80116,0.079000
CO,80117,0.054000
CO,80118,0.079000
CO,80120,0.087500
CO,80121,0.080500
CO,80122,0.080000
CO,80123,0.088100
CO,80124,0.078125
CO,80125,0.078125
CO,80126,0.050000
CO,80127,0.088100
CO,80128,0.086800
CO,80129,0.087500
CO,80130,0.050000
CO,80131,0.040000
CO,80132,0.086300
CO,80133,0.086300
CO,80134,0.080000
CO,80135,0.067500
CO,80136,0.037500
CO,80137,0.085000
CO,80138,0.087500
CO,80150,0.080500
CO,80151,0.080500
CO,80155,0.072500
CO,80160,0.080000
CO,80161,0.067500
CO,80162,0.050000
CO,80163,0.050000
CO,80165,0.080000
CO,80166,0.080000
CO,80201,0.088100
CO,80202,0.088100
CO,80203,0.088100
CO,80204,0.088100
CO,80205,0.088100
CO,80206,0.088100
CO,80207,0.088100
CO,80208,0.088100
CO,80209,0.088100
CO,80210,0.088100
CO,80211,0.088100
CO,80212,0.088100
CO,80214,0.088100
CO,80215,0.080000
CO,80216,0.092500
CO,80217,0.088100
CO,80218,0.088100
CO,80219,0.088100
CO,80220,0.088100
CO,80221,0.088100
CO,80222,0.088100
CO,80223,0.088100
CO,80224,0.088100
CO,80225,0.075000
CO,80226,0.088100
CO,80227,0.088100
CO,80228,0.075000
CO,80229,0.085000
CO,80230,0.088100
CO,80231,0.088100
CO,80232,0.088100
CO,80233,0.087500
CO,80234,0.087500
CO,80235,0.088100
CO,80236,0.088100
CO,80237,0.088100
CO,80238,0.092500
CO,80239,0.088100
CO,80241,0.087500
CO,80243,0.088100
CO,80244,0.088100
CO,80246,0.088100
CO,80247,0.088100
CO,80248,0.088100
CO,80249,0.088100
CO,80250,0.088100
CO,80256,0.088100
CO,80257,0.088100
CO,80259,0.088100
CO,80260,0.087500
CO,80261,0.088100
CO,80263,0.088100
CO,80264,0.088100
CO,80265,0.088100
CO,80266,0.092500
CO,80271,0.088100
CO,80273,0.088100
CO,80274,0.088100
CO,80281,0.088100
CO,80290,0.088100
CO,80291,0.088100
CO,80293,0.088100
CO,80294,0.088100
CO,80299,0.088100
CO,80301,0.090550
CO,80302,0.090450
CO,80303,0.090550
CO,80304,0.090450
CO,80305,0.090450
CO,80306,0.090450
CO,80307,0.090450
CO,80308,0.090450
CO,80309,0.090450
CO,80310,0.090450
CO,80314,0.090450
CO,80401,0.080000
CO,80402,0.075000
CO,80403,0.080000
CO,80419,0.075000
CO,80420,0.079000
CO,80421,0.045000
CO,80422,0.089000
CO,80423,0.049000
CO,80424,0.088750
CO,80425,0.045000
CO,80426,0.049000
CO,80427,0.089000
CO,80428,0.039000
CO,80429,0.069000
CO,80430,0.069000
CO,80432,0.049000
CO,80433,0.052500
CO,80434,0.069000
CO,80435,0.088750
CO,80436,0.055500
CO,80437,0.045000
CO,80438,0.105500
CO,80439,0.055500
CO,80440,0.089000
CO,80442,0.092000
