State,ZipCode,EstimatedCombinedRate
CT,06001,0.063500
CT,06002,0.063500
CT,06006,0.063500
CT,06010,0.063500
CT,06011,0.063500
CT,06013,0.063500
CT,06016,0.063500
CT,06018,0.063500
CT,06019,0.063500
CT,06020,0.063500
CT,06021,0.063500
CT,06022,0.063500
CT,06023,0.063500
CT,06024,0.063500
CT,06025,0.063500
CT,06026,0.063500
CT,06027,0.063500
CT,06028,0.063500
CT,06029,0.063500
CT,06030,0.063500
CT,06031,0.063500
CT,06032,0.063500
CT,06033,0.063500
CT,06034,0.063500
CT,06035,0.063500
CT,06037,0.063500
CT,06039,0.063500
CT,06040,0.063500
CT,06041,0.063500
CT,06042,0.063500
CT,06043,0.063500
CT,06045,0.063500
CT,06050,0.063500
CT,06051,0.063500
CT,06052,0.063500
CT,06053,0.063500
CT,06057,0.063500
CT,06058,0.063500
CT,06059,0.063500
CT,06060,0.063500
CT,06061,0.063500
CT,06062,0.063500
CT,06063,0.063500
CT,06064,0.063500
CT,06065,0.063500
CT,06066,0.063500
CT,06067,0.063500
CT,06068,0.063500
CT,06069,0.063500
CT,06070,0.063500
CT,06071,0.063500
CT,06072,0.063500
CT,06073,0.063500
CT,06074,0.063500
CT,06075,0.063500
CT,06076,0.063500
CT,06077,0.063500
CT,06078,0.063500
CT,06079,0.063500
CT,06080,0.063500
CT,06081,0.063500
CT,06082,0.063500
CT,06083,0.063500
CT,06084,0.063500
CT,06085,0.063500
CT,06088,0.063500
CT,06089,0.063500
CT,06090,0.063500
CT,06091,0.063500
CT,06092,0.063500
CT,06093,0.063500
CT,06094,0.063500
CT,06095,0.063500
CT,06096,0.063500
CT,06098,0.063500
CT,06101,0.063500
CT,06102,0.063500
CT,06103,0.063500
CT,06104,0.063500
CT,06105,0.063500
CT,06106,0.063500
CT,06107,0.063500
CT,06108,0.063500
CT,06109,0.063500
CT,06110,0.063500
CT,06111,0.063500
CT,06112,0.063500
CT,06114,0.063500
CT,06115,0.063500
CT,06117,0.063500
CT,06118,0.063500
CT,06119,0.063500
CT,06120,0.063500
CT,06123,0.063500
CT,06126,0.063500
CT,06127,0.063500
CT,06128,0.063500
CT,06129,0.063500
CT,06131,0.063500
CT,06132,0.063500
CT,06133,0.063500
CT,06134,0.063500
CT,06137,0.063500
CT,06138,0.063500
CT,06140,0.063500
CT,06141,0.063500
CT,06142,0.063500
CT,06143,0.063500
CT,06144,0.063500
CT,06145,0.063500
CT,06146,0.063500
