State,ZipCode,EstimatedCombinedRate
DC,20001,0.060000
DC,20002,0.060000
DC,20003,0.060000
DC,20004,0.060000
DC,20005,0.060000
DC,20006,0.060000
DC,20007,0.060000
DC,20008,0.060000
DC,20009,0.060000
DC,20010,0.060000
DC,20011,0.060000
DC,20012,0.060000
DC,20013,0.060000
DC,20015,0.060000
DC,20016,0.060000
DC,20017,0.060000
DC,20018,0.060000
DC,20019,0.060000
DC,20020,0.060000
DC,20022,0.060000
DC,20024,0.060000
DC,20026,0.060000
DC,20027,0.060000
DC,20029,0.060000
DC,20030,0.060000
DC,20032,0.060000
DC,20033,0.060000
DC,20035,0.060000
DC,20036,0.060000
DC,20037,0.060000
DC,20038,0.060000
DC,20039,0.060000
DC,20040,0.060000
DC,20041,0.060000
DC,20042,0.060000
DC,20043,0.060000
DC,20044,0.060000
DC,20045,0.060000
DC,20047,0.060000
DC,20049,0.060000
DC,20050,0.060000
DC,20052,0.060000
DC,20053,0.060000
DC,20055,0.060000
DC,20056,0.060000
DC,20057,0.060000
DC,20058,0.060000
DC,20059,0.060000
DC,20060,0.060000
DC,20061,0.060000
DC,20062,0.060000
DC,20063,0.060000
DC,20064,0.060000
DC,20065,0.060000
DC,20066,0.060000
DC,20067,0.060000
DC,20068,0.060000
DC,20069,0.060000
DC,20070,0.060000
DC,20071,0.060000
DC,20073,0.060000
DC,20074,0.060000
DC,20075,0.060000
DC,20076,0.060000
DC,20077,0.060000
DC,20078,0.060000
DC,20080,0.060000
DC,20081,0.060000
DC,20082,0.060000
DC,20090,0.060000
DC,20091,0.060000
DC,20201,0.060000
DC,20202,0.060000
DC,20203,0.060000
DC,20204,0.060000
DC,20206,0.060000
DC,20207,0.060000
DC,20208,0.060000
DC,20210,0.060000
DC,20211,0.060000
DC,20212,0.060000
DC,20213,0.060000
DC,20214,0.060000
DC,20215,0.060000
DC,20216,0.060000
DC,20217,0.060000
DC,20218,0.060000
DC,20219,0.060000
DC,20220,0.060000
DC,20221,0.060000
DC,20222,0.060000
DC,20223,0.060000
DC,20224,0.060000
DC,20226,0.060000
DC,20227,0.060000
DC,20228,0.060000
DC,20229,0.060000
DC,20230,0.060000
DC,20232,0.060000
DC,20233,0.060000
DC,20235,0.060000
DC,20237,0.060000
DC,20238,0.060000
DC,20239,0.060000
DC,20240,0.060000
DC,20241,0.060000
DC,20242,0.060000
DC,20244,0.060000
DC,20245,0.060000
DC,20250,0.060000
DC,20251,0.060000
DC,20252,0.060000
DC,20254,0.060000
DC,20260,0.060000
DC,20261,0.060000
DC,20262,0.060000
DC,20265,0.060000
DC,20266,0.060000
DC,20268,0.060000
DC,20270,0.060000
DC,20277,0.060000
DC,20289,0.060000
DC,20299,0.060000
DC,20301,0.060000
DC,20303,0.060000
DC,20306,0.060000
DC,20310,0.060000
DC,20314,0.060000
DC,20317,0.060000
DC,20318,0.060000
DC,20319,0.060000
DC,20330,0.060000
DC,20340,0.060000
