State,ZipCode,EstimatedCombinedRate
FL,32003,0.075000
FL,32004,0.065000
FL,32006,0.075000
FL,32007,0.070000
FL,32008,0.075000
FL,32009,0.075000
FL,32011,0.070000
FL,32013,0.070000
FL,32024,0.075000
FL,32025,0.075000
FL,32030,0.075000
FL,32033,0.065000
FL,32034,0.070000
FL,32035,0.070000
FL,32038,0.075000
FL,32040,0.070000
FL,32041,0.070000
FL,32042,0.070000
FL,32043,0.075000
FL,32044,0.075000
FL,32046,0.070000
FL,32050,0.075000
FL,32052,0.070000
FL,32053,0.070000
FL,32054,0.070000
FL,32055,0.075000
FL,32056,0.075000
FL,32058,0.075000
FL,32059,0.075000
FL,32060,0.070000
FL,32061,0.075000
FL,32062,0.070000
FL,32063,0.070000
FL,32064,0.070000
FL,32065,0.075000
FL,32066,0.075000
FL,32067,0.075000
FL,32068,0.075000
FL,32071,0.075000
FL,32073,0.075000
FL,32079,0.075000
FL,32080,0.070000
FL,32081,0.075000
FL,32082,0.075000
FL,32083,0.070000
FL,32084,0.065000
FL,32085,0.065000
FL,32086,0.070000
FL,32087,0.070000
FL,32091,0.075000
FL,32092,0.065000
FL,32094,0.075000
FL,32095,0.065000
FL,32096,0.075000
FL,32097,0.070000
FL,32099,0.075000
FL,32102,0.070000
FL,32105,0.065000
FL,32110,0.070000
FL,32111,0.070000
FL,32112,0.070000
FL,32113,0.075000
FL,32114,0.065000
FL,32115,0.065000
FL,32116,0.065000
FL,32117,0.065000
FL,32118,0.065000
FL,32119,0.065000
FL,32120,0.065000
FL,32121,0.065000
FL,32122,0.065000
FL,32123,0.065000
FL,32124,0.065000
FL,32125,0.065000
FL,32126,0.065000
FL,32127,0.065000
FL,32128,0.065000
FL,32129,0.065000
FL,32130,0.065000
FL,32131,0.070000
FL,32132,0.065000
FL,32133,0.070000
FL,32134,0.070000
FL,32135,0.070000
FL,32136,0.070000
FL,32137,0.070000
FL,32138,0.070000
FL,32139,0.070000
FL,32140,0.075000
FL,32141,0.065000
FL,32142,0.070000
FL,32143,0.070000
FL,32145,0.070000
FL,32147,0.070000
FL,32148,0.070000
FL,32149,0.070000
FL,32157,0.070000
FL,32158,0.070000
FL,32159,0.070000
FL,32160,0.075000
FL,32162,0.070000
FL,32163,0.070000
FL,32164,0.070000
FL,32168,0.065000
FL,32169,0.065000
FL,32170,0.065000
FL,32173,0.065000
FL,32174,0.070000
FL,32175,0.065000
FL,32176,0.065000
FL,32177,0.070000
FL,32178,0.070000
FL,32179,0.070000
FL,32180,0.065000
FL,32181,0.070000
FL,32182,0.070000
FL,32183,0.070000
FL,32185,0.070000
FL,32187,0.070000
FL,32189,0.070000
FL,32190,0.065000
FL,32192,0.070000
FL,32193,0.070000
FL,32195,0.070000
FL,32198,0.065000
FL,32201,0.075000
FL,32202,0.075000
FL,32203,0.075000
FL,32204,0.075000
FL,32205,0.075000
FL,32206,0.075000
FL,32207,0.075000
FL,32208,0.075000
FL,32209,0.075000
FL,32210,0.075000
FL,32211,0.075000
FL,32212,0.075000
FL,32214,0.075000
FL,32216,0.075000
FL,32217,0.075000
FL,32218,0.075000
FL,32219,0.075000
FL,32220,0.075000
FL,32221,0.075000
FL,32222,0.075000
FL,32223,0.075000
FL,32224,0.075000
FL,32225,0.075000
FL,32226,0.075000
FL,32227,0.075000
FL,32228,0.075000
FL,32229,0.075000
FL,32231,0.075000
FL,32232,0.075000
FL,32233,0.075000
FL,32234,0.075000
FL,32235,0.075000
FL,32236,0.075000
FL,32238,0.075000
FL,32239,0.075000
FL,32240,0.075000
FL,32241,0.075000
FL,32244,0.075000
FL,32245,0.075000
FL,32246,0.075000
FL,32247,0.075000
FL,32250,0.075000
FL,32254,0.075000
FL,32255,0.075000
FL,32256,0.075000
FL,32257,0.075000
FL,32258,0.075000
FL,32259,0.075000
FL,32260,0.065000
FL,32266,0.075000
FL,32277,0.075000
FL,32301,0.075000
FL,32302,0.075000
FL,32303,0.075000
FL,32304,0.075000
FL,32305,0.075000
FL,32306,0.075000
FL,32307,0.075000
FL,32308,0.075000
FL,32309,0.075000
FL,32310,0.075000
FL,32311,0.075000
FL,32312,0.075000
FL,32313,0.075000
FL,32314,0.075000
FL,32315,0.075000
