State,ZipCode,EstimatedCombinedRate
GA,30002,0.080000
GA,30003,0.060000
GA,30004,0.077500
GA,30005,0.077500
GA,30006,0.060000
GA,30007,0.060000
GA,30008,0.060000
GA,30009,0.077500
GA,30010,0.060000
GA,30011,0.070000
GA,30012,0.080000
GA,30013,0.070000
GA,30014,0.070000
GA,30015,0.070000
GA,30016,0.070000
GA,30017,0.060000
GA,30018,0.070000
GA,30019,0.070000
GA,30021,0.080000
GA,30022,0.077500
GA,30023,0.077500
GA,30024,0.077500
GA,30025,0.080000
GA,30026,0.060000
GA,30028,0.070000
GA,30029,0.060000
GA,30030,0.089000
GA,30031,0.080000
GA,30032,0.089000
GA,30033,0.089000
GA,30034,0.080000
GA,30035,0.080000
GA,30036,0.080000
GA,30037,0.080000
GA,30038,0.080000
GA,30039,0.080000
GA,30040,0.070000
GA,30041,0.070000
GA,30042,0.060000
GA,30043,0.060000
GA,30044,0.060000
GA,30045,0.060000
GA,30046,0.060000
GA,30047,0.060000
GA,30048,0.060000
GA,30049,0.060000
GA,30052,0.070000
GA,30054,0.070000
GA,30055,0.080000
GA,30056,0.080000
GA,30058,0.080000
GA,30060,0.060000
GA,30061,0.060000
GA,30062,0.060000
GA,30063,0.060000
GA,30064,0.060000
GA,30065,0.060000
GA,30066,0.060000
GA,30067,0.060000
GA,30068,0.060000
GA,30069,0.060000
GA,30070,0.070000
GA,30071,0.060000
GA,30072,0.080000
GA,30074,0.080000
GA,30075,0.077500
GA,30076,0.077500
GA,30077,0.077500
GA,30078,0.060000
GA,30079,0.080000
GA,30080,0.060000
GA,30081,0.060000
GA,30082,0.060000
GA,30083,0.080000
GA,30084,0.080000
GA,30085,0.080000
GA,30086,0.080000
GA,30087,0.080000
GA,30088,0.080000
GA,30090,0.060000
GA,30091,0.060000
GA,30092,0.077500
GA,30093,0.080000
GA,30094,0.080000
GA,30095,0.060000
GA,30096,0.060000
GA,30097,0.077500
GA,30098,0.077500
GA,30099,0.060000
GA,30101,0.070000
GA,30102,0.070000
GA,30103,0.070000
GA,30104,0.070000
GA,30105,0.070000
GA,30106,0.070000
GA,30107,0.070000
GA,30108,0.080000
GA,30109,0.070000
GA,30110,0.080000
GA,30111,0.060000
GA,30112,0.070000
GA,30113,0.080000
GA,30114,0.060000
GA,30115,0.060000
GA,30116,0.070000
GA,30117,0.070000
GA,30118,0.070000
GA,30119,0.070000
