State,ZipCode,EstimatedCombinedRate
HI,96701,0.045000
HI,96703,0.045000
HI,96704,0.045000
HI,96705,0.045000
HI,96706,0.045000
HI,96707,0.045000
HI,96708,0.040000
HI,96709,0.045000
HI,96710,0.045000
HI,96712,0.045000
HI,96713,0.040000
HI,96714,0.045000
HI,96715,0.045000
HI,96716,0.045000
HI,96717,0.045000
HI,96718,0.045000
HI,96719,0.045000
HI,96720,0.045000
HI,96721,0.045000
HI,96722,0.045000
HI,96725,0.045000
HI,96726,0.045000
HI,96727,0.045000
HI,96728,0.045000
HI,96729,0.040000
HI,96730,0.045000
HI,96731,0.045000
HI,96732,0.040000
HI,96733,0.040000
HI,96734,0.045000
HI,96737,0.045000
HI,96738,0.045000
HI,96739,0.045000
HI,96740,0.045000
HI,96741,0.045000
HI,96742,0.040000
HI,96743,0.045000
HI,96744,0.045000
HI,96745,0.045000
HI,96746,0.045000
HI,96747,0.045000
HI,96748,0.040000
HI,96749,0.045000
HI,96750,0.045000
HI,96751,0.045000
HI,96752,0.045000
HI,96753,0.040000
HI,96754,0.045000
HI,96755,0.045000
HI,96756,0.045000
HI,96757,0.040000
HI,96759,0.045000
HI,96760,0.045000
HI,96761,0.040000
HI,96762,0.045000
HI,96763,0.040000
HI,96764,0.045000
HI,96765,0.045000
HI,96766,0.045000
HI,96767,0.040000
HI,96768,0.040000
HI,96769,0.045000
HI,96770,0.040000
HI,96771,0.045000
HI,96772,0.045000
HI,96773,0.045000
HI,96774,0.045000
HI,96776,0.045000
HI,96777,0.045000
HI,96778,0.045000
HI,96779,0.040000
HI,96780,0.045000
HI,96781,0.045000
HI,96782,0.045000
HI,96783,0.045000
HI,96784,0.040000
HI,96785,0.045000
HI,96786,0.045000
HI,96788,0.040000
HI,96789,0.045000
HI,96790,0.040000
HI,96791,0.045000
HI,96792,0.045000
HI,96793,0.040000
HI,96795,0.045000
HI,96796,0.045000
HI,96797,0.045000
HI,96801,0.045000
HI,96802,0.045000
HI,96803,0.045000
HI,96804,0.045000
HI,96805,0.045000
HI,96806,0.045000
HI,96807,0.045000
HI,96808,0.045000
HI,96809,0.045000
HI,96810,0.045000
HI,96811,0.045000
HI,96812,0.045000
HI,96813,0.045000
HI,96814,0.045000
HI,96815,0.045000
HI,96816,0.045000
HI,96817,0.045000
HI,96818,0.045000
HI,96819,0.045000
HI,96820,0.045000
HI,96821,0.045000
HI,96822,0.045000
HI,96823,0.045000
HI,96824,0.045000
HI,96825,0.045000
HI,96826,0.045000
HI,96828,0.045000
HI,96830,0.045000
HI,96836,0.045000
HI,96837,0.045000
HI,96838,0.045000
HI,96839,0.045000
HI,96840,0.045000
HI,96841,0.045000
HI,96843,0.045000
HI,96844,0.045000
HI,96846,0.045000
HI,96847,0.045000
HI,96848,0.045000
HI,96849,0.045000
HI,96850,0.045000
HI,96853,0.045000
HI,96854,0.045000
HI,96857,0.045000
HI,96858,0.045000
HI,96859,0.045000
HI,96860,0.045000
HI,96861,0.045000
HI,96863,0.045000
HI,96898,0.045000
