State,ZipCode,EstimatedCombinedRate
IA,50001,0.070000
IA,50002,0.070000
IA,50003,0.070000
IA,50005,0.070000
IA,50006,0.070000
IA,50007,0.070000
IA,50008,0.070000
IA,50009,0.070000
IA,50010,0.070000
IA,50011,0.070000
IA,50012,0.070000
IA,50013,0.070000
IA,50014,0.070000
IA,50020,0.070000
IA,50021,0.060000
IA,50022,0.070000
IA,50023,0.070000
IA,50025,0.070000
IA,50026,0.070000
IA,50027,0.070000
IA,50028,0.070000
IA,50029,0.070000
IA,50031,0.070000
IA,50032,0.060000
IA,50033,0.070000
IA,50034,0.070000
IA,50035,0.070000
IA,50036,0.070000
IA,50037,0.070000
IA,50038,0.070000
IA,50039,0.070000
IA,50040,0.070000
IA,50041,0.070000
IA,50042,0.070000
IA,50043,0.070000
IA,50044,0.070000
IA,50046,0.070000
IA,50047,0.070000
IA,50048,0.070000
IA,50049,0.070000
IA,50050,0.070000
IA,50051,0.070000
IA,50052,0.070000
IA,50054,0.070000
IA,50055,0.070000
IA,50056,0.070000
IA,50057,0.070000
IA,50058,0.070000
IA,50059,0.070000
IA,50060,0.070000
IA,50061,0.070000
IA,50062,0.070000
IA,50063,0.070000
IA,50064,0.070000
IA,50065,0.070000
IA,50066,0.070000
IA,50067,0.070000
IA,50068,0.070000
IA,50069,0.070000
IA,50070,0.070000
IA,50071,0.070000
IA,50072,0.070000
IA,50073,0.070000
IA,50074,0.070000
IA,50075,0.070000
IA,50076,0.070000
IA,50078,0.070000
IA,50099,0.070000
IA,50101,0.070000
IA,50102,0.070000
IA,50103,0.070000
IA,50104,0.070000
IA,50105,0.070000
IA,50106,0.070000
IA,50107,0.070000
IA,50108,0.070000
IA,50109,0.070000
IA,50110,0.070000
IA,50111,0.070000
IA,50112,0.070000
IA,50115,0.070000
IA,50116,0.070000
IA,50117,0.070000
IA,50118,0.070000
IA,50119,0.070000
IA,50120,0.070000
IA,50122,0.070000
IA,50123,0.070000
IA,50124,0.070000
IA,50125,0.070000
IA,50126,0.070000
IA,50127,0.070000
IA,50128,0.070000
IA,50129,0.070000
IA,50130,0.070000
IA,50131,0.070000
IA,50132,0.070000
IA,50133,0.070000
IA,50134,0.070000
IA,50135,0.070000
IA,50136,0.070000
IA,50137,0.070000
IA,50138,0.070000
IA,50139,0.070000
IA,50140,0.070000
IA,50141,0.070000
IA,50142,0.070000
IA,50143,0.070000
IA,50144,0.070000
IA,50145,0.070000
IA,50146,0.070000
IA,50147,0.070000
IA,50148,0.070000
IA,50149,0.070000
IA,50150,0.070000
IA,50151,0.070000
IA,50152,0.070000
IA,50153,0.070000
IA,50154,0.070000
IA,50155,0.070000
IA,50156,0.070000
IA,50157,0.070000
IA,50158,0.070000
IA,50160,0.070000
IA,50161,0.070000
IA,50162,0.070000
IA,50163,0.070000
IA,50164,0.070000
IA,50165,0.070000
IA,50166,0.070000
IA,50167,0.070000
IA,50168,0.070000
IA,50169,0.070000
IA,50170,0.070000
IA,50171,0.070000
IA,50173,0.070000
IA,50174,0.070000
IA,50201,0.070000
IA,50206,0.070000
IA,50207,0.070000
IA,50208,0.070000
IA,50210,0.070000
IA,50211,0.070000
IA,50212,0.070000
IA,50213,0.070000
IA,50214,0.070000
IA,50216,0.070000
IA,50217,0.070000
IA,50218,0.070000
IA,50219,0.070000
IA,50220,0.070000
IA,50222,0.070000
IA,50223,0.070000
IA,50225,0.070000
IA,50226,0.070000
IA,50227,0.070000
IA,50228,0.070000
IA,50229,0.070000
IA,50230,0.070000
IA,50231,0.070000
IA,50232,0.070000
IA,50233,0.070000
IA,50234,0.070000
IA,50235,0.070000
IA,50236,0.070000
IA,50237,0.070000
IA,50238,0.070000
IA,50239,0.070000
IA,50240,0.070000
IA,50241,0.070000
IA,50242,0.070000
IA,50243,0.070000
IA,50244,0.070000
IA,50246,0.070000
IA,50247,0.070000
IA,50248,0.070000
IA,50249,0.070000
IA,50250,0.070000
IA,50251,0.070000
IA,50252,0.070000
IA,50254,0.070000
IA,50255,0.070000
IA,50256,0.070000
IA,50257,0.070000
IA,50258,0.070000
IA,50259,0.070000
IA,50261,0.070000
IA,50262,0.070000
IA,50263,0.070000
IA,50264,0.070000
IA,50265,0.070000
IA,50266,0.070000
IA,50268,0.070000
IA,50269,0.070000
IA,50271,0.070000
IA,50272,0.070000
IA,50273,0.070000
IA,50274,0.070000
IA,50275,0.070000
IA,50276,0.070000
IA,50277,0.070000
IA,50278,0.070000
IA,50301,0.070000
IA,50302,0.070000
IA,50303,0.070000
IA,50304,0.070000
IA,50305,0.070000
IA,50306,0.070000
IA,50307,0.070000
IA,50308,0.070000
IA,50309,0.070000
IA,50310,0.070000
IA,50311,0.070000
IA,50312,0.070000
IA,50313,0.070000
IA,50314,0.070000
IA,50315,0.070000
IA,50316,0.070000
IA,50317,0.070000
IA,50318,0.070000
IA,50319,0.070000
IA,50320,0.070000
IA,50321,0.070000
IA,50322,0.070000
IA,50323,0.070000
IA,50324,0.070000
IA,50325,0.070000
IA,50327,0.070000
IA,50328,0.070000
IA,50329,0.070000
IA,50330,0.070000
IA,50331,0.070000
IA,50332,0.070000
IA,50333,0.070000
IA,50334,0.070000
IA,50335,0.070000
IA,50336,0.070000
IA,50339,0.070000
IA,50340,0.070000
IA,50359,0.070000
IA,50360,0.070000
IA,50361,0.070000
IA,50362,0.070000
IA,50363,0.070000
IA,50364,0.070000
IA,50367,0.070000
IA,50368,0.070000
IA,50369,0.070000
IA,50380,0.070000
IA,50381,0.070000
IA,50391,0.070000
IA,50392,0.070000
IA,50393,0.070000
IA,50394,0.070000
IA,50395,0.070000
IA,50396,0.070000
IA,50398,0.070000
IA,50401,0.070000
IA,50402,0.070000
IA,50420,0.070000
IA,50421,0.070000
