State,ZipCode,EstimatedCombinedRate
ID,59847,0.060000
ID,83120,0.060000
ID,83201,0.060000
ID,83202,0.060000
ID,83203,0.060000
ID,83204,0.060000
ID,83205,0.060000
ID,83206,0.060000
ID,83209,0.060000
ID,83210,0.060000
ID,83211,0.060000
ID,83212,0.060000
ID,83213,0.060000
ID,83214,0.060000
ID,83215,0.060000
ID,83217,0.060000
ID,83218,0.060000
ID,83220,0.060000
ID,83221,0.060000
ID,83223,0.060000
ID,83226,0.060000
ID,83227,0.060000
ID,83228,0.060000
ID,83229,0.060000
ID,83232,0.060000
ID,83233,0.060000
ID,83234,0.060000
ID,83235,0.060000
ID,83236,0.060000
ID,83237,0.060000
ID,83238,0.060000
ID,83239,0.060000
ID,83241,0.060000
ID,83243,0.060000
ID,83244,0.060000
ID,83245,0.060000
ID,83246,0.080000
ID,83250,0.060000
ID,83251,0.060000
ID,83252,0.060000
ID,83253,0.060000
ID,83254,0.060000
ID,83255,0.060000
ID,83256,0.060000
ID,83261,0.060000
ID,83262,0.060000
ID,83263,0.060000
ID,83271,0.060000
ID,83272,0.060000
ID,83274,0.060000
ID,83276,0.060000
ID,83277,0.060000
ID,83278,0.085000
ID,83281,0.060000
ID,83283,0.060000
ID,83285,0.060000
ID,83286,0.060000
ID,83287,0.060000
ID,83301,0.060000
ID,83302,0.060000
ID,83303,0.060000
ID,83311,0.060000
ID,83312,0.060000
ID,83313,0.060000
ID,83314,0.060000
ID,83316,0.060000
ID,83318,0.060000
ID,83320,0.060000
ID,83321,0.060000
ID,83322,0.060000
ID,83323,0.060000
ID,83324,0.060000
ID,83325,0.060000
ID,83327,0.060000
ID,83328,0.060000
ID,83330,0.060000
ID,83332,0.060000
ID,83333,0.060000
ID,83334,0.060000
ID,83335,0.060000
ID,83336,0.060000
ID,83337,0.060000
ID,83338,0.060000
ID,83340,0.080000
ID,83341,0.060000
ID,83342,0.060000
ID,83343,0.060000
ID,83344,0.060000
ID,83346,0.060000
ID,83347,0.060000
ID,83348,0.060000
ID,83349,0.060000
ID,83350,0.060000
ID,83352,0.060000
ID,83353,0.090000
ID,83354,0.090000
ID,83355,0.060000
ID,83401,0.060000
ID,83402,0.060000
ID,83403,0.060000
ID,83404,0.060000
ID,83405,0.060000
ID,83406,0.060000
ID,83415,0.060000
ID,83420,0.060000
ID,83421,0.060000
ID,83422,0.065000
ID,83423,0.060000
ID,83424,0.060000
ID,83425,0.060000
ID,83427,0.060000
ID,83428,0.060000
ID,83429,0.060000
ID,83431,0.060000
ID,83433,0.060000
ID,83434,0.060000
ID,83435,0.060000
ID,83436,0.060000
ID,83438,0.060000
ID,83440,0.060000
ID,83441,0.060000
ID,83442,0.060000
ID,83443,0.060000
ID,83444,0.060000
ID,83445,0.060000
ID,83446,0.060000
ID,83448,0.060000
ID,83449,0.070000
ID,83450,0.060000
ID,83451,0.060000
ID,83452,0.060000
ID,83454,0.060000
ID,83455,0.070000
ID,83460,0.060000
ID,83462,0.060000
ID,83463,0.060000
ID,83464,0.060000
ID,83465,0.060000
ID,83466,0.060000
ID,83467,0.060000
ID,83468,0.060000
ID,83469,0.060000
ID,83501,0.060000
ID,83520,0.060000
ID,83522,0.060000
ID,83523,0.060000
ID,83524,0.060000
ID,83525,0.060000
ID,83526,0.060000
ID,83530,0.060000
ID,83531,0.060000
ID,83533,0.060000
ID,83535,0.060000
ID,83536,0.060000
ID,83537,0.060000
ID,83539,0.060000
ID,83540,0.060000
ID,83541,0.060000
ID,83542,0.060000
ID,83543,0.060000
ID,83544,0.060000
ID,83545,0.060000
