State,ZipCode,EstimatedCombinedRate
IL,60002,0.080000
IL,60004,0.100000
IL,60005,0.100000
IL,60006,0.100000
IL,60007,0.102500
IL,60008,0.100000
IL,60009,0.100000
IL,60010,0.100000
IL,60011,0.090000
IL,60012,0.077500
IL,60013,0.080000
IL,60014,0.080000
IL,60015,0.100000
IL,60016,0.102500
IL,60017,0.100000
IL,60018,0.102500
IL,60019,0.100000
IL,60020,0.080000
IL,60021,0.080000
IL,60022,0.090000
IL,60025,0.107500
IL,60026,0.100000
IL,60029,0.102500
IL,60030,0.080000
IL,60031,0.085000
IL,60033,0.077500
IL,60034,0.070000
IL,60035,0.090000
IL,60037,0.080000
IL,60038,0.100000
IL,60039,0.077500
IL,60040,0.087500
IL,60041,0.080000
IL,60042,0.070000
IL,60043,0.100000
IL,60044,0.080000
IL,60045,0.080000
IL,60046,0.080000
IL,60047,0.090000
IL,60048,0.085000
IL,60050,0.077500
IL,60051,0.080000
IL,60053,0.105000
IL,60055,0.100000
IL,60056,0.102500
IL,60060,0.085000
IL,60061,0.080000
IL,60062,0.100000
IL,60064,0.080000
IL,60065,0.100000
IL,60067,0.100000
IL,60068,0.102500
IL,60069,0.080000
IL,60070,0.100000
IL,60071,0.077500
IL,60072,0.077500
IL,60073,0.080000
IL,60074,0.100000
IL,60075,0.070000
IL,60076,0.102500
IL,60077,0.112500
IL,60078,0.100000
IL,60079,0.085000
IL,60081,0.080000
IL,60082,0.100000
IL,60083,0.085000
IL,60084,0.080000
IL,60085,0.085000
IL,60086,0.080000
IL,60087,0.085000
IL,60088,0.080000
IL,60089,0.100000
IL,60090,0.100000
IL,60091,0.102500
IL,60093,0.100000
IL,60094,0.100000
IL,60095,0.100000
IL,60096,0.070000
IL,60097,0.070000
IL,60098,0.080000
IL,60099,0.085000
IL,60101,0.082500
IL,60102,0.090000
IL,60103,0.105000
IL,60104,0.105000
IL,60105,0.080000
IL,60106,0.100000
IL,60107,0.100000
IL,60108,0.085000
IL,60109,0.070000
IL,60110,0.090000
IL,60111,0.062500
IL,60112,0.080000
IL,60113,0.062500
IL,60115,0.080000
IL,60116,0.080000
IL,60117,0.075000
IL,60118,0.110000
IL,60119,0.080000
IL,60120,0.105000
IL,60121,0.085000
IL,60122,0.080000
IL,60123,0.085000
IL,60124,0.085000
IL,60126,0.100000
IL,60128,0.080000
IL,60129,0.062500
IL,60130,0.100000
IL,60131,0.102500
IL,60132,0.080000
IL,60133,0.100000
IL,60134,0.080000
IL,60135,0.077500
IL,60136,0.085000
IL,60137,0.082500
IL,60138,0.082500
IL,60139,0.082500
IL,60140,0.085000
IL,60141,0.090000
IL,60142,0.080000
IL,60143,0.082500
IL,60144,0.070000
IL,60145,0.077500
IL,60146,0.077500
IL,60147,0.070000
IL,60148,0.090000
IL,60150,0.062500
IL,60151,0.080000
IL,60152,0.077500
IL,60153,0.105000
IL,60154,0.100000
IL,60155,0.100000
IL,60156,0.080000
IL,60157,0.075000
IL,60159,0.100000
IL,60160,0.110000
IL,60161,0.105000
IL,60162,0.105000
IL,60163,0.105000
IL,60164,0.105000
IL,60165,0.105000
IL,60168,0.100000
IL,60169,0.100000
IL,60171,0.110000
IL,60172,0.100000
IL,60173,0.100000
IL,60174,0.080000
IL,60175,0.085000
IL,60176,0.100000
IL,60177,0.085000
IL,60178,0.080000
IL,60179,0.100000
IL,60180,0.070000
IL,60181,0.090000
IL,60183,0.070000
IL,60184,0.080000
IL,60185,0.082500
IL,60186,0.080000
IL,60187,0.082500
IL,60188,0.082500
IL,60189,0.082500
IL,60190,0.075000
IL,60191,0.082500
IL,60192,0.100000
IL,60193,0.100000
IL,60194,0.100000
IL,60195,0.100000
IL,60196,0.100000
IL,60197,0.080000
IL,60199,0.080000
IL,60201,0.102500
IL,60202,0.102500
IL,60203,0.102500
IL,60204,0.102500
IL,60208,0.102500
IL,60301,0.100000
IL,60302,0.102500
IL,60303,0.100000
IL,60304,0.100000
IL,60305,0.100000
IL,60399,0.080000
IL,60401,0.080000
IL,60402,0.107500
IL,60403,0.087500
IL,60404,0.087500
IL,60406,0.105000
IL,60407,0.070000
IL,60408,0.070000
IL,60409,0.110000
IL,60410,0.087500
IL,60411,0.100000
IL,60412,0.100000
IL,60415,0.105000
IL,60416,0.070000
IL,60417,0.080000
