State,ZipCode,EstimatedCombinedRate
IN,46001,0.070000
IN,46011,0.070000
IN,46012,0.070000
IN,46013,0.070000
IN,46014,0.070000
IN,46015,0.070000
IN,46016,0.070000
IN,46017,0.070000
IN,46018,0.070000
IN,46030,0.070000
IN,46031,0.070000
IN,46032,0.070000
IN,46033,0.070000
IN,46034,0.070000
IN,46035,0.070000
IN,46036,0.070000
IN,46037,0.070000
IN,46038,0.070000
IN,46039,0.070000
IN,46040,0.070000
IN,46041,0.070000
IN,46044,0.070000
IN,46045,0.070000
IN,46047,0.070000
IN,46048,0.070000
IN,46049,0.070000
IN,46050,0.070000
IN,46051,0.070000
IN,46052,0.070000
IN,46055,0.070000
IN,46056,0.070000
IN,46057,0.070000
IN,46058,0.070000
IN,46060,0.070000
IN,46061,0.070000
IN,46062,0.070000
IN,46063,0.070000
IN,46064,0.070000
IN,46065,0.070000
IN,46067,0.070000
IN,46068,0.070000
IN,46069,0.070000
IN,46070,0.070000
IN,46071,0.070000
IN,46072,0.070000
IN,46074,0.070000
IN,46075,0.070000
IN,46076,0.070000
IN,46077,0.070000
IN,46082,0.070000
IN,46085,0.070000
IN,46102,0.070000
IN,46103,0.070000
IN,46104,0.070000
IN,46105,0.070000
IN,46106,0.070000
IN,46107,0.070000
IN,46110,0.070000
IN,46111,0.070000
IN,46112,0.070000
IN,46113,0.070000
IN,46115,0.070000
IN,46117,0.070000
IN,46118,0.070000
IN,46120,0.070000
IN,46121,0.070000
IN,46122,0.070000
IN,46123,0.070000
IN,46124,0.070000
IN,46125,0.070000
IN,46126,0.070000
IN,46127,0.070000
IN,46128,0.070000
IN,46129,0.070000
IN,46130,0.070000
IN,46131,0.070000
IN,46133,0.070000
IN,46135,0.070000
IN,46140,0.070000
IN,46142,0.070000
IN,46143,0.070000
IN,46144,0.070000
IN,46146,0.070000
IN,46147,0.070000
IN,46148,0.070000
IN,46149,0.070000
IN,46150,0.070000
IN,46151,0.070000
IN,46154,0.070000
IN,46155,0.070000
IN,46156,0.070000
IN,46157,0.070000
IN,46158,0.070000
IN,46160,0.070000
IN,46161,0.070000
IN,46162,0.070000
IN,46163,0.070000
IN,46164,0.070000
IN,46165,0.070000
IN,46166,0.070000
IN,46167,0.070000
IN,46168,0.070000
IN,46170,0.070000
IN,46171,0.070000
IN,46172,0.070000
IN,46173,0.070000
IN,46175,0.070000
IN,46176,0.070000
IN,46180,0.070000
IN,46181,0.070000
IN,46182,0.070000
IN,46183,0.070000
IN,46184,0.070000
IN,46186,0.070000
IN,46201,0.070000
IN,46202,0.070000
IN,46203,0.070000
IN,46204,0.070000
IN,46205,0.070000
IN,46206,0.070000
IN,46207,0.070000
IN,46208,0.070000
IN,46209,0.070000
IN,46213,0.070000
IN,46214,0.070000
IN,46216,0.070000
IN,46217,0.070000
IN,46218,0.070000
IN,46219,0.070000
IN,46220,0.070000
IN,46221,0.070000
IN,46222,0.070000
IN,46224,0.070000
IN,46225,0.070000
