State,ZipCode,EstimatedCombinedRate
KS,66002,0.095000
KS,66006,0.092500
KS,66007,0.092500
KS,66008,0.085000
KS,66010,0.079000
KS,66012,0.102500
KS,66013,0.091000
KS,66014,0.075000
KS,66015,0.080000
KS,66016,0.075000
KS,66017,0.085000
KS,66018,0.097250
KS,66020,0.085000
KS,66021,0.099750
KS,66023,0.085000
KS,66024,0.095000
KS,66025,0.095000
KS,66026,0.085000
KS,66027,0.095000
KS,66030,0.104750
KS,66031,0.079750
KS,66032,0.080000
KS,66033,0.080000
KS,66035,0.095000
KS,66036,0.080000
KS,66039,0.085000
KS,66040,0.095000
KS,66041,0.085000
KS,66042,0.090000
KS,66043,0.099500
KS,66044,0.103000
KS,66045,0.093000
KS,66046,0.093000
KS,66047,0.093000
KS,66048,0.115000
KS,66049,0.103000
KS,66050,0.095000
KS,66051,0.094750
KS,66052,0.085000
KS,66053,0.095000
KS,66054,0.075000
KS,66056,0.085000
KS,66058,0.079000
KS,66060,0.075000
KS,66061,0.114750
KS,66062,0.104750
KS,66063,0.094750
KS,66064,0.097500
KS,66066,0.085000
KS,66067,0.106000
KS,66070,0.085000
KS,66071,0.097500
KS,66072,0.095000
KS,66073,0.085000
KS,66075,0.085000
KS,66076,0.100000
KS,66078,0.095000
KS,66079,0.080000
KS,66080,0.082500
KS,66083,0.095000
KS,66085,0.091000
KS,66086,0.092500
KS,66087,0.095000
KS,66088,0.095000
KS,66090,0.095000
KS,66091,0.075000
KS,66092,0.095000
KS,66093,0.075000
KS,66094,0.095000
KS,66095,0.090000
KS,66097,0.080000
KS,66101,0.111250
KS,66102,0.091250
KS,66103,0.103750
KS,66104,0.091250
KS,66105,0.091250
KS,66106,0.101250
KS,66109,0.107250
KS,66110,0.091250
KS,66111,0.107250
KS,66112,0.101250
KS,66113,0.090000
KS,66115,0.091250
KS,66117,0.091250
KS,66118,0.091250
KS,66119,0.091250
KS,66160,0.091250
KS,66201,0.097250
KS,66202,0.107250
KS,66203,0.097250
KS,66204,0.101000
KS,66205,0.114750
KS,66206,0.101000
KS,66207,0.101000
KS,66208,0.099750
KS,66209,0.101000
KS,66210,0.093500
KS,66211,0.101000
KS,66212,0.101000
KS,66213,0.101000
KS,66214,0.111000
KS,66215,0.103500
KS,66216,0.111000
KS,66217,0.096000
KS,66218,0.096000
KS,66219,0.103500
KS,66220,0.103500
KS,66221,0.101000
KS,66222,0.097250
KS,66223,0.106000
KS,66224,0.091000
KS,66225,0.091000
KS,66226,0.097250
KS,66227,0.097250
KS,66250,0.093500
KS,66251,0.091000
KS,66276,0.093500
KS,66282,0.091000
KS,66283,0.091000
KS,66285,0.093500
KS,66286,0.096000
KS,66401,0.090000
KS,66402,0.093500
KS,66403,0.080000
KS,66404,0.080000
KS,66406,0.070000
KS,66407,0.080000
KS,66408,0.080000
KS,66409,0.093500
KS,66411,0.090000
KS,66412,0.075000
KS,66413,0.095000
KS,66414,0.100000
KS,66415,0.080000
KS,66416,0.080000
KS,66417,0.080000
KS,66418,0.079000
KS,66419,0.079000
KS,66420,0.078500
KS,66422,0.079000
KS,66423,0.090000
KS,66424,0.075000
KS,66425,0.080000
KS,66426,0.075000
KS,66427,0.085000
KS,66428,0.080000
KS,66429,0.075000
KS,66431,0.080000
KS,66432,0.080000
KS,66434,0.110000
KS,66436,0.086500
KS,66438,0.070000
KS,66439,0.095000
KS,66440,0.079000
KS,66441,0.115000
KS,66442,0.077500
KS,66449,0.082000
KS,66451,0.095000
KS,66501,0.080000
KS,66502,0.099000
KS,66503,0.096500
KS,66505,0.091500
KS,66506,0.091500
KS,66507,0.100000
KS,66508,0.086000
KS,66509,0.094000
KS,66510,0.090000
KS,66512,0.080000
KS,66514,0.097500
KS,66515,0.075000
KS,66516,0.079000
KS,66517,0.082000
KS,66518,0.070000
KS,66520,0.085000
KS,66521,0.085000
KS,66522,0.080000
KS,66523,0.095000
KS,66524,0.090000
KS,66526,0.090000
KS,66527,0.075000
KS,66528,0.080000
KS,66531,0.082000
KS,66532,0.085000
KS,66533,0.088500
KS,66534,0.090000
KS,66535,0.090000
KS,66536,0.085000
KS,66537,0.090000
KS,66538,0.090000
KS,66539,0.079000
KS,66540,0.080000
KS,66541,0.070000
KS,66542,0.078500
KS,66543,0.080000
KS,66544,0.080000
KS,66546,0.093500
KS,66547,0.092500
KS,66548,0.085000
KS,66549,0.085000
KS,66550,0.080000
KS,66552,0.079000
KS,66554,0.082000
KS,66601,0.093500
KS,66603,0.093500
KS,66604,0.103500
KS,66605,0.103500
KS,66606,0.093500
KS,66607,0.113500
KS,66608,0.093500
KS,66609,0.093500
KS,66610,0.093500
KS,66611,0.103500
KS,66612,0.093500
KS,66614,0.113500
KS,66615,0.093500
KS,66616,0.093500
KS,66617,0.093500
KS,66618,0.093500
KS,66619,0.093500
KS,66620,0.078500
KS,66621,0.093500
KS,66622,0.093500
KS,66624,0.093500
KS,66625,0.093500
KS,66626,0.093500
KS,66629,0.093500
KS,66630,0.093500
KS,66636,0.093500
KS,66647,0.093500
KS,66667,0.093500
KS,66675,0.093500
KS,66683,0.093500
KS,66699,0.093500
KS,66701,0.104000
KS,66710,0.085000
KS,66711,0.079000
KS,66712,0.085000
KS,66713,0.100000
KS,66714,0.075000
KS,66716,0.089000
KS,66717,0.075000
KS,66720,0.105000
KS,66724,0.095000
KS,66725,0.090000
KS,66728,0.080000
KS,66732,0.077500
KS,66733,0.097500
KS,66734,0.075000
KS,66735,0.075000
KS,66736,0.100000
KS,66738,0.079000
KS,66739,0.090000
KS,66740,0.082500
KS,66741,0.079000
KS,66742,0.087500
KS,66743,0.085000
KS,66746,0.079000
KS,66748,0.095000
KS,66749,0.087500
KS,66751,0.087500
KS,66753,0.085000
KS,66754,0.089000
KS,66755,0.082500
KS,66756,0.075000
KS,66757,0.105000
KS,66758,0.077500
KS,66760,0.075000
KS,66761,0.077500
KS,66762,0.100000
KS,66763,0.100000
KS,66767,0.079000
KS,66769,0.079000
KS,66770,0.080000
KS,66771,0.092500
KS,66772,0.082500
KS,66773,0.090000
KS,66775,0.082500
KS,66776,0.095000
KS,66777,0.080000
KS,66778,0.080000
KS,66779,0.089000
KS,66780,0.082500
KS,66781,0.090000
KS,66782,0.080000
KS,66783,0.095000
KS,66801,0.105000
KS,66830,0.075000
KS,66833,0.080000
KS,66834,0.080000
KS,66835,0.085000
KS,66838,0.075000
KS,66839,0.085000
KS,66840,0.075000
KS,66842,0.065000
KS,66843,0.075000
KS,66845,0.085000
KS,66846,0.092000
KS,66849,0.077500
KS,66850,0.075000
KS,66851,0.085000
KS,66852,0.085000
KS,66853,0.075000
KS,66854,0.085000
KS,66855,0.075000
KS,66856,0.085000
KS,66857,0.075000
KS,66858,0.075000
KS,66859,0.075000
KS,66860,0.075000
KS,66861,0.082500
KS,66862,0.075000
KS,66863,0.075000
KS,66864,0.085000
KS,66865,0.080000
KS,66866,0.085000
KS,66868,0.080000
KS,66869,0.085000
KS,66870,0.075000
KS,66871,0.080000
KS,66872,0.080000
KS,66873,0.075000
KS,66901,0.085000
KS,66930,0.085000
KS,66932,0.085000
KS,66933,0.075000
KS,66935,0.090000
KS,66936,0.075000
KS,66937,0.085000
KS,66938,0.085000
KS,66939,0.085000
KS,66940,0.085000
KS,66941,0.075000
KS,66942,0.085000
KS,66943,0.075000
KS,66944,0.085000
KS,66945,0.075000
KS,66946,0.075000
KS,66948,0.085000
KS,66949,0.075000
KS,66951,0.092500
KS,66952,0.085000
KS,66953,0.075000
KS,66955,0.075000
KS,66956,0.082500
KS,66958,0.075000
KS,66959,0.085000
KS,66960,0.085000
KS,66961,0.085000
KS,66962,0.075000
KS,66963,0.075000
KS,66964,0.085000
KS,66966,0.085000
KS,66967,0.095000
KS,66968,0.085000
KS,66970,0.075000
KS,67001,0.075000
KS,67002,0.085000
KS,67003,0.090000
KS,67004,0.085000
KS,67005,0.095000
KS,67008,0.065000
KS,67009,0.085000
KS,67010,0.105000
KS,67012,0.065000
KS,67013,0.085000
KS,67016,0.075000
KS,67017,0.075000
KS,67018,0.075000
KS,67019,0.085000
KS,67020,0.095000
KS,67021,0.082500
KS,67022,0.085000
KS,67023,0.065000
KS,67024,0.085000
KS,67025,0.080000
KS,67026,0.075000
KS,67028,0.082500
KS,67029,0.085000
KS,67030,0.075000
KS,67031,0.085000
KS,67035,0.110000
KS,67036,0.075000
KS,67037,0.085000
KS,67038,0.065000
KS,67039,0.085000
KS,67041,0.065000
KS,67042,0.095000
KS,67045,0.095000
KS,67047,0.075000
KS,67049,0.075000
KS,67050,0.085000
KS,67051,0.075000
KS,67052,0.105000
KS,67053,0.075000
KS,67054,0.085000
KS,67055,0.075000
KS,67056,0.085000
KS,67057,0.075000
KS,67058,0.105000
KS,67059,0.082500
KS,67060,0.085000
KS,67061,0.075000
KS,67062,0.085000
KS,67063,0.085000
KS,67065,0.082500
KS,67066,0.082500
KS,67067,0.075000
KS,67068,0.090000
KS,67070,0.082500
KS,67071,0.075000
KS,67072,0.070000
KS,67073,0.075000
KS,67074,0.075000
KS,67101,0.075000
KS,67102,0.065000
KS,67103,0.080000
KS,67104,0.092500
KS,67105,0.075000
KS,67106,0.080000
KS,67107,0.090000
