State,ZipCode,EstimatedCombinedRate
KY,40003,0.060000
KY,40004,0.060000
KY,40006,0.060000
KY,40007,0.060000
KY,40008,0.060000
KY,40009,0.060000
KY,40010,0.060000
KY,40011,0.060000
KY,40012,0.060000
KY,40013,0.060000
KY,40014,0.060000
KY,40018,0.060000
KY,40019,0.060000
KY,40020,0.060000
KY,40022,0.060000
KY,40023,0.060000
KY,40025,0.060000
KY,40026,0.060000
KY,40027,0.060000
KY,40031,0.060000
KY,40032,0.060000
KY,40033,0.060000
KY,40036,0.060000
KY,40037,0.060000
KY,40040,0.060000
KY,40041,0.060000
KY,40045,0.060000
KY,40046,0.060000
KY,40047,0.060000
KY,40048,0.060000
KY,40049,0.060000
KY,40050,0.060000
KY,40051,0.060000
KY,40052,0.060000
KY,40055,0.060000
KY,40056,0.060000
KY,40057,0.060000
KY,40058,0.060000
KY,40059,0.060000
KY,40060,0.060000
KY,40061,0.060000
KY,40062,0.060000
KY,40063,0.060000
KY,40065,0.060000
KY,40066,0.060000
KY,40067,0.060000
KY,40068,0.060000
KY,40069,0.060000
KY,40070,0.060000
KY,40071,0.060000
KY,40075,0.060000
KY,40076,0.060000
KY,40077,0.060000
KY,40078,0.060000
KY,40104,0.060000
KY,40107,0.060000
KY,40108,0.060000
KY,40109,0.060000
KY,40110,0.060000
KY,40111,0.060000
KY,40115,0.060000
KY,40117,0.060000
KY,40118,0.060000
KY,40119,0.060000
KY,40121,0.060000
KY,40122,0.060000
KY,40129,0.060000
KY,40140,0.060000
KY,40142,0.060000
KY,40143,0.060000
KY,40144,0.060000
KY,40145,0.060000
KY,40146,0.060000
KY,40150,0.060000
KY,40152,0.060000
KY,40153,0.060000
KY,40155,0.060000
KY,40157,0.060000
KY,40159,0.060000
KY,40160,0.060000
KY,40161,0.060000
KY,40162,0.060000
KY,40165,0.060000
KY,40166,0.060000
KY,40170,0.060000
KY,40171,0.060000
KY,40175,0.060000
KY,40176,0.060000
KY,40177,0.060000
KY,40178,0.060000
KY,40201,0.060000
KY,40202,0.060000
KY,40203,0.060000
KY,40204,0.060000
KY,40205,0.060000
KY,40206,0.060000
KY,40207,0.060000
KY,40208,0.060000
KY,40209,0.060000
KY,40210,0.060000
KY,40211,0.060000
KY,40212,0.060000
KY,40213,0.060000
KY,40214,0.060000
KY,40215,0.060000
