State,ZipCode,EstimatedCombinedRate
MD,19973,0.060000
MD,20588,0.060000
MD,20601,0.060000
MD,20602,0.060000
MD,20603,0.060000
MD,20604,0.060000
MD,20606,0.060000
MD,20607,0.060000
MD,20608,0.060000
MD,20609,0.060000
MD,20610,0.060000
MD,20611,0.060000
MD,20612,0.060000
MD,20613,0.060000
MD,20615,0.060000
MD,20616,0.060000
MD,20617,0.060000
MD,20618,0.060000
MD,20619,0.060000
MD,20620,0.060000
MD,20621,0.060000
MD,20622,0.060000
MD,20623,0.060000
MD,20624,0.060000
MD,20625,0.060000
MD,20626,0.060000
MD,20627,0.060000
MD,20628,0.060000
MD,20629,0.060000
MD,20630,0.060000
MD,20632,0.060000
MD,20634,0.060000
MD,20636,0.060000
MD,20637,0.060000
MD,20639,0.060000
MD,20640,0.060000
MD,20643,0.060000
MD,20645,0.060000
MD,20646,0.060000
MD,20650,0.060000
MD,20653,0.060000
MD,20656,0.060000
MD,20657,0.060000
MD,20658,0.060000
MD,20659,0.060000
MD,20660,0.060000
MD,20661,0.060000
MD,20662,0.060000
MD,20664,0.060000
MD,20667,0.060000
MD,20670,0.060000
MD,20674,0.060000
MD,20675,0.060000
MD,20676,0.060000
MD,20677,0.060000
MD,20678,0.060000
MD,20680,0.060000
MD,20682,0.060000
MD,20684,0.060000
MD,20685,0.060000
MD,20686,0.060000
MD,20687,0.060000
MD,20688,0.060000
MD,20689,0.060000
MD,20690,0.060000
MD,20692,0.060000
MD,20693,0.060000
MD,20695,0.060000
MD,20697,0.060000
MD,20701,0.060000
MD,20703,0.060000
MD,20704,0.060000
MD,20705,0.060000
MD,20706,0.060000
MD,20707,0.060000
MD,20708,0.060000
MD,20709,0.060000
MD,20710,0.060000
MD,20711,0.060000
MD,20712,0.060000
MD,20714,0.060000
MD,20715,0.060000
MD,20716,0.060000
MD,20717,0.060000
MD,20718,0.060000
MD,20719,0.060000
MD,20720,0.060000
MD,20721,0.060000
MD,20722,0.060000
MD,20723,0.060000
MD,20724,0.060000
MD,20725,0.060000
MD,20726,0.060000
MD,20731,0.060000
MD,20732,0.060000
MD,20733,0.060000
MD,20735,0.060000
MD,20736,0.060000
MD,20737,0.060000
MD,20738,0.060000
MD,20740,0.060000
MD,20741,0.060000
MD,20742,0.060000
MD,20743,0.060000
MD,20744,0.060000
MD,20745,0.060000
MD,20746,0.060000
MD,20747,0.060000
MD,20748,0.060000
MD,20749,0.060000
MD,20750,0.060000
MD,20751,0.060000
MD,20752,0.060000
MD,20753,0.060000
MD,20754,0.060000
MD,20755,0.060000
MD,20757,0.060000
MD,20758,0.060000
MD,20759,0.060000
MD,20762,0.060000
MD,20763,0.060000
MD,20764,0.060000
MD,20765,0.060000
MD,20768,0.060000
MD,20769,0.060000
MD,20770,0.060000
MD,20771,0.060000
MD,20772,0.060000
MD,20773,0.060000
MD,20774,0.060000
MD,20775,0.060000
MD,20776,0.060000
MD,20777,0.060000
MD,20778,0.060000
MD,20779,0.060000
MD,20781,0.060000
MD,20782,0.060000
MD,20783,0.060000
MD,20784,0.060000
MD,20785,0.060000
MD,20787,0.060000
MD,20788,0.060000
MD,20790,0.060000
MD,20791,0.060000
MD,20792,0.060000
MD,20794,0.060000
MD,20797,0.060000
MD,20799,0.060000
MD,20810,0.060000
MD,20811,0.060000
MD,20812,0.060000
MD,20813,0.060000
MD,20814,0.060000
MD,20815,0.060000
MD,20816,0.060000
MD,20817,0.060000
MD,20818,0.060000
MD,20824,0.060000
MD,20825,0.060000
MD,20827,0.060000
MD,20830,0.060000
MD,20832,0.060000
MD,20833,0.060000
MD,20837,0.060000
MD,20838,0.060000
MD,20839,0.060000
MD,20841,0.060000
MD,20842,0.060000
MD,20847,0.060000
MD,20848,0.060000
MD,20849,0.060000
MD,20850,0.060000
MD,20851,0.060000
MD,20852,0.060000
MD,20853,0.060000
MD,20854,0.060000
MD,20855,0.060000
MD,20857,0.060000
MD,20859,0.060000
MD,20860,0.060000
MD,20861,0.060000
MD,20862,0.060000
MD,20866,0.060000
MD,20868,0.060000
MD,20871,0.060000
MD,20872,0.060000
MD,20874,0.060000
MD,20875,0.060000
MD,20876,0.060000
MD,20877,0.060000
MD,20878,0.060000
MD,20879,0.060000
MD,20880,0.060000
MD,20882,0.060000
MD,20883,0.060000
MD,20884,0.060000
MD,20885,0.060000
MD,20886,0.060000
MD,20889,0.060000
MD,20891,0.060000
MD,20892,0.060000
MD,20894,0.060000
MD,20895,0.060000
MD,20896,0.060000
MD,20897,0.060000
MD,20898,0.060000
MD,20899,0.060000
MD,20901,0.060000
MD,20902,0.060000
MD,20903,0.060000
MD,20904,0.060000
MD,20905,0.060000
MD,20906,0.060000
MD,20907,0.060000
MD,20908,0.060000
MD,20910,0.060000
MD,20911,0.060000
MD,20912,0.060000
MD,20913,0.060000
MD,20914,0.060000
MD,20915,0.060000
MD,20916,0.060000
MD,20918,0.060000
MD,20993,0.060000
MD,20997,0.060000
MD,21001,0.060000
MD,21005,0.060000
MD,21009,0.060000
MD,21010,0.060000
MD,21012,0.060000
MD,21013,0.060000
MD,21014,0.060000
MD,21015,0.060000
MD,21017,0.060000
