State,ZipCode,EstimatedCombinedRate
MI,48001,0.060000
MI,48002,0.060000
MI,48003,0.060000
MI,48004,0.060000
MI,48005,0.060000
MI,48006,0.060000
MI,48007,0.060000
MI,48009,0.060000
MI,48012,0.060000
MI,48014,0.060000
MI,48015,0.060000
MI,48017,0.060000
MI,48021,0.060000
MI,48022,0.060000
MI,48023,0.060000
MI,48025,0.060000
MI,48026,0.060000
MI,48027,0.060000
MI,48028,0.060000
MI,48030,0.060000
MI,48032,0.060000
MI,48033,0.060000
MI,48034,0.060000
MI,48035,0.060000
MI,48036,0.060000
MI,48037,0.060000
MI,48038,0.060000
MI,48039,0.060000
MI,48040,0.060000
MI,48041,0.060000
MI,48042,0.060000
MI,48043,0.060000
MI,48044,0.060000
MI,48045,0.060000
MI,48046,0.060000
MI,48047,0.060000
MI,48048,0.060000
MI,48049,0.060000
MI,48050,0.060000
MI,48051,0.060000
MI,48054,0.060000
MI,48059,0.060000
MI,48060,0.060000
MI,48061,0.060000
MI,48062,0.060000
MI,48063,0.060000
MI,48064,0.060000
MI,48065,0.060000
MI,48066,0.060000
MI,48067,0.060000
MI,48068,0.060000
MI,48069,0.060000
MI,48070,0.060000
MI,48071,0.060000
MI,48072,0.060000
MI,48073,0.060000
MI,48074,0.060000
MI,48075,0.060000
MI,48076,0.060000
MI,48079,0.060000
MI,48080,0.060000
MI,48081,0.060000
MI,48082,0.060000
MI,48083,0.060000
MI,48084,0.060000
MI,48085,0.060000
MI,48086,0.060000
MI,48088,0.060000
MI,48089,0.060000
MI,48090,0.060000
MI,48091,0.060000
MI,48092,0.060000
MI,48093,0.060000
MI,48094,0.060000
MI,48095,0.060000
MI,48096,0.060000
MI,48097,0.060000
MI,48098,0.060000
MI,48099,0.060000
MI,48101,0.060000
MI,48103,0.060000
MI,48104,0.060000
MI,48105,0.060000
MI,48106,0.060000
MI,48107,0.060000
MI,48108,0.060000
MI,48109,0.060000
MI,48110,0.060000
MI,48111,0.060000
MI,48112,0.060000
MI,48113,0.060000
MI,48114,0.060000
MI,48115,0.060000
MI,48116,0.060000
MI,48117,0.060000
MI,48118,0.060000
MI,48120,0.060000
MI,48121,0.060000
MI,48122,0.060000
MI,48123,0.060000
MI,48124,0.060000
MI,48125,0.060000
MI,48126,0.060000
MI,48127,0.060000
MI,48128,0.060000
MI,48130,0.060000
MI,48131,0.060000
MI,48133,0.060000
MI,48134,0.060000
MI,48135,0.060000
MI,48136,0.060000
MI,48137,0.060000
MI,48138,0.060000
MI,48139,0.060000
MI,48140,0.060000
MI,48141,0.060000
MI,48143,0.060000
MI,48144,0.060000
MI,48145,0.060000
MI,48146,0.060000
MI,48150,0.060000
MI,48151,0.060000
MI,48152,0.060000
MI,48153,0.060000
MI,48154,0.060000
MI,48157,0.060000
MI,48158,0.060000
MI,48159,0.060000
MI,48160,0.060000
MI,48161,0.060000
MI,48162,0.060000
MI,48164,0.060000
MI,48165,0.060000
MI,48166,0.060000
MI,48167,0.060000
MI,48168,0.060000
MI,48169,0.060000
MI,48170,0.060000
MI,48173,0.060000
MI,48174,0.060000
MI,48175,0.060000
MI,48176,0.060000
MI,48177,0.060000
MI,48178,0.060000
MI,48179,0.060000
MI,48180,0.060000
MI,48182,0.060000
MI,48183,0.060000
MI,48184,0.060000
MI,48185,0.060000
MI,48186,0.060000
MI,48187,0.060000
MI,48188,0.060000
MI,48189,0.060000
MI,48190,0.060000
MI,48191,0.060000
MI,48192,0.060000
MI,48193,0.060000
MI,48195,0.060000
MI,48197,0.060000
MI,48198,0.060000
MI,48201,0.060000
MI,48202,0.060000
MI,48203,0.060000
MI,48204,0.060000
MI,48205,0.060000
MI,48206,0.060000
MI,48207,0.060000
MI,48208,0.060000
MI,48209,0.060000
MI,48210,0.060000
MI,48211,0.060000
MI,48212,0.060000
MI,48213,0.060000
MI,48214,0.060000
MI,48215,0.060000
MI,48216,0.060000
MI,48217,0.060000
MI,48218,0.060000
MI,48219,0.060000
MI,48220,0.060000
MI,48221,0.060000
MI,48222,0.060000
MI,48223,0.060000
MI,48224,0.060000
MI,48225,0.060000
MI,48226,0.060000
MI,48227,0.060000
MI,48228,0.060000
MI,48229,0.060000
MI,48230,0.060000
MI,48231,0.060000
MI,48232,0.060000
MI,48233,0.060000
MI,48234,0.060000
MI,48235,0.060000
MI,48236,0.060000
