State,ZipCode,EstimatedCombinedRate
MN,55001,0.073750
MN,55003,0.073750
MN,55005,0.073750
MN,55006,0.073750
MN,55007,0.073750
MN,55008,0.078750
MN,55009,0.073750
MN,55010,0.071250
MN,55011,0.071250
MN,55012,0.073750
MN,55013,0.073750
MN,55014,0.071250
MN,55016,0.073750
MN,55017,0.073750
MN,55018,0.073750
MN,55019,0.073750
MN,55020,0.073750
MN,55021,0.073750
MN,55024,0.071250
MN,55025,0.073750
MN,55026,0.073750
MN,55027,0.073750
MN,55029,0.073750
MN,55030,0.073750
MN,55031,0.071250
MN,55032,0.073750
MN,55033,0.073750
MN,55036,0.073750
MN,55037,0.073750
MN,55038,0.073750
MN,55040,0.078750
MN,55041,0.073750
MN,55042,0.078750
MN,55043,0.073750
MN,55044,0.073750
MN,55045,0.073750
MN,55046,0.073750
MN,55047,0.073750
MN,55049,0.078750
MN,55051,0.073750
MN,55052,0.073750
MN,55053,0.073750
MN,55054,0.073750
MN,55055,0.073750
MN,55056,0.073750
MN,55057,0.073750
MN,55060,0.073750
MN,55063,0.073750
MN,55065,0.073750
MN,55066,0.073750
MN,55067,0.073750
MN,55068,0.071250
MN,55069,0.073750
MN,55070,0.073750
MN,55071,0.073750
MN,55072,0.073750
MN,55073,0.073750
MN,55074,0.073750
MN,55075,0.071250
MN,55076,0.071250
MN,55077,0.076250
MN,55078,0.073750
MN,55079,0.073750
MN,55080,0.073750
MN,55082,0.073750
MN,55083,0.073750
MN,55084,0.073750
MN,55085,0.071250
MN,55087,0.073750
MN,55088,0.073750
MN,55089,0.073750
MN,55090,0.073750
MN,55092,0.073750
MN,55101,0.078750
MN,55102,0.078750
MN,55103,0.078750
MN,55104,0.078750
MN,55105,0.078750
MN,55106,0.078750
MN,55107,0.078750
MN,55108,0.080250
MN,55109,0.078750
MN,55110,0.078750
MN,55111,0.075250
MN,55112,0.073750
MN,55113,0.080250
MN,55114,0.080250
MN,55115,0.078750
MN,55116,0.078750
MN,55117,0.078750
MN,55118,0.078750
MN,55119,0.078750
MN,55120,0.071250
MN,55121,0.071250
MN,55122,0.071250
MN,55123,0.071250
MN,55124,0.071250
MN,55125,0.073750
MN,55126,0.073750
MN,55127,0.073750
MN,55128,0.078750
MN,55129,0.073750
MN,55130,0.078750
MN,55131,0.078750
MN,55133,0.078750
MN,55144,0.078750
MN,55145,0.078750
MN,55146,0.078750
MN,55150,0.071250
MN,55155,0.078750
MN,55164,0.078750
MN,55170,0.078750
MN,55301,0.073750
MN,55302,0.073750
MN,55303,0.071250
MN,55304,0.071250
MN,55305,0.075250
MN,55306,0.071250
MN,55307,0.068750
MN,55308,0.073750
MN,55309,0.073750
MN,55310,0.073750
MN,55311,0.080250
MN,55312,0.073750
MN,55313,0.073750
MN,55314,0.073750
MN,55315,0.073750
MN,55316,0.075250
MN,55317,0.075250
MN,55318,0.075250
MN,55319,0.073750
MN,55320,0.078750
MN,55321,0.073750
MN,55322,0.073750
MN,55323,0.075250
MN,55324,0.068750
MN,55325,0.073750
MN,55327,0.077750
MN,55328,0.075250
MN,55329,0.071250
MN,55330,0.078750
MN,55331,0.080250
MN,55332,0.073750
MN,55333,0.073750
MN,55334,0.073750
MN,55335,0.073750
MN,55336,0.073750
MN,55337,0.073750
MN,55338,0.073750
MN,55339,0.073750
MN,55340,0.080250
MN,55341,0.077750
MN,55342,0.073750
MN,55343,0.080250
MN,55344,0.080250
MN,55345,0.075250
MN,55346,0.075250
MN,55347,0.075250
MN,55349,0.073750
MN,55350,0.078750
MN,55352,0.073750
MN,55353,0.076250
MN,55354,0.073750
MN,55355,0.068750
MN,55356,0.075250
MN,55357,0.075250
MN,55358,0.073750
MN,55359,0.075250
MN,55360,0.073750
MN,55361,0.075250
MN,55362,0.073750
MN,55363,0.073750
MN,55364,0.075250
MN,55366,0.068750
MN,55367,0.073750
MN,55368,0.073750
MN,55369,0.080250
MN,55370,0.073750
MN,55371,0.073750
MN,55372,0.073750
MN,55373,0.075250
MN,55374,0.077750
MN,55375,0.075250
MN,55376,0.073750
MN,55377,0.073750
MN,55378,0.073750
MN,55379,0.073750
MN,55381,0.073750
MN,55382,0.076250
MN,55384,0.075250
MN,55385,0.073750
MN,55386,0.073750
MN,55387,0.075250
MN,55388,0.075250
MN,55389,0.071250
MN,55390,0.073750
MN,55391,0.075250
MN,55395,0.073750
MN,55396,0.073750
MN,55397,0.073750
MN,55398,0.073750
MN,55401,0.080250
MN,55402,0.080250
MN,55403,0.080250
MN,55404,0.080250
MN,55405,0.080250
MN,55406,0.080250
MN,55407,0.080250
MN,55408,0.080250
MN,55409,0.080250
MN,55410,0.080250
MN,55411,0.080250
MN,55412,0.080250
MN,55413,0.080250
MN,55414,0.080250
MN,55415,0.080250
MN,55416,0.080250
MN,55417,0.080250
MN,55418,0.080250
MN,55419,0.080250
MN,55420,0.075250
MN,55421,0.080250
MN,55422,0.080250
MN,55423,0.080250
MN,55424,0.080250
MN,55425,0.075250
MN,55426,0.075250
MN,55427,0.075250
MN,55428,0.075250
MN,55429,0.080250
MN,55430,0.080250
MN,55431,0.075250
MN,55432,0.073750
MN,55433,0.071250
MN,55434,0.071250
MN,55435,0.080250
MN,55436,0.080250
MN,55437,0.075250
MN,55438,0.075250
MN,55439,0.080250
MN,55440,0.080250
MN,55441,0.075250
MN,55442,0.080250
MN,55443,0.075250
MN,55444,0.075250
MN,55445,0.075250
MN,55446,0.075250
MN,55447,0.075250
MN,55448,0.071250
MN,55449,0.073750
MN,55450,0.080250
MN,55454,0.080250
MN,55455,0.080250
MN,55458,0.080250
MN,55459,0.080250
MN,55467,0.080250
