State,ZipCode,EstimatedCombinedRate
MO,51640,0.064750
MO,63005,0.101130
MO,63006,0.089880
MO,63010,0.103500
MO,63011,0.109880
MO,63012,0.088500
MO,63013,0.074750
MO,63014,0.079750
MO,63015,0.074750
MO,63016,0.068500
MO,63017,0.099880
MO,63019,0.101000
MO,63020,0.108500
MO,63021,0.099880
MO,63022,0.087380
MO,63023,0.072250
MO,63024,0.089880
MO,63025,0.102380
MO,63026,0.092380
MO,63028,0.108500
MO,63030,0.072250
MO,63031,0.099880
MO,63032,0.089880
MO,63033,0.099880
MO,63034,0.077380
MO,63036,0.072250
MO,63037,0.094750
MO,63038,0.089880
MO,63039,0.079750
MO,63040,0.092380
MO,63041,0.074750
MO,63042,0.119880
MO,63043,0.092380
MO,63044,0.109880
MO,63045,0.089880
MO,63047,0.068500
MO,63048,0.108500
MO,63049,0.098500
MO,63050,0.102250
MO,63051,0.098500
MO,63052,0.086000
MO,63053,0.086000
MO,63055,0.069750
MO,63056,0.074750
MO,63057,0.081000
MO,63060,0.074750
MO,63061,0.074750
MO,63065,0.068500
MO,63066,0.068500
MO,63068,0.097250
MO,63069,0.104750
MO,63070,0.098500
MO,63071,0.072250
MO,63072,0.074750
MO,63073,0.069750
MO,63074,0.117380
MO,63077,0.104750
MO,63079,0.069750
MO,63080,0.099750
MO,63084,0.104750
MO,63087,0.068500
MO,63088,0.097380
MO,63089,0.079750
MO,63090,0.096000
MO,63091,0.081000
MO,63099,0.087380
MO,63101,0.116790
MO,63102,0.116790
MO,63103,0.116790
MO,63104,0.116790
MO,63105,0.102380
MO,63106,0.106790
MO,63107,0.096790
MO,63108,0.116790
MO,63109,0.106790
MO,63110,0.116790
MO,63111,0.106790
MO,63112,0.116790
MO,63113,0.096790
MO,63114,0.099880
MO,63115,0.096790
MO,63116,0.106790
MO,63117,0.114880
MO,63118,0.116790
MO,63119,0.112380
MO,63120,0.096790
MO,63121,0.099880
MO,63122,0.102380
MO,63123,0.099880
MO,63124,0.102380
MO,63125,0.096790
MO,63126,0.104880
MO,63127,0.099880
MO,63128,0.096790
MO,63129,0.082380
MO,63130,0.116790
MO,63131,0.112380
MO,63132,0.102380
MO,63133,0.096790
MO,63134,0.114880
MO,63135,0.107380
MO,63136,0.104880
MO,63137,0.096790
MO,63138,0.106790
MO,63139,0.116790
MO,63140,0.097380
MO,63141,0.099880
MO,63143,0.104880
MO,63144,0.107380
MO,63145,0.097380
MO,63146,0.102380
MO,63147,0.106790
MO,63150,0.096790
MO,63151,0.077380
MO,63155,0.096790
MO,63156,0.096790
MO,63157,0.096790
MO,63158,0.096790
MO,63160,0.096790
MO,63163,0.096790
MO,63164,0.096790
MO,63166,0.096790
MO,63167,0.089880
MO,63169,0.096790
MO,63171,0.096790
MO,63177,0.096790
MO,63178,0.096790
MO,63179,0.096790
MO,63180,0.096790
MO,63188,0.096790
MO,63195,0.096790
MO,63197,0.096790
MO,63199,0.096790
MO,63301,0.099500
MO,63302,0.089500
MO,63303,0.089500
MO,63304,0.099500
MO,63330,0.067875
MO,63332,0.074500
MO,63333,0.084750
MO,63334,0.090375
MO,63336,0.077875
MO,63338,0.089500
MO,63339,0.077875
MO,63341,0.079500
MO,63342,0.067250
MO,63343,0.084750
MO,63344,0.077875
MO,63345,0.083500
MO,63346,0.084500
MO,63347,0.089750
MO,63348,0.087250
MO,63349,0.079750
MO,63350,0.074750
MO,63351,0.079750
MO,63352,0.088500
MO,63353,0.090375
MO,63357,0.082250
MO,63359,0.074750
MO,63361,0.079750
MO,63362,0.094750
MO,63363,0.084750
MO,63365,0.079500
MO,63366,0.089500
MO,63367,0.089500
MO,63368,0.094500
MO,63369,0.084750
MO,63370,0.069750
MO,63373,0.069500
MO,63376,0.089500
MO,63377,0.079750
MO,63378,0.067250
MO,63379,0.104750
MO,63380,0.094750
MO,63381,0.069750
MO,63382,0.083500
MO,63383,0.104750
MO,63384,0.082250
MO,63385,0.104500
MO,63386,0.069500
MO,63387,0.069750
MO,63388,0.067250
MO,63389,0.084750
MO,63390,0.094750
MO,63401,0.098500
MO,63430,0.077250
MO,63431,0.063500
MO,63432,0.067250
MO,63433,0.067875
MO,63434,0.072250
MO,63435,0.089750
MO,63436,0.072250
MO,63437,0.079750
MO,63438,0.073500
MO,63439,0.062250
MO,63440,0.086000
MO,63441,0.077875
MO,63442,0.059750
MO,63443,0.072250
MO,63445,0.077250
MO,63446,0.073500
MO,63447,0.083500
MO,63448,0.083500
MO,63450,0.062250
MO,63451,0.067250
MO,63452,0.083500
MO,63453,0.067250
MO,63454,0.073500
MO,63456,0.082250
MO,63457,0.073500
MO,63458,0.067250
MO,63459,0.079750
MO,63460,0.067250
MO,63461,0.081000
MO,63462,0.077250
MO,63463,0.061000
MO,63465,0.067250
MO,63466,0.067250
MO,63467,0.057250
MO,63468,0.084750
MO,63469,0.072250
MO,63471,0.073500
MO,63472,0.077250
MO,63473,0.073500
MO,63474,0.077250
MO,63501,0.097250
MO,63530,0.073500
MO,63531,0.067250
MO,63532,0.078500
MO,63533,0.069750
MO,63534,0.073500
MO,63535,0.072250
MO,63536,0.062250
MO,63537,0.082250
MO,63538,0.063500
MO,63539,0.063500
MO,63540,0.059750
MO,63541,0.062250
MO,63543,0.067250
MO,63544,0.074750
MO,63545,0.084750
MO,63546,0.077250
MO,63547,0.067250
MO,63548,0.072250
MO,63549,0.078500
MO,63551,0.072250
MO,63552,0.086000
MO,63555,0.074750
MO,63556,0.079750
MO,63557,0.069750
MO,63558,0.073500
MO,63559,0.079750
MO,63560,0.072250
MO,63561,0.087250
MO,63563,0.069750
MO,63565,0.091000
MO,63566,0.069750
MO,63567,0.072250
MO,63601,0.093500
MO,63620,0.092250
MO,63621,0.092250
MO,63622,0.072250
MO,63623,0.072250
MO,63624,0.078500
MO,63625,0.072250
MO,63626,0.072250
MO,63627,0.092250
MO,63628,0.093500
MO,63629,0.084750
MO,63630,0.072250
MO,63631,0.082250
MO,63632,0.059750
MO,63633,0.067250
MO,63636,0.072250
MO,63637,0.063500
MO,63638,0.087250
MO,63640,0.098500
MO,63645,0.092250
MO,63648,0.082250
MO,63650,0.092250
MO,63651,0.063500
MO,63653,0.083500
MO,63654,0.072250
MO,63655,0.087250
MO,63656,0.072250
MO,63660,0.092250
MO,63662,0.063500
MO,63663,0.092250
MO,63664,0.092250
MO,63665,0.057250
MO,63666,0.057250
MO,63670,0.092250
MO,63673,0.087250
MO,63674,0.072250
MO,63675,0.072250
MO,63701,0.089750
MO,63702,0.084750
MO,63703,0.094750
MO,63730,0.084125
MO,63732,0.066000
MO,63735,0.076625
MO,63736,0.072250
MO,63737,0.066000
MO,63738,0.064125
MO,63739,0.057250
MO,63740,0.084750
MO,63742,0.062250
MO,63743,0.057250
MO,63744,0.072250
MO,63745,0.057250
MO,63746,0.066000
MO,63747,0.057250
MO,63748,0.066000
MO,63750,0.063500
MO,63751,0.063500
MO,63752,0.062250
MO,63755,0.084750
MO,63758,0.072250
MO,63760,0.063500
MO,63763,0.059750
MO,63764,0.083500
MO,63766,0.057250
MO,63767,0.072250
MO,63769,0.057250
MO,63770,0.066000
MO,63771,0.077250
MO,63774,0.062250
MO,63775,0.094750
MO,63776,0.084750
MO,63779,0.057250
MO,63780,0.089750
MO,63781,0.066000
MO,63782,0.063500
MO,63783,0.066000
MO,63784,0.072250
MO,63785,0.057250
MO,63787,0.083500
MO,63801,0.104750
MO,63820,0.059750
MO,63821,0.079125
MO,63822,0.084125
MO,63823,0.074750
MO,63824,0.062250
MO,63825,0.074125
MO,63826,0.072250
MO,63827,0.072250
MO,63828,0.062250
MO,63829,0.079125
MO,63830,0.097250
MO,63833,0.064125
MO,63834,0.079750
MO,63837,0.079125
MO,63839,0.072250
MO,63840,0.072250
MO,63841,0.082875
MO,63845,0.084750
MO,63846,0.074125
MO,63847,0.059125
MO,63848,0.072250
MO,63849,0.072250
MO,63850,0.064125
MO,63851,0.099750
MO,63852,0.072250
MO,63853,0.072250
MO,63855,0.072250
MO,63857,0.091625
MO,63860,0.062250
MO,63862,0.072250
MO,63863,0.081625
MO,63866,0.092250
MO,63867,0.092250
MO,63868,0.082250
MO,63869,0.087250
MO,63870,0.082250
MO,63873,0.092250
MO,63874,0.072250
MO,63875,0.059125
MO,63876,0.079125
MO,63877,0.097250
MO,63878,0.062250
MO,63879,0.084750
MO,63880,0.059125
MO,63881,0.059750
MO,63882,0.069750
MO,63901,0.089750
MO,63902,0.079750
MO,63931,0.062250
MO,63932,0.054750
MO,63933,0.082875
MO,63934,0.059750
MO,63935,0.082250
MO,63936,0.074125
MO,63937,0.082250
MO,63939,0.062250
MO,63940,0.069750
MO,63941,0.062250
MO,63942,0.082250
MO,63943,0.072250
MO,63944,0.089750
MO,63945,0.057250
MO,63950,0.059750
MO,63951,0.059750
MO,63952,0.069750
MO,63953,0.077250
MO,63954,0.064750
MO,63955,0.057250
MO,63956,0.059750
MO,63957,0.084750
MO,63960,0.076625
MO,63961,0.069750
MO,63962,0.054750
MO,63964,0.067250
MO,63965,0.087250
MO,63966,0.059750
MO,63967,0.074750
MO,64001,0.073500
MO,64002,0.094750
MO,64011,0.088500
MO,64012,0.101000
MO,64013,0.087250
MO,64014,0.097250
MO,64015,0.097250
MO,64016,0.087250
MO,64017,0.077250
MO,64018,0.056000
MO,64019,0.086000
MO,64020,0.083500
MO,64021,0.073500
MO,64022,0.068500
MO,64024,0.107250
MO,64028,0.056000
MO,64029,0.107250
MO,64030,0.097250
MO,64034,0.097250
MO,64035,0.082250
MO,64036,0.092250
MO,64037,0.083500
MO,64040,0.101000
MO,64048,0.084750
MO,64050,0.093500
MO,64051,0.093500
MO,64052,0.093500
MO,64053,0.089750
MO,64054,0.083500
MO,64055,0.094750
MO,64056,0.093500
MO,64057,0.094750
MO,64058,0.083500
MO,64060,0.094750
MO,64061,0.091000
MO,64062,0.087250
MO,64063,0.094750
MO,64064,0.094750
MO,64065,0.079750
MO,64066,0.067250
MO,64067,0.083500
MO,64068,0.108500
MO,64069,0.088500
MO,64070,0.082250
MO,64071,0.073500
MO,64072,0.064750
MO,64073,0.069750
MO,64074,0.088500
MO,64075,0.097250
MO,64076,0.083500
MO,64077,0.092250
MO,64078,0.098500
MO,64079,0.089750
MO,64080,0.091000
MO,64081,0.104750
MO,64082,0.094750
MO,64083,0.096000
MO,64084,0.072250
MO,64085,0.092250
MO,64086,0.097250
MO,64088,0.067250
MO,64089,0.094750
MO,64090,0.073500
MO,64092,0.056000
MO,64093,0.099750
MO,64096,0.093500
MO,64097,0.058500
MO,64098,0.079750
MO,64101,0.099750
MO,64102,0.099750
MO,64105,0.119750
MO,64106,0.119750
MO,64108,0.109750
MO,64109,0.099750
MO,64110,0.104750
MO,64111,0.119750
MO,64112,0.119750
MO,64113,0.094750
MO,64114,0.104750
MO,64116,0.099750
MO,64117,0.087250
MO,64118,0.104750
MO,64119,0.097250
MO,64120,0.109750
MO,64121,0.089750
MO,64123,0.099750
MO,64124,0.099750
MO,64125,0.099750
MO,64126,0.099750
MO,64127,0.099750
MO,64128,0.099750
MO,64129,0.089750
MO,64130,0.099750
MO,64131,0.099750
MO,64132,0.089750
MO,64133,0.099750
MO,64134,0.104750
MO,64136,0.091000
MO,64137,0.099750
MO,64138,0.099750
MO,64139,0.089750
MO,64141,0.099750
MO,64144,0.087250
MO,64145,0.104750
MO,64146,0.094750
MO,64147,0.091000
MO,64148,0.089750
MO,64149,0.089750
MO,64150,0.088500
MO,64151,0.098500
MO,64152,0.096000
MO,64153,0.098500
MO,64154,0.098500
MO,64155,0.098500
MO,64156,0.099750
MO,64157,0.097250
MO,64158,0.097250
MO,64161,0.107250
MO,64162,0.069750
MO,64163,0.098500
MO,64164,0.088500
MO,64165,0.087250
MO,64166,0.087250
MO,64167,0.087250
MO,64168,0.071000
MO,64170,0.089750
MO,64171,0.109750
MO,64179,0.099750
MO,64180,0.099750
MO,64184,0.099750
MO,64187,0.099750
MO,64188,0.084750
MO,64190,0.088500
MO,64191,0.099750
MO,64195,0.099750
MO,64196,0.099750
MO,64197,0.089750
MO,64198,0.099750
MO,64199,0.099750
MO,64401,0.063250
MO,64402,0.077250
MO,64420,0.076000
MO,64421,0.067250
MO,64422,0.062250
MO,64423,0.064250
MO,64424,0.078500
MO,64426,0.054750
MO,64427,0.064250
MO,64428,0.064750
MO,64429,0.109750
MO,64430,0.072250
MO,64431,0.062250
MO,64432,0.062250
MO,64433,0.062250
MO,64434,0.062250
MO,64436,0.064250
MO,64437,0.077250
MO,64438,0.057250
MO,64439,0.071000
MO,64440,0.058250
MO,64441,0.066000
MO,64442,0.073500
MO,64443,0.068250
MO,64444,0.071000
MO,64445,0.064750
MO,64446,0.084750
MO,64448,0.058250
MO,64449,0.067250
MO,64451,0.077250
MO,64453,0.057250
MO,64454,0.085750
MO,64455,0.064250
MO,64456,0.091000
MO,64457,0.062250
MO,64458,0.066000
MO,64459,0.064250
MO,64461,0.072250
MO,64463,0.072250
MO,64465,0.087250
MO,64466,0.077250
MO,64467,0.054750
MO,64468,0.097250
MO,64469,0.079750
MO,64470,0.082250
MO,64471,0.064750
MO,64473,0.077250
MO,64474,0.099750
MO,64475,0.066000
MO,64476,0.062250
MO,64477,0.082250
MO,64479,0.062250
MO,64480,0.064250
MO,64481,0.077250
MO,64482,0.087250
MO,64483,0.064250
MO,64484,0.058250
MO,64485,0.089250
