State,ZipCode,EstimatedCombinedRate
MS,35447,0.070000
MS,38601,0.070000
MS,38602,0.070000
MS,38603,0.070000
MS,38606,0.070000
MS,38609,0.070000
MS,38610,0.070000
MS,38611,0.070000
MS,38614,0.070000
MS,38617,0.070000
MS,38618,0.070000
MS,38619,0.070000
MS,38620,0.070000
MS,38621,0.070000
MS,38622,0.070000
MS,38623,0.070000
MS,38625,0.070000
MS,38626,0.070000
MS,38627,0.070000
MS,38628,0.070000
MS,38629,0.070000
MS,38630,0.070000
MS,38631,0.070000
MS,38632,0.070000
MS,38633,0.070000
MS,38634,0.070000
MS,38635,0.070000
MS,38637,0.070000
MS,38638,0.070000
MS,38639,0.070000
MS,38641,0.070000
MS,38642,0.070000
MS,38643,0.070000
MS,38644,0.070000
MS,38645,0.070000
MS,38646,0.070000
MS,38647,0.070000
MS,38649,0.070000
MS,38650,0.070000
MS,38651,0.070000
MS,38652,0.070000
MS,38654,0.070000
MS,38655,0.070000
MS,38658,0.070000
MS,38659,0.070000
MS,38661,0.070000
MS,38663,0.070000
MS,38664,0.070000
MS,38665,0.070000
MS,38666,0.070000
MS,38668,0.070000
MS,38669,0.070000
MS,38670,0.070000
MS,38671,0.070000
MS,38672,0.070000
MS,38673,0.070000
MS,38674,0.070000
MS,38675,0.070000
MS,38676,0.070000
MS,38677,0.070000
MS,38679,0.070000
MS,38680,0.070000
MS,38683,0.070000
MS,38685,0.070000
MS,38686,0.070000
MS,38701,0.070000
MS,38702,0.070000
MS,38703,0.070000
MS,38704,0.070000
MS,38720,0.070000
MS,38721,0.070000
MS,38722,0.070000
MS,38723,0.070000
MS,38725,0.070000
MS,38726,0.070000
MS,38730,0.070000
MS,38731,0.070000
MS,38732,0.070000
MS,38733,0.070000
MS,38736,0.070000
MS,38737,0.070000
MS,38738,0.070000
MS,38739,0.070000
MS,38740,0.070000
MS,38744,0.070000
MS,38745,0.070000
MS,38746,0.070000
MS,38748,0.070000
MS,38749,0.070000
MS,38751,0.070000
MS,38753,0.070000
MS,38754,0.070000
MS,38756,0.070000
MS,38759,0.070000
MS,38760,0.070000
MS,38761,0.070000
MS,38762,0.070000
MS,38764,0.070000
MS,38765,0.070000
MS,38767,0.070000
MS,38768,0.070000
MS,38769,0.070000
MS,38771,0.070000
MS,38772,0.070000
MS,38773,0.070000
MS,38774,0.070000
MS,38776,0.070000
MS,38778,0.070000
MS,38780,0.070000
MS,38781,0.070000
MS,38782,0.070000
MS,38801,0.072500
MS,38802,0.072500
MS,38803,0.072500
MS,38804,0.072500
MS,38820,0.070000
MS,38821,0.070000
MS,38824,0.070000
MS,38825,0.070000
MS,38826,0.072500
MS,38827,0.070000
MS,38828,0.070000
MS,38829,0.070000
MS,38833,0.070000
MS,38834,0.070000
MS,38835,0.070000
MS,38838,0.070000
MS,38839,0.070000
MS,38841,0.070000
MS,38843,0.070000
MS,38844,0.070000
MS,38846,0.070000
MS,38847,0.070000
MS,38848,0.070000
MS,38849,0.070000
MS,38850,0.070000
MS,38851,0.070000
MS,38852,0.070000
MS,38855,0.070000
MS,38856,0.070000
MS,38857,0.070000
MS,38858,0.070000
MS,38859,0.070000
MS,38860,0.070000
MS,38862,0.070000
MS,38863,0.070000
MS,38864,0.070000
MS,38865,0.070000
MS,38866,0.072500
MS,38868,0.070000
MS,38869,0.070000
MS,38870,0.070000
MS,38871,0.070000
MS,38873,0.070000
MS,38874,0.070000
MS,38875,0.070000
MS,38876,0.070000
MS,38877,0.070000
MS,38878,0.070000
MS,38879,0.070000
MS,38880,0.070000
MS,38901,0.070000
MS,38902,0.070000
MS,38913,0.070000
MS,38914,0.070000
MS,38915,0.070000
MS,38916,0.070000
MS,38917,0.070000
MS,38920,0.070000
MS,38921,0.070000
MS,38922,0.070000
MS,38923,0.070000
MS,38924,0.070000
MS,38925,0.070000
MS,38926,0.070000
MS,38927,0.070000
MS,38928,0.070000
MS,38929,0.070000
MS,38930,0.070000
MS,38935,0.070000
MS,38940,0.070000
MS,38941,0.070000
MS,38943,0.070000
MS,38944,0.070000
MS,38945,0.070000
MS,38946,0.070000
MS,38947,0.070000
MS,38948,0.070000
MS,38949,0.070000
MS,38950,0.070000
MS,38951,0.070000
MS,38952,0.070000
MS,38953,0.070000
MS,38954,0.070000
MS,38955,0.070000
MS,38957,0.070000
MS,38958,0.070000
MS,38959,0.070000
MS,38960,0.070000
MS,38961,0.070000
MS,38962,0.070000
MS,38963,0.070000
MS,38964,0.070000
MS,38965,0.070000
MS,38966,0.070000
MS,38967,0.070000
MS,39038,0.070000
MS,39039,0.070000
MS,39040,0.070000
MS,39041,0.070000
MS,39042,0.070000
MS,39043,0.070000
MS,39044,0.070000
MS,39045,0.070000
MS,39046,0.070000
MS,39047,0.070000
MS,39051,0.070000
MS,39054,0.070000
MS,39056,0.080000
MS,39057,0.070000
MS,39058,0.070000
MS,39059,0.070000
MS,39060,0.070000
MS,39061,0.070000
MS,39062,0.070000
MS,39063,0.070000
MS,39066,0.070000
MS,39067,0.070000
MS,39069,0.070000
MS,39071,0.070000
MS,39073,0.070000
MS,39074,0.070000
MS,39077,0.070000
MS,39078,0.070000
MS,39079,0.070000
MS,39080,0.070000
MS,39081,0.070000
MS,39082,0.070000
MS,39083,0.070000
MS,39086,0.070000
MS,39087,0.070000
MS,39088,0.070000
MS,39090,0.070000
MS,39092,0.070000
MS,39094,0.070000
MS,39095,0.070000
MS,39096,0.070000
MS,39097,0.070000
MS,39098,0.070000
MS,39107,0.070000
MS,39108,0.070000
MS,39109,0.070000
MS,39110,0.070000
MS,39111,0.070000
MS,39113,0.070000
MS,39114,0.070000
MS,39115,0.070000
MS,39116,0.070000
MS,39117,0.070000
MS,39119,0.070000
MS,39120,0.070000
MS,39121,0.070000
MS,39122,0.070000
MS,39130,0.070000
MS,39140,0.070000
MS,39144,0.070000
MS,39145,0.070000
MS,39146,0.070000
MS,39148,0.070000
MS,39149,0.070000
MS,39150,0.070000
MS,39151,0.070000
MS,39152,0.070000
MS,39153,0.070000
MS,39154,0.070000
MS,39156,0.070000
MS,39157,0.080000
MS,39158,0.070000
MS,39159,0.070000
MS,39160,0.070000
MS,39161,0.070000
MS,39162,0.070000
MS,39163,0.070000
MS,39165,0.070000
MS,39166,0.070000
MS,39167,0.070000
MS,39168,0.070000
MS,39169,0.070000
MS,39170,0.070000
MS,39171,0.070000
MS,39173,0.070000
MS,39174,0.080000
MS,39175,0.070000
MS,39176,0.070000
MS,39177,0.070000
MS,39179,0.070000
MS,39180,0.070000
MS,39181,0.070000
MS,39182,0.070000
MS,39183,0.070000
MS,39189,0.070000
MS,39190,0.070000
MS,39191,0.070000
MS,39192,0.070000
MS,39193,0.070000
MS,39194,0.070000
MS,39201,0.080000
MS,39202,0.080000
MS,39203,0.080000
MS,39204,0.080000
MS,39205,0.080000
MS,39206,0.080000
MS,39207,0.080000
MS,39208,0.080000
MS,39209,0.080000
MS,39210,0.080000
MS,39211,0.080000
MS,39212,0.080000
MS,39213,0.080000
MS,39215,0.080000
MS,39216,0.080000
