State,ZipCode,EstimatedCombinedRate
MT,57717,0.000000
MT,57724,0.000000
MT,58621,0.000000
MT,59001,0.000000
MT,59002,0.000000
MT,59003,0.000000
MT,59004,0.000000
MT,59006,0.000000
MT,59007,0.000000
MT,59008,0.000000
MT,59010,0.000000
MT,59011,0.000000
MT,59012,0.000000
MT,59013,0.000000
MT,59014,0.000000
MT,59015,0.000000
MT,59016,0.000000
MT,59018,0.000000
MT,59019,0.000000
MT,59020,0.000000
MT,59022,0.000000
MT,59024,0.000000
MT,59025,0.000000
MT,59026,0.000000
MT,59027,0.000000
MT,59028,0.000000
MT,59029,0.000000
MT,59030,0.000000
MT,59031,0.000000
MT,59032,0.000000
MT,59033,0.000000
MT,59034,0.000000
MT,59035,0.000000
MT,59036,0.000000
MT,59037,0.000000
MT,59038,0.000000
MT,59039,0.000000
MT,59041,0.000000
MT,59043,0.000000
MT,59044,0.000000
MT,59046,0.000000
MT,59047,0.000000
MT,59050,0.000000
MT,59052,0.000000
MT,59053,0.000000
MT,59054,0.000000
MT,59055,0.000000
MT,59057,0.000000
MT,59058,0.000000
MT,59059,0.000000
MT,59061,0.000000
MT,59062,0.000000
MT,59063,0.000000
MT,59064,0.000000
MT,59065,0.000000
MT,59066,0.000000
MT,59067,0.000000
MT,59068,0.000000
MT,59069,0.000000
MT,59070,0.000000
MT,59071,0.000000
MT,59072,0.000000
MT,59073,0.000000
MT,59074,0.000000
MT,59075,0.000000
MT,59076,0.000000
MT,59077,0.000000
MT,59078,0.000000
MT,59079,0.000000
MT,59081,0.000000
MT,59082,0.000000
MT,59083,0.000000
MT,59084,0.000000
MT,59085,0.000000
MT,59086,0.000000
MT,59087,0.000000
MT,59088,0.000000
MT,59089,0.000000
MT,59101,0.000000
MT,59102,0.000000
MT,59103,0.000000
MT,59104,0.000000
MT,59105,0.000000
MT,59106,0.000000
MT,59107,0.000000
MT,59108,0.000000
MT,59111,0.000000
MT,59112,0.000000
MT,59114,0.000000
MT,59115,0.000000
MT,59116,0.000000
MT,59117,0.000000
MT,59201,0.000000
MT,59211,0.000000
MT,59212,0.000000
MT,59213,0.000000
MT,59214,0.000000
MT,59215,0.000000
MT,59217,0.000000
MT,59218,0.000000
MT,59219,0.000000
MT,59221,0.000000
MT,59222,0.000000
MT,59223,0.000000
MT,59225,0.000000
MT,59226,0.000000
MT,59230,0.000000
MT,59231,0.000000
MT,59240,0.000000
MT,59241,0.000000
MT,59242,0.000000
MT,59243,0.000000
MT,59244,0.000000
MT,59247,0.000000
MT,59248,0.000000
MT,59250,0.000000
MT,59252,0.000000
MT,59253,0.000000
MT,59254,0.000000
MT,59255,0.000000
MT,59256,0.000000
MT,59257,0.000000
MT,59258,0.000000
MT,59259,0.000000
MT,59260,0.000000
MT,59261,0.000000
MT,59262,0.000000
MT,59263,0.000000
MT,59270,0.000000
MT,59273,0.000000
MT,59274,0.000000
MT,59275,0.000000
MT,59276,0.000000
MT,59301,0.000000
MT,59311,0.000000
MT,59312,0.000000
MT,59313,0.000000
MT,59314,0.000000
MT,59315,0.000000
MT,59316,0.000000
MT,59317,0.000000
MT,59318,0.000000
MT,59319,0.000000
MT,59322,0.000000
MT,59323,0.000000
MT,59324,0.000000
MT,59326,0.000000
MT,59327,0.000000
MT,59330,0.000000
MT,59332,0.000000
MT,59333,0.000000
MT,59336,0.000000
MT,59337,0.000000
MT,59338,0.000000
MT,59339,0.000000
MT,59341,0.000000
MT,59343,0.000000
MT,59344,0.000000
MT,59345,0.000000
MT,59347,0.000000
MT,59349,0.000000
MT,59351,0.000000
MT,59353,0.000000
MT,59354,0.000000
MT,59401,0.000000
MT,59402,0.000000
MT,59403,0.000000
MT,59404,0.000000
MT,59405,0.000000
MT,59406,0.000000
MT,59410,0.000000
MT,59411,0.000000
MT,59412,0.000000
MT,59414,0.000000
MT,59416,0.000000
MT,59417,0.000000
MT,59418,0.000000
MT,59419,0.000000
MT,59420,0.000000
MT,59421,0.000000
MT,59422,0.000000
MT,59424,0.000000
MT,59425,0.000000
MT,59427,0.000000
MT,59430,0.000000
MT,59432,0.000000
MT,59433,0.000000
MT,59434,0.000000
MT,59435,0.000000
MT,59436,0.000000
MT,59440,0.000000
MT,59441,0.000000
MT,59442,0.000000
MT,59443,0.000000
