State,ZipCode,EstimatedCombinedRate
NC,27006,0.067500
NC,27007,0.070000
NC,27009,0.070000
NC,27010,0.070000
NC,27011,0.067500
NC,27012,0.070000
NC,27013,0.070000
NC,27014,0.067500
NC,27016,0.067500
NC,27017,0.070000
NC,27018,0.067500
NC,27019,0.070000
NC,27020,0.070000
NC,27021,0.070000
NC,27022,0.067500
NC,27023,0.070000
NC,27024,0.070000
NC,27025,0.070000
NC,27027,0.070000
NC,27028,0.067500
NC,27030,0.070000
NC,27031,0.070000
NC,27040,0.070000
NC,27041,0.070000
NC,27042,0.070000
NC,27043,0.070000
NC,27045,0.070000
NC,27046,0.070000
NC,27047,0.070000
NC,27048,0.070000
NC,27049,0.070000
NC,27050,0.070000
NC,27051,0.070000
NC,27052,0.070000
NC,27053,0.070000
NC,27054,0.070000
NC,27055,0.067500
NC,27094,0.070000
NC,27098,0.070000
NC,27099,0.070000
NC,27101,0.070000
NC,27102,0.070000
NC,27103,0.070000
NC,27104,0.070000
NC,27105,0.070000
NC,27106,0.070000
NC,27107,0.070000
NC,27108,0.070000
NC,27109,0.070000
NC,27110,0.070000
NC,27111,0.070000
NC,27113,0.070000
NC,27114,0.070000
NC,27115,0.070000
NC,27116,0.070000
NC,27117,0.070000
NC,27120,0.070000
NC,27127,0.070000
NC,27130,0.070000
NC,27150,0.070000
NC,27152,0.070000
NC,27155,0.070000
NC,27157,0.070000
NC,27198,0.070000
NC,27199,0.070000
NC,27201,0.067500
NC,27202,0.067500
NC,27203,0.070000
NC,27204,0.070000
NC,27205,0.070000
NC,27207,0.070000
NC,27208,0.070000
NC,27209,0.070000
NC,27212,0.067500
NC,27213,0.070000
NC,27214,0.070000
NC,27215,0.067500
NC,27216,0.067500
NC,27217,0.067500
NC,27228,0.070000
NC,27229,0.070000
NC,27230,0.070000
NC,27231,0.075000
NC,27233,0.070000
NC,27235,0.070000
NC,27237,0.070000
NC,27239,0.070000
NC,27242,0.070000
NC,27243,0.075000
NC,27244,0.067500
