State,ZipCode,EstimatedCombinedRate
ND,57270,0.050000
ND,57430,0.050000
ND,57441,0.050000
ND,57457,0.050000
ND,57632,0.050000
ND,57638,0.050000
ND,57641,0.050000
ND,57645,0.050000
ND,57648,0.050000
ND,57660,0.050000
ND,58001,0.050000
ND,58002,0.055000
ND,58004,0.055000
ND,58005,0.055000
ND,58006,0.055000
ND,58007,0.055000
ND,58008,0.050000
ND,58009,0.050000
ND,58011,0.075000
ND,58012,0.075000
ND,58013,0.050000
ND,58015,0.055000
ND,58016,0.060000
ND,58017,0.050000
ND,58018,0.050000
ND,58021,0.075000
ND,58027,0.080000
ND,58029,0.055000
ND,58030,0.070000
ND,58031,0.055000
ND,58032,0.065000
ND,58033,0.070000
ND,58035,0.060000
ND,58036,0.055000
ND,58038,0.055000
ND,58040,0.070000
ND,58041,0.080000
ND,58042,0.075000
ND,58043,0.050000
ND,58045,0.075000
ND,58046,0.080000
ND,58047,0.075000
ND,58048,0.055000
ND,58049,0.050000
ND,58051,0.075000
ND,58052,0.075000
ND,58053,0.080000
ND,58054,0.075000
ND,58056,0.060000
ND,58057,0.050000
ND,58058,0.050000
ND,58059,0.070000
ND,58060,0.075000
ND,58061,0.050000
ND,58062,0.050000
ND,58063,0.055000
ND,58064,0.075000
ND,58065,0.050000
ND,58067,0.050000
ND,58068,0.050000
ND,58069,0.050000
ND,58071,0.075000
ND,58072,0.075000
ND,58074,0.070000
ND,58075,0.070000
ND,58076,0.070000
ND,58077,0.050000
ND,58078,0.075000
ND,58079,0.055000
ND,58081,0.080000
ND,58102,0.075000
ND,58103,0.075000
ND,58104,0.075000
ND,58105,0.075000
ND,58106,0.075000
ND,58107,0.075000
ND,58108,0.075000
ND,58109,0.075000
ND,58121,0.075000
ND,58122,0.075000
ND,58124,0.075000
ND,58125,0.075000
ND,58126,0.075000
ND,58201,0.072500
ND,58202,0.072500
ND,58203,0.072500
ND,58204,0.050000
ND,58205,0.050000
ND,58206,0.072500
ND,58207,0.072500
ND,58208,0.072500
ND,58210,0.052500
ND,58212,0.060000
ND,58214,0.050000
ND,58216,0.050000
ND,58218,0.050000
ND,58219,0.050000
ND,58220,0.070000
ND,58222,0.050000
ND,58223,0.050000
ND,58224,0.050000
ND,58225,0.065000
ND,58227,0.062500
ND,58228,0.050000
ND,58229,0.052500
ND,58230,0.080000
ND,58231,0.052500
ND,58233,0.052500
ND,58235,0.050000
ND,58236,0.050000
ND,58237,0.077500
ND,58238,0.050000
ND,58239,0.050000
ND,58240,0.075000
ND,58241,0.050000
ND,58243,0.062500
ND,58244,0.050000
ND,58249,0.070000
ND,58250,0.052500
ND,58251,0.070000
ND,58254,0.070000
ND,58255,0.050000
ND,58256,0.050000
ND,58257,0.070000
ND,58258,0.050000
ND,58259,0.070000
ND,58260,0.052500
ND,58261,0.062500
ND,58262,0.050000
ND,58265,0.070000
ND,58266,0.050000
ND,58267,0.080000
ND,58269,0.050000
ND,58270,0.072500
ND,58271,0.075000
ND,58272,0.050000
ND,58273,0.052500
ND,58274,0.070000
ND,58275,0.050000
ND,58276,0.050000
ND,58277,0.060000
ND,58278,0.070000
ND,58281,0.050000
ND,58282,0.070000
ND,58301,0.075000
ND,58310,0.050000
ND,58311,0.050000
ND,58313,0.050000
ND,58316,0.050000
ND,58317,0.070000
ND,58318,0.070000
ND,58321,0.052500
ND,58323,0.050000
ND,58324,0.070000
ND,58325,0.050000
ND,58327,0.050000
ND,58329,0.060000
ND,58330,0.052500
ND,58331,0.050000
ND,58332,0.050000
