State,ZipCode,EstimatedCombinedRate
NE,51557,0.055000
NE,51640,0.055000
NE,57533,0.055000
NE,57735,0.055000
NE,66955,0.055000
NE,68001,0.055000
NE,68002,0.070000
NE,68003,0.070000
NE,68004,0.070000
NE,68005,0.070000
NE,68007,0.070000
NE,68008,0.070000
NE,68010,0.070000
NE,68014,0.055000
NE,68015,0.055000
NE,68016,0.055000
NE,68017,0.070000
NE,68018,0.055000
NE,68019,0.055000
NE,68020,0.075000
NE,68022,0.070000
NE,68023,0.070000
NE,68025,0.070000
NE,68026,0.070000
NE,68028,0.075000
NE,68029,0.055000
NE,68030,0.060000
NE,68031,0.065000
NE,68033,0.055000
NE,68034,0.055000
NE,68036,0.065000
NE,68037,0.070000
NE,68038,0.070000
NE,68039,0.055000
NE,68040,0.055000
NE,68041,0.055000
NE,68042,0.055000
NE,68044,0.055000
NE,68045,0.070000
NE,68046,0.075000
NE,68047,0.070000
NE,68048,0.070000
NE,68050,0.055000
NE,68055,0.055000
NE,68056,0.055000
NE,68057,0.070000
NE,68058,0.055000
NE,68059,0.075000
NE,68061,0.075000
NE,68062,0.055000
NE,68063,0.065000
NE,68064,0.070000
NE,68065,0.055000
NE,68066,0.075000
NE,68067,0.055000
NE,68068,0.055000
NE,68069,0.075000
NE,68070,0.055000
NE,68071,0.055000
NE,68072,0.055000
NE,68073,0.055000
NE,68101,0.070000
NE,68102,0.070000
NE,68103,0.070000
NE,68104,0.070000
NE,68105,0.070000
NE,68106,0.070000
NE,68107,0.070000
NE,68108,0.070000
NE,68109,0.070000
NE,68110,0.070000
NE,68111,0.070000
NE,68112,0.070000
NE,68113,0.055000
NE,68114,0.070000
NE,68116,0.070000
NE,68117,0.070000
NE,68118,0.070000
NE,68119,0.070000
NE,68122,0.070000
NE,68123,0.070000
NE,68124,0.070000
NE,68127,0.075000
NE,68128,0.075000
NE,68130,0.070000
NE,68131,0.070000
NE,68132,0.070000
NE,68133,0.075000
NE,68134,0.070000
NE,68135,0.070000
NE,68136,0.075000
NE,68137,0.070000
NE,68138,0.075000
NE,68139,0.070000
NE,68142,0.055000
NE,68144,0.070000
NE,68145,0.070000
NE,68147,0.070000
NE,68152,0.070000
NE,68154,0.070000
NE,68157,0.070000
NE,68164,0.070000
NE,68172,0.070000
NE,68175,0.070000
NE,68176,0.070000
NE,68178,0.070000
NE,68179,0.070000
NE,68180,0.070000
NE,68182,0.070000
NE,68183,0.070000
NE,68197,0.070000
NE,68198,0.070000
NE,68301,0.055000
NE,68303,0.055000
NE,68304,0.055000
NE,68305,0.065000
NE,68307,0.055000
NE,68309,0.055000
NE,68310,0.075000
NE,68313,0.065000
NE,68314,0.055000
NE,68315,0.055000
NE,68316,0.070000
NE,68317,0.065000
NE,68318,0.055000
NE,68319,0.055000
NE,68320,0.055000
NE,68321,0.065000
NE,68322,0.070000
NE,68323,0.055000
NE,68324,0.055000
NE,68325,0.065000
NE,68326,0.055000
NE,68327,0.065000
NE,68328,0.060000
NE,68329,0.055000
NE,68330,0.065000
NE,68331,0.065000
NE,68332,0.055000
NE,68333,0.075000
NE,68335,0.055000
NE,68336,0.072500
NE,68337,0.055000
NE,68338,0.065000
NE,68339,0.055000
NE,68340,0.065000
NE,68341,0.065000
NE,68342,0.065000
NE,68343,0.070000
NE,68344,0.070000
NE,68345,0.055000
NE,68346,0.055000
NE,68347,0.065000
NE,68348,0.055000
NE,68349,0.070000
NE,68350,0.055000
NE,68351,0.070000
NE,68352,0.075000
NE,68354,0.055000
NE,68355,0.075000
NE,68357,0.055000
NE,68358,0.055000
NE,68359,0.070000
NE,68360,0.055000
NE,68361,0.075000
NE,68362,0.055000
NE,68364,0.055000
NE,68365,0.055000
NE,68366,0.065000
NE,68367,0.070000
NE,68368,0.065000
NE,68370,0.070000
NE,68371,0.070000
NE,68372,0.070000
NE,68375,0.065000
NE,68376,0.070000
NE,68377,0.065000
NE,68378,0.055000
NE,68379,0.055000
NE,68380,0.055000
NE,68381,0.055000
NE,68382,0.055000
NE,68401,0.070000
NE,68402,0.065000
NE,68403,0.060000
NE,68404,0.055000
NE,68405,0.065000
NE,68406,0.070000
NE,68407,0.055000
NE,68409,0.065000
NE,68410,0.075000
NE,68413,0.065000
NE,68414,0.055000
NE,68415,0.065000
NE,68416,0.055000
NE,68417,0.055000
NE,68418,0.065000
NE,68419,0.055000
NE,68420,0.075000
NE,68421,0.065000
NE,68422,0.055000
NE,68423,0.055000
NE,68424,0.070000
NE,68428,0.055000
NE,68429,0.055000
NE,68430,0.072500
NE,68431,0.055000
NE,68433,0.055000
NE,68434,0.075000
NE,68436,0.055000
NE,68437,0.055000
NE,68438,0.055000
NE,68439,0.055000
NE,68440,0.055000
NE,68441,0.055000
NE,68442,0.055000
NE,68443,0.065000
NE,68444,0.055000
NE,68445,0.055000
NE,68446,0.065000
NE,68447,0.055000
NE,68448,0.055000
NE,68450,0.070000
NE,68452,0.055000
NE,68453,0.055000
NE,68454,0.070000
NE,68455,0.055000
NE,68456,0.070000
NE,68457,0.055000
NE,68458,0.055000
NE,68460,0.055000
NE,68461,0.055000
NE,68462,0.070000
NE,68463,0.070000
NE,68464,0.055000
NE,68465,0.070000
NE,68466,0.070000
NE,68467,0.075000
NE,68501,0.072500
NE,68502,0.072500
NE,68503,0.072500
NE,68504,0.072500
NE,68505,0.072500
NE,68506,0.072500
NE,68507,0.072500
NE,68508,0.072500
NE,68509,0.072500
NE,68510,0.072500
NE,68512,0.072500
NE,68514,0.072500
NE,68516,0.072500
NE,68517,0.072500
NE,68520,0.072500
NE,68521,0.072500
NE,68522,0.072500
NE,68523,0.072500
NE,68524,0.072500
NE,68526,0.072500
NE,68527,0.072500
NE,68528,0.072500
NE,68529,0.072500
NE,68531,0.072500
NE,68532,0.055000
NE,68542,0.072500
NE,68544,0.072500
NE,68583,0.072500
NE,68588,0.072500
NE,68601,0.070000
NE,68602,0.070000
NE,68620,0.070000
NE,68621,0.055000
NE,68622,0.055000
NE,68623,0.055000
NE,68624,0.070000
NE,68626,0.065000
NE,68627,0.065000
NE,68628,0.070000
NE,68629,0.070000
NE,68631,0.055000
NE,68632,0.075000
NE,68633,0.070000
NE,68634,0.070000
NE,68635,0.055000
NE,68636,0.065000
NE,68637,0.055000
NE,68638,0.075000
NE,68640,0.075000
NE,68641,0.070000
NE,68642,0.075000
NE,68643,0.070000
NE,68644,0.055000
NE,68647,0.070000
NE,68648,0.055000
NE,68649,0.070000
NE,68651,0.070000
NE,68652,0.065000
NE,68653,0.070000
NE,68654,0.055000
NE,68655,0.055000
NE,68658,0.065000
NE,68659,0.055000
NE,68660,0.070000
NE,68661,0.070000
NE,68662,0.070000
NE,68663,0.065000
NE,68664,0.055000
NE,68665,0.070000
NE,68666,0.070000
NE,68667,0.055000
NE,68669,0.055000
NE,68701,0.070000
NE,68702,0.070000
NE,68710,0.055000
NE,68711,0.055000
NE,68713,0.070000
NE,68714,0.070000
NE,68715,0.070000
NE,68716,0.070000
NE,68717,0.055000
NE,68718,0.065000
NE,68719,0.055000
NE,68720,0.055000
NE,68722,0.055000
NE,68723,0.055000
NE,68724,0.055000
NE,68725,0.065000
NE,68726,0.070000
NE,68727,0.065000
NE,68728,0.055000
NE,68729,0.065000
NE,68730,0.065000
NE,68731,0.070000
NE,68732,0.055000
NE,68733,0.075000
NE,68734,0.055000
NE,68735,0.070000
NE,68736,0.065000
NE,68738,0.055000
NE,68739,0.070000
NE,68740,0.055000
NE,68741,0.070000
NE,68742,0.055000
NE,68743,0.070000
NE,68745,0.065000
NE,68746,0.055000
NE,68747,0.055000
NE,68748,0.070000
NE,68749,0.055000
NE,68751,0.055000
NE,68752,0.070000
NE,68753,0.055000
NE,68755,0.055000
NE,68756,0.065000
NE,68757,0.055000
NE,68758,0.070000
NE,68759,0.055000
NE,68760,0.065000
NE,68761,0.055000
NE,68763,0.070000
NE,68764,0.070000
NE,68765,0.070000
NE,68766,0.055000
NE,68767,0.065000
NE,68768,0.070000
NE,68769,0.070000
NE,68770,0.070000
NE,68771,0.070000
NE,68773,0.055000
NE,68774,0.055000
NE,68776,0.070000
NE,68777,0.065000
NE,68778,0.065000
NE,68779,0.070000
NE,68780,0.070000
NE,68781,0.070000
NE,68783,0.070000
NE,68784,0.065000
NE,68785,0.060000
NE,68786,0.065000
NE,68787,0.070000
NE,68788,0.075000
NE,68789,0.055000
NE,68790,0.055000
NE,68791,0.075000
NE,68792,0.070000
NE,68801,0.075000
NE,68802,0.075000
NE,68803,0.075000
NE,68810,0.055000
NE,68812,0.055000
NE,68813,0.055000
NE,68814,0.065000
NE,68815,0.065000
NE,68816,0.055000
NE,68817,0.055000
NE,68818,0.055000
NE,68820,0.055000
NE,68821,0.055000
NE,68822,0.070000
NE,68823,0.070000
NE,68824,0.065000
NE,68825,0.065000
NE,68826,0.070000
NE,68827,0.055000
NE,68828,0.055000
NE,68831,0.065000
NE,68832,0.075000
NE,68833,0.060000
NE,68834,0.055000
NE,68835,0.055000
NE,68836,0.065000
NE,68837,0.055000
NE,68838,0.055000
NE,68840,0.070000
NE,68841,0.055000
NE,68842,0.070000
NE,68843,0.055000
NE,68844,0.055000
NE,68845,0.070000
NE,68846,0.055000
NE,68847,0.070000
NE,68848,0.070000
NE,68849,0.070000
NE,68850,0.070000
NE,68852,0.055000
NE,68853,0.075000
NE,68854,0.070000
NE,68855,0.055000
NE,68856,0.055000
NE,68858,0.055000
NE,68859,0.055000
NE,68860,0.065000
NE,68861,0.055000
NE,68862,0.075000
NE,68863,0.055000
NE,68864,0.070000
NE,68865,0.055000
NE,68866,0.065000
NE,68869,0.070000
NE,68870,0.055000
NE,68871,0.055000
NE,68872,0.055000
NE,68873,0.070000
NE,68874,0.075000
NE,68875,0.055000
NE,68876,0.055000
NE,68878,0.055000
NE,68879,0.055000
NE,68881,0.055000
NE,68882,0.055000
NE,68883,0.070000
NE,68901,0.070000
NE,68902,0.070000
NE,68920,0.075000
NE,68922,0.070000
NE,68923,0.055000
NE,68924,0.055000
NE,68925,0.055000
NE,68926,0.065000
NE,68927,0.070000
NE,68928,0.055000
NE,68929,0.055000
NE,68930,0.070000
NE,68932,0.055000
NE,68933,0.070000
NE,68934,0.065000
NE,68935,0.065000
NE,68936,0.065000
NE,68937,0.065000
NE,68938,0.070000
NE,68939,0.065000
NE,68940,0.055000
NE,68941,0.055000
NE,68942,0.070000
NE,68943,0.055000
NE,68944,0.065000
NE,68945,0.055000
NE,68946,0.055000
NE,68947,0.065000
NE,68948,0.055000
NE,68949,0.070000
NE,68950,0.055000
NE,68952,0.055000
NE,68954,0.055000
NE,68955,0.070000
NE,68956,0.055000
NE,68957,0.065000
NE,68958,0.065000
NE,68959,0.075000
NE,68960,0.055000
NE,68961,0.065000
NE,68964,0.055000
NE,68966,0.055000
NE,68967,0.075000
NE,68969,0.055000
NE,68970,0.070000
NE,68971,0.065000
NE,68972,0.055000
NE,68973,0.055000
NE,68974,0.055000
NE,68975,0.055000
NE,68976,0.055000
NE,68977,0.055000
NE,68978,0.070000
NE,68979,0.070000
NE,68980,0.055000
NE,68981,0.070000
NE,68982,0.055000
NE,69001,0.075000
NE,69020,0.055000
NE,69021,0.070000
NE,69022,0.075000
NE,69023,0.055000
NE,69024,0.055000
NE,69025,0.065000
NE,69026,0.055000
NE,69027,0.055000
NE,69028,0.065000
NE,69029,0.065000
NE,69030,0.055000
NE,69032,0.055000
NE,69033,0.065000
NE,69034,0.055000
NE,69036,0.055000
NE,69037,0.055000
NE,69038,0.070000
NE,69039,0.055000
NE,69040,0.055000
NE,69041,0.055000
NE,69042,0.055000
NE,69043,0.055000
NE,69044,0.055000
NE,69045,0.065000
NE,69046,0.055000
NE,69101,0.075000
NE,69103,0.075000
NE,69120,0.065000
NE,69121,0.055000
NE,69122,0.065000
NE,69123,0.055000
NE,69125,0.055000
NE,69127,0.055000
NE,69128,0.055000
NE,69129,0.075000
NE,69130,0.070000
NE,69131,0.055000
NE,69132,0.055000
NE,69133,0.055000
NE,69134,0.055000
NE,69135,0.055000
NE,69138,0.070000
NE,69140,0.065000
NE,69141,0.055000
NE,69142,0.060000
NE,69143,0.055000
NE,69144,0.055000
NE,69145,0.070000
NE,69146,0.055000
NE,69147,0.065000
NE,69148,0.055000
NE,69149,0.055000
NE,69150,0.055000
NE,69151,0.055000
NE,69152,0.065000
NE,69153,0.070000
NE,69154,0.075000
NE,69155,0.075000
NE,69156,0.055000
NE,69157,0.055000
NE,69160,0.075000
NE,69161,0.055000
NE,69162,0.075000
NE,69163,0.055000
NE,69165,0.070000
NE,69166,0.055000
NE,69167,0.055000
NE,69168,0.055000
NE,69169,0.055000
NE,69170,0.055000
NE,69171,0.055000
NE,69201,0.070000
NE,69210,0.070000
NE,69211,0.055000
NE,69212,0.055000
NE,69214,0.055000
NE,69216,0.055000
NE,69217,0.055000
NE,69218,0.055000
NE,69219,0.055000
NE,69220,0.055000
NE,69221,0.055000
NE,69301,0.070000
NE,69331,0.055000
NE,69333,0.055000
NE,69334,0.065000
NE,69335,0.055000
NE,69336,0.065000
NE,69337,0.075000
NE,69339,0.070000
NE,69340,0.055000
NE,69341,0.075000
NE,69343,0.070000
NE,69345,0.055000
NE,69346,0.070000
NE,69347,0.065000
NE,69348,0.070000
NE,69350,0.065000
NE,69351,0.055000
NE,69352,0.055000
NE,69353,0.055000
NE,69354,0.055000
NE,69355,0.055000
NE,69356,0.055000
NE,69357,0.070000
NE,69358,0.065000
NE,69360,0.070000
NE,69361,0.070000
NE,69363,0.070000
NE,69365,0.055000
NE,69366,0.055000
NE,69367,0.055000
NE,80737,0.055000
NE,82082,0.055000
