State,ZipCode,EstimatedCombinedRate
NM,79835,0.066250
NM,79922,0.083125
NM,81137,0.066250
NM,87001,0.062500
NM,87002,0.081875
NM,87004,0.070625
NM,87005,0.066875
NM,87006,0.067500
NM,87007,0.066875
NM,87008,0.077500
NM,87009,0.066250
NM,87010,0.070000
NM,87011,0.063750
NM,87012,0.067500
NM,87013,0.081875
NM,87014,0.066875
NM,87015,0.080625
NM,87016,0.080625
NM,87017,0.067500
NM,87018,0.062500
NM,87020,0.080000
NM,87021,0.078750
NM,87022,0.063125
NM,87023,0.067500
NM,87024,0.062500
NM,87025,0.073125
NM,87026,0.067500
NM,87027,0.067500
NM,87028,0.063750
NM,87029,0.067500
NM,87031,0.085500
NM,87032,0.066250
NM,87034,0.066875
NM,87035,0.080625
NM,87036,0.078125
NM,87037,0.066250
NM,87038,0.066875
NM,87040,0.066875
NM,87041,0.062500
NM,87042,0.084250
NM,87043,0.070625
NM,87044,0.062500
NM,87045,0.066875
NM,87046,0.062500
NM,87047,0.077500
NM,87048,0.076875
NM,87049,0.066875
NM,87051,0.066875
NM,87052,0.062500
NM,87053,0.067500
NM,87056,0.070000
NM,87059,0.077500
NM,87060,0.067500
NM,87061,0.066250
NM,87062,0.067500
NM,87063,0.074375
NM,87064,0.067500
NM,87068,0.084250
NM,87070,0.066250
NM,87072,0.062500
NM,87083,0.062500
NM,87101,0.077500
NM,87102,0.077500
NM,87103,0.077500
NM,87104,0.077500
NM,87105,0.077500
NM,87106,0.077500
NM,87107,0.077500
NM,87108,0.077500
NM,87109,0.077500
NM,87110,0.077500
NM,87111,0.077500
NM,87112,0.077500
NM,87113,0.077500
NM,87114,0.080000
NM,87115,0.063125
NM,87116,0.077500
NM,87117,0.063125
NM,87119,0.077500
NM,87120,0.077500
NM,87121,0.077500
NM,87122,0.077500
NM,87123,0.077500
NM,87124,0.080000
NM,87125,0.077500
NM,87131,0.077500
NM,87144,0.075625
NM,87151,0.063125
NM,87153,0.077500
NM,87154,0.077500
NM,87158,0.077500
NM,87174,0.075625
NM,87176,0.077500
NM,87181,0.077500
NM,87184,0.063125
NM,87185,0.063125
NM,87187,0.077500
NM,87190,0.077500
NM,87191,0.077500
NM,87192,0.077500
NM,87193,0.077500
NM,87194,0.077500
NM,87195,0.063125
NM,87196,0.077500
NM,87197,0.077500
NM,87198,0.077500
NM,87199,0.077500
NM,87301,0.081875
NM,87302,0.081875
NM,87305,0.081875
NM,87310,0.066250
NM,87311,0.081875
NM,87312,0.066250
NM,87313,0.066250
NM,87315,0.066875
NM,87316,0.066250
NM,87317,0.066250
NM,87319,0.066250
NM,87320,0.066250
NM,87321,0.066875
NM,87322,0.081875
NM,87323,0.066875
NM,87325,0.066250
NM,87326,0.066250
NM,87327,0.066250
NM,87328,0.066250
NM,87347,0.066250
NM,87357,0.066875
NM,87364,0.066250
NM,87365,0.066250
NM,87375,0.066250
NM,87401,0.083125
NM,87402,0.083125
NM,87410,0.083125
NM,87412,0.067500
NM,87413,0.082500
NM,87415,0.066250
NM,87416,0.066250
NM,87417,0.069375
NM,87418,0.066250
NM,87419,0.066250
NM,87420,0.066250
NM,87421,0.066250
NM,87455,0.066250
NM,87461,0.066250
NM,87499,0.083125
NM,87501,0.083125
NM,87502,0.083125
NM,87503,0.083125
NM,87504,0.083125
NM,87505,0.083125
NM,87506,0.083125
NM,87507,0.083125
NM,87508,0.070000
NM,87509,0.083125
NM,87510,0.067500
NM,87511,0.067500
NM,87512,0.068750
NM,87513,0.068750
NM,87514,0.068750
NM,87515,0.067500
NM,87516,0.067500
NM,87517,0.068750
NM,87518,0.067500
NM,87519,0.068750
NM,87520,0.084375
NM,87521,0.068750
NM,87522,0.070000
NM,87523,0.067500
NM,87524,0.068750
NM,87525,0.088125
NM,87527,0.067500
NM,87528,0.067500
NM,87529,0.071250
NM,87530,0.067500
NM,87531,0.068750
NM,87532,0.089375
NM,87533,0.088125
NM,87535,0.076458
NM,87537,0.067500
NM,87538,0.067083
NM,87539,0.067500
NM,87540,0.070000
NM,87543,0.068750
NM,87544,0.071875
NM,87545,0.071875
NM,87547,0.071875
NM,87548,0.067500
NM,87549,0.068750
NM,87551,0.067500
NM,87552,0.076458
NM,87553,0.068750
NM,87554,0.067500
NM,87556,0.079375
NM,87557,0.083125
NM,87558,0.088000
NM,87560,0.067083
NM,87562,0.067083
NM,87564,0.068750
NM,87565,0.067083
NM,87566,0.067500
NM,87567,0.089375
NM,87569,0.067083
NM,87571,0.083125
NM,87573,0.067083
NM,87574,0.070000
NM,87575,0.067500
NM,87576,0.068750
NM,87577,0.068750
NM,87578,0.067500
NM,87579,0.068750
NM,87580,0.068750
NM,87581,0.067500
NM,87582,0.067500
NM,87583,0.067083
NM,87592,0.083125
NM,87594,0.083125
NM,87654,0.068125
NM,87701,0.082708
NM,87710,0.076458
NM,87711,0.067083
NM,87712,0.066458
NM,87713,0.066458
NM,87714,0.080208
NM,87715,0.066458
NM,87718,0.077583
NM,87722,0.066458
NM,87723,0.066458
NM,87724,0.063125
NM,87728,0.067083
NM,87729,0.059583
NM,87730,0.060000
NM,87731,0.067083
NM,87732,0.067083
NM,87733,0.072708
NM,87734,0.066458
NM,87735,0.066458
NM,87736,0.066458
NM,87740,0.083833
NM,87742,0.067083
NM,87743,0.071875
NM,87745,0.067083
NM,87746,0.067083
NM,87747,0.076458
NM,87749,0.059583
NM,87750,0.066458
NM,87752,0.076458
NM,87753,0.066458
NM,87801,0.076875
NM,87820,0.061875
NM,87821,0.061875
NM,87823,0.063750
NM,87824,0.061875
NM,87825,0.073125
NM,87827,0.061875
NM,87828,0.063750
NM,87829,0.061875
NM,87830,0.078750
NM,87831,0.063750
NM,87832,0.063750
NM,87901,0.085000
NM,87930,0.068125
NM,87931,0.068125
NM,87933,0.068125
NM,87935,0.080625
NM,87936,0.068125
NM,87937,0.076875
NM,87939,0.068125
NM,87940,0.066250
NM,87941,0.066250
NM,87942,0.080625
NM,87943,0.068125
NM,88001,0.081875
NM,88002,0.066250
NM,88003,0.081875
NM,88004,0.081875
NM,88005,0.081875
NM,88006,0.081875
NM,88007,0.081875
NM,88008,0.083125
NM,88009,0.060625
NM,88011,0.081875
NM,88012,0.081875
NM,88013,0.081875
NM,88020,0.060625
NM,88021,0.085000
NM,88022,0.075000
NM,88023,0.077500
NM,88024,0.066250
NM,88025,0.064375
NM,88026,0.075000
NM,88027,0.066250
NM,88028,0.064375
NM,88029,0.078125
NM,88030,0.083750
NM,88031,0.083750
NM,88032,0.066250
NM,88033,0.066250
NM,88034,0.067500
NM,88036,0.077500
NM,88038,0.064375
NM,88039,0.061875
NM,88040,0.064375
NM,88041,0.064375
NM,88042,0.068125
NM,88043,0.077500
NM,88044,0.066250
NM,88045,0.076250
NM,88046,0.080625
NM,88047,0.081875
NM,88048,0.066250
NM,88049,0.064375
NM,88051,0.064375
NM,88052,0.066250
NM,88053,0.064375
NM,88054,0.066250
NM,88055,0.064375
NM,88056,0.060625
NM,88058,0.066250
NM,88061,0.082375
NM,88062,0.082375
NM,88063,0.083125
NM,88065,0.064375
NM,88072,0.066250
NM,88081,0.068750
NM,88101,0.080625
NM,88102,0.080625
NM,88103,0.080625
NM,88112,0.065625
NM,88113,0.070000
NM,88114,0.053750
NM,88115,0.072500
NM,88116,0.078750
NM,88118,0.070000
NM,88119,0.079375
NM,88120,0.068125
NM,88121,0.078750
NM,88122,0.065000
NM,88123,0.065000
NM,88124,0.076250
NM,88125,0.065000
NM,88126,0.065000
NM,88130,0.080625
NM,88132,0.070000
NM,88133,0.060000
NM,88134,0.066250
NM,88135,0.074375
NM,88136,0.066250
NM,88201,0.077083
NM,88202,0.077083
NM,88203,0.077083
NM,88210,0.077708
NM,88211,0.077708
NM,88213,0.053750
NM,88220,0.075208
NM,88221,0.075208
NM,88230,0.077083
NM,88231,0.071875
NM,88232,0.074583
NM,88240,0.066875
NM,88241,0.066875
NM,88242,0.066875
NM,88244,0.066875
NM,88250,0.067083
NM,88252,0.073125
NM,88253,0.077708
NM,88254,0.058333
NM,88255,0.058333
NM,88256,0.075083
NM,88260,0.071250
NM,88262,0.053750
NM,88263,0.058333
NM,88264,0.053750
NM,88265,0.053750
NM,88267,0.066875
NM,88268,0.058333
NM,88301,0.073000
NM,88310,0.080000
NM,88311,0.080000
NM,88312,0.083125
NM,88314,0.061875
NM,88316,0.066875
NM,88317,0.076250
NM,88318,0.068125
NM,88321,0.071875
NM,88323,0.053750
NM,88324,0.053750
NM,88325,0.061875
NM,88330,0.061875
NM,88336,0.053750
NM,88337,0.061875
NM,88338,0.053750
NM,88339,0.063958
NM,88340,0.061875
NM,88341,0.053750
NM,88342,0.061875
NM,88343,0.053750
NM,88344,0.063958
NM,88345,0.083125
NM,88346,0.083125
NM,88347,0.061875
NM,88348,0.053750
NM,88349,0.061875
NM,88350,0.061875
NM,88351,0.053750
NM,88352,0.076250
NM,88353,0.084875
NM,88354,0.061875
NM,88355,0.083125
NM,88401,0.082500
NM,88410,0.060000
NM,88411,0.065625
NM,88414,0.059583
NM,88415,0.080000
NM,88416,0.067083
NM,88417,0.063125
NM,88418,0.076250
NM,88419,0.073750
NM,88421,0.067083
NM,88422,0.059583
NM,88424,0.073750
NM,88426,0.082500
NM,88427,0.065625
NM,88430,0.065625
NM,88431,0.067083
NM,88433,0.065625
NM,88434,0.082500
NM,88435,0.083750
NM,88436,0.059375
NM,88439,0.067083
