State,ZipCode,EstimatedCombinedRate
NV,88901,0.083750
NV,88905,0.083750
NV,89001,0.071000
NV,89002,0.083750
NV,89003,0.076000
NV,89004,0.083750
NV,89005,0.083750
NV,89006,0.083750
NV,89007,0.083750
NV,89008,0.071000
NV,89009,0.083750
NV,89010,0.068500
NV,89011,0.083750
NV,89012,0.083750
NV,89013,0.068500
NV,89014,0.083750
NV,89015,0.083750
NV,89016,0.083750
NV,89017,0.071000
NV,89018,0.083750
NV,89019,0.083750
NV,89020,0.076000
NV,89021,0.083750
NV,89022,0.076000
NV,89023,0.076000
NV,89024,0.083750
NV,89025,0.083750
NV,89026,0.083750
NV,89027,0.083750
NV,89028,0.083750
NV,89029,0.083750
NV,89030,0.083750
NV,89031,0.083750
NV,89032,0.083750
NV,89033,0.083750
NV,89034,0.083750
NV,89036,0.083750
NV,89037,0.083750
NV,89039,0.083750
NV,89040,0.083750
NV,89041,0.076000
NV,89042,0.071000
NV,89043,0.071000
NV,89044,0.083750
NV,89045,0.076000
NV,89046,0.083750
NV,89047,0.068500
NV,89048,0.076000
NV,89049,0.076000
NV,89052,0.083750
NV,89053,0.083750
NV,89054,0.083750
NV,89060,0.076000
NV,89061,0.076000
NV,89067,0.071000
NV,89070,0.083750
NV,89074,0.083750
NV,89077,0.083750
NV,89081,0.083750
NV,89084,0.083750
NV,89085,0.083750
NV,89086,0.083750
NV,89087,0.083750
NV,89101,0.083750
NV,89102,0.083750
NV,89103,0.083750
NV,89104,0.083750
NV,89105,0.083750
NV,89106,0.083750
NV,89107,0.083750
NV,89108,0.083750
NV,89109,0.083750
NV,89110,0.083750
NV,89111,0.083750
NV,89112,0.083750
NV,89113,0.083750
NV,89114,0.083750
NV,89115,0.083750
NV,89116,0.083750
NV,89117,0.083750
NV,89118,0.083750
NV,89119,0.083750
NV,89120,0.083750
NV,89121,0.083750
NV,89122,0.083750
NV,89123,0.083750
NV,89124,0.083750
NV,89125,0.083750
NV,89126,0.083750
NV,89127,0.083750
NV,89128,0.083750
NV,89129,0.083750
NV,89130,0.083750
NV,89131,0.083750
NV,89132,0.083750
NV,89133,0.083750
NV,89134,0.083750
NV,89135,0.083750
NV,89136,0.083750
NV,89137,0.083750
NV,89138,0.083750
NV,89139,0.083750
NV,89140,0.083750
NV,89141,0.083750
NV,89142,0.083750
NV,89143,0.083750
NV,89144,0.083750
NV,89145,0.083750
NV,89146,0.083750
NV,89147,0.083750
NV,89148,0.083750
NV,89149,0.083750
NV,89150,0.083750
NV,89151,0.083750
NV,89152,0.083750
NV,89153,0.083750
NV,89154,0.083750
NV,89155,0.083750
NV,89156,0.083750
NV,89157,0.083750
NV,89158,0.083750
NV,89159,0.083750
NV,89160,0.083750
NV,89161,0.083750
NV,89162,0.083750
NV,89163,0.083750
NV,89164,0.083750
NV,89165,0.083750
NV,89166,0.083750
NV,89169,0.083750
NV,89170,0.083750
NV,89173,0.083750
NV,89177,0.083750
NV,89178,0.083750
NV,89179,0.083750
NV,89180,0.083750
NV,89183,0.083750
NV,89185,0.083750
NV,89191,0.083750
NV,89193,0.083750
NV,89195,0.083750
NV,89199,0.083750
NV,89301,0.077250
NV,89310,0.071000
NV,89311,0.077250
NV,89314,0.076000
NV,89315,0.077250
NV,89316,0.068500
NV,89317,0.077250
NV,89318,0.077250
NV,89319,0.077250
NV,89402,0.082650
NV,89403,0.076000
NV,89404,0.068500
NV,89405,0.082650
NV,89406,0.076000
NV,89407,0.076000
NV,89408,0.076000
NV,89409,0.076000
NV,89410,0.071000
NV,89411,0.071000
NV,89412,0.082650
NV,89413,0.071000
NV,89414,0.068500
NV,89415,0.068500
NV,89418,0.071000
NV,89419,0.071000
NV,89420,0.068500
NV,89421,0.068500
NV,89422,0.068500
NV,89423,0.071000
NV,89424,0.082650
