State,ZipCode,EstimatedCombinedRate
OH,43001,0.072500
OH,43002,0.075000
OH,43003,0.072500
OH,43004,0.075000
OH,43005,0.072500
OH,43006,0.077500
OH,43007,0.070000
OH,43008,0.072500
OH,43009,0.072500
OH,43010,0.072500
OH,43011,0.072500
OH,43013,0.072500
OH,43014,0.077500
OH,43015,0.070000
OH,43016,0.075000
OH,43017,0.075000
OH,43018,0.072500
OH,43019,0.072500
OH,43021,0.070000
OH,43022,0.072500
OH,43023,0.072500
OH,43025,0.072500
OH,43026,0.075000
OH,43027,0.072500
OH,43028,0.072500
OH,43029,0.072500
OH,43030,0.072500
OH,43031,0.075000
OH,43032,0.070000
OH,43033,0.072500
OH,43035,0.075000
OH,43036,0.070000
OH,43037,0.072500
OH,43040,0.070000
OH,43041,0.070000
OH,43044,0.072500
OH,43045,0.072500
OH,43046,0.072500
OH,43047,0.072500
OH,43048,0.072500
OH,43050,0.072500
OH,43054,0.075000
OH,43055,0.072500
OH,43056,0.072500
OH,43058,0.072500
OH,43060,0.072500
OH,43061,0.070000
OH,43062,0.077500
OH,43064,0.075000
OH,43065,0.075000
OH,43066,0.072500
OH,43067,0.072500
OH,43068,0.077500
OH,43069,0.072500
OH,43070,0.072500
OH,43071,0.072500
OH,43072,0.072500
OH,43073,0.072500
OH,43074,0.072500
OH,43076,0.072500
OH,43077,0.070000
OH,43078,0.072500
OH,43080,0.072500
OH,43081,0.075000
OH,43082,0.075000
OH,43083,0.072500
OH,43084,0.072500
OH,43085,0.075000
OH,43086,0.075000
OH,43093,0.072500
OH,43101,0.072500
OH,43102,0.072500
OH,43103,0.072500
OH,43105,0.072500
OH,43106,0.072500
OH,43107,0.072500
OH,43109,0.075000
OH,43110,0.075000
OH,43111,0.072500
OH,43112,0.067500
OH,43113,0.072500
OH,43115,0.072500
OH,43116,0.072500
OH,43117,0.072500
OH,43119,0.075000
OH,43123,0.075000
OH,43125,0.075000
OH,43126,0.075000
OH,43127,0.072500
OH,43128,0.072500
OH,43130,0.072500
OH,43135,0.072500
OH,43136,0.067500
OH,43137,0.075000
OH,43138,0.072500
OH,43140,0.075000
OH,43142,0.072500
OH,43143,0.072500
OH,43144,0.072500
OH,43145,0.072500
OH,43146,0.075000
OH,43147,0.075000
OH,43148,0.072500
OH,43149,0.072500
OH,43150,0.072500
OH,43151,0.070000
OH,43152,0.072500
OH,43153,0.072500
OH,43154,0.072500
OH,43155,0.072500
OH,43156,0.072500
OH,43157,0.067500
OH,43158,0.072500
OH,43160,0.072500
OH,43162,0.075000
OH,43164,0.072500
OH,43194,0.075000
OH,43195,0.075000
OH,43199,0.075000
OH,43201,0.075000
OH,43202,0.075000
OH,43203,0.075000
OH,43204,0.075000
OH,43205,0.075000
OH,43206,0.075000
OH,43207,0.075000
OH,43209,0.075000
OH,43210,0.075000
OH,43211,0.075000
OH,43212,0.075000
OH,43213,0.075000
OH,43214,0.075000
OH,43215,0.075000
OH,43216,0.075000
OH,43217,0.075000
OH,43218,0.075000
OH,43219,0.075000
OH,43220,0.075000
OH,43221,0.075000
OH,43222,0.075000
OH,43223,0.075000
OH,43224,0.075000
OH,43226,0.075000
OH,43227,0.075000
OH,43228,0.075000
OH,43229,0.075000
OH,43230,0.075000
OH,43231,0.075000
OH,43232,0.075000
OH,43234,0.075000
OH,43235,0.075000
OH,43236,0.075000
OH,43240,0.075000
OH,43251,0.075000
OH,43260,0.075000
OH,43266,0.075000
OH,43268,0.075000
OH,43270,0.075000
OH,43271,0.075000
OH,43272,0.075000
OH,43279,0.075000
OH,43287,0.075000
OH,43291,0.075000
OH,43301,0.072500
OH,43302,0.072500
OH,43310,0.072500
OH,43311,0.072500
OH,43314,0.072500
OH,43315,0.072500
OH,43316,0.072500
OH,43317,0.072500
OH,43318,0.072500
OH,43319,0.072500
OH,43320,0.072500
OH,43321,0.072500
OH,43322,0.072500
OH,43323,0.072500
OH,43324,0.072500
OH,43325,0.072500
OH,43326,0.072500
OH,43330,0.072500
OH,43331,0.072500
OH,43332,0.072500
OH,43333,0.072500
OH,43334,0.072500
OH,43335,0.072500
OH,43336,0.072500
OH,43337,0.072500
OH,43338,0.072500
OH,43340,0.072500
OH,43341,0.072500
OH,43342,0.072500
OH,43343,0.072500
OH,43344,0.072500
OH,43345,0.072500
OH,43346,0.072500
OH,43347,0.072500
OH,43348,0.072500
OH,43349,0.072500
OH,43350,0.072500
OH,43351,0.072500
OH,43356,0.072500
OH,43357,0.072500
OH,43358,0.072500
OH,43359,0.072500
OH,43360,0.072500
OH,43402,0.067500
OH,43403,0.067500
OH,43406,0.072500
OH,43407,0.072500
OH,43408,0.070000
OH,43410,0.072500
OH,43412,0.077500
OH,43413,0.067500
OH,43414,0.067500
OH,43416,0.072500
OH,43420,0.072500
OH,43430,0.072500
OH,43431,0.072500
OH,43432,0.070000
OH,43433,0.070000
OH,43434,0.077500
OH,43435,0.072500
OH,43436,0.070000
OH,43437,0.067500
OH,43438,0.067500
OH,43439,0.070000
OH,43440,0.070000
OH,43441,0.067500
OH,43442,0.072500
OH,43443,0.072500
OH,43445,0.077500
OH,43446,0.070000
OH,43447,0.070000
OH,43449,0.072500
OH,43450,0.072500
OH,43451,0.067500
OH,43452,0.070000
OH,43456,0.070000
OH,43457,0.072500
OH,43458,0.070000
OH,43460,0.077500
OH,43462,0.067500
OH,43463,0.067500
OH,43464,0.072500
OH,43465,0.067500
OH,43466,0.067500
OH,43467,0.067500
OH,43468,0.070000
OH,43469,0.072500
OH,43501,0.072500
OH,43502,0.072500
OH,43504,0.077500
OH,43505,0.072500
OH,43506,0.072500
OH,43510,0.072500
OH,43511,0.072500
OH,43512,0.072500
OH,43515,0.072500
OH,43516,0.072500
OH,43517,0.072500
OH,43518,0.072500
OH,43519,0.067500
OH,43520,0.067500
OH,43521,0.072500
OH,43522,0.077500
OH,43523,0.072500
OH,43524,0.072500
OH,43525,0.067500
OH,43526,0.072500
OH,43527,0.072500
OH,43528,0.077500
OH,43529,0.067500
OH,43530,0.067500
OH,43531,0.072500
OH,43532,0.077500
OH,43533,0.072500
OH,43534,0.072500
OH,43535,0.072500
OH,43536,0.072500
OH,43537,0.077500
OH,43540,0.072500
OH,43541,0.067500
OH,43542,0.077500
OH,43543,0.072500
OH,43545,0.072500
OH,43547,0.077500
OH,43548,0.072500
OH,43549,0.067500
OH,43550,0.072500
OH,43551,0.072500
OH,43552,0.067500
OH,43553,0.072500
OH,43554,0.072500
OH,43555,0.072500
OH,43556,0.067500
OH,43557,0.072500
OH,43558,0.077500
OH,43560,0.077500
OH,43565,0.067500
OH,43566,0.077500
OH,43567,0.072500
OH,43569,0.067500
OH,43570,0.072500
OH,43571,0.077500
OH,43601,0.077500
OH,43603,0.077500
OH,43604,0.077500
OH,43605,0.077500
OH,43606,0.077500
OH,43607,0.077500
OH,43608,0.077500
OH,43609,0.077500
OH,43610,0.077500
OH,43611,0.077500
OH,43612,0.077500
OH,43613,0.077500
OH,43614,0.077500
OH,43615,0.077500
OH,43616,0.077500
OH,43617,0.077500
OH,43619,0.077500
OH,43620,0.077500
OH,43623,0.077500
OH,43635,0.077500
OH,43652,0.077500
OH,43654,0.067500
OH,43656,0.077500
OH,43657,0.077500
OH,43659,0.077500
OH,43660,0.077500
OH,43661,0.077500
OH,43666,0.077500
OH,43667,0.077500
OH,43681,0.077500
OH,43682,0.077500
OH,43697,0.077500
OH,43699,0.077500
OH,43701,0.072500
OH,43702,0.072500
OH,43711,0.072500
OH,43713,0.072500
OH,43716,0.072500
OH,43717,0.072500
OH,43718,0.072500
OH,43719,0.072500
OH,43720,0.072500
OH,43721,0.072500
OH,43722,0.072500
OH,43723,0.072500
OH,43724,0.072500
OH,43725,0.072500
OH,43727,0.072500
OH,43728,0.072500
OH,43730,0.072500
OH,43731,0.072500
OH,43732,0.072500
OH,43733,0.072500
OH,43734,0.072500
OH,43735,0.072500
OH,43736,0.072500
OH,43738,0.072500
OH,43739,0.072500
OH,43740,0.072500
OH,43746,0.072500
OH,43747,0.072500
OH,43748,0.072500
OH,43749,0.077500
OH,43750,0.072500
OH,43752,0.072500
OH,43754,0.072500
OH,43755,0.072500
OH,43756,0.072500
OH,43757,0.072500
OH,43758,0.072500
OH,43759,0.072500
OH,43760,0.072500
OH,43761,0.072500
OH,43762,0.072500
OH,43764,0.072500
OH,43766,0.072500
OH,43767,0.072500
OH,43768,0.072500
OH,43771,0.072500
OH,43772,0.072500
OH,43773,0.072500
OH,43777,0.072500
OH,43778,0.072500
OH,43779,0.072500
OH,43780,0.072500
OH,43782,0.072500
OH,43783,0.072500
OH,43786,0.072500
OH,43787,0.072500
OH,43788,0.072500
OH,43791,0.072500
OH,43793,0.072500
OH,43802,0.072500
OH,43803,0.077500
OH,43804,0.077500
OH,43805,0.077500
OH,43811,0.077500
OH,43812,0.077500
OH,43821,0.077500
OH,43822,0.077500
OH,43824,0.077500
OH,43828,0.077500
OH,43830,0.072500
OH,43832,0.077500
OH,43836,0.077500
OH,43837,0.072500
OH,43840,0.077500
OH,43842,0.072500
OH,43843,0.077500
OH,43844,0.077500
OH,43845,0.077500
OH,43901,0.072500
OH,43902,0.072500
OH,43903,0.072500
OH,43905,0.072500
OH,43906,0.072500
OH,43907,0.072500
OH,43908,0.072500
OH,43909,0.072500
OH,43910,0.072500
OH,43912,0.072500
OH,43913,0.072500
OH,43914,0.072500
OH,43915,0.072500
OH,43916,0.072500
OH,43917,0.072500
OH,43920,0.072500
OH,43925,0.072500
OH,43926,0.072500
OH,43927,0.072500
OH,43928,0.072500
OH,43930,0.072500
OH,43931,0.072500
OH,43932,0.072500
OH,43933,0.072500
OH,43934,0.072500
OH,43935,0.072500
OH,43937,0.072500
OH,43938,0.072500
OH,43939,0.072500
OH,43940,0.072500
OH,43941,0.072500
OH,43942,0.072500
OH,43943,0.072500
OH,43944,0.072500
OH,43945,0.072500
OH,43946,0.072500
OH,43947,0.072500
OH,43948,0.072500
OH,43950,0.072500
OH,43951,0.072500
OH,43952,0.072500
OH,43953,0.072500
OH,43961,0.072500
OH,43962,0.072500
OH,43963,0.072500
OH,43964,0.072500
OH,43967,0.072500
OH,43968,0.072500
OH,43970,0.072500
OH,43971,0.072500
OH,43972,0.072500
OH,43973,0.072500
OH,43974,0.072500
OH,43976,0.072500
OH,43977,0.072500
OH,43981,0.072500
OH,43983,0.072500
OH,43984,0.072500
OH,43985,0.072500
OH,43986,0.072500
OH,43988,0.072500
OH,44001,0.065000
OH,44003,0.067500
OH,44004,0.067500
OH,44005,0.067500
OH,44010,0.067500
OH,44011,0.080000
OH,44012,0.065000
OH,44017,0.080000
OH,44021,0.067500
OH,44022,0.080000
OH,44023,0.080000
OH,44024,0.072500
OH,44026,0.067500
OH,44028,0.080000
OH,44030,0.067500
OH,44032,0.067500
OH,44033,0.067500
OH,44035,0.065000
OH,44036,0.065000
OH,44039,0.065000
OH,44040,0.080000
OH,44041,0.072500
OH,44044,0.067500
OH,44045,0.072500
OH,44046,0.067500
OH,44047,0.067500
OH,44048,0.067500
OH,44049,0.065000
OH,44050,0.065000
OH,44052,0.065000
OH,44053,0.065000
OH,44054,0.065000
OH,44055,0.065000
OH,44056,0.080000
OH,44057,0.072500
OH,44060,0.072500
OH,44061,0.072500
OH,44062,0.067500
OH,44064,0.067500
OH,44065,0.067500
OH,44067,0.080000
OH,44068,0.067500
OH,44070,0.080000
OH,44072,0.067500
OH,44073,0.067500
OH,44074,0.065000
OH,44076,0.067500
OH,44077,0.072500
OH,44080,0.067500
OH,44081,0.072500
OH,44082,0.067500
OH,44084,0.067500
OH,44085,0.067500
OH,44086,0.072500
OH,44087,0.080000
OH,44088,0.067500
OH,44089,0.067500
OH,44090,0.067500
OH,44092,0.080000
OH,44093,0.067500
OH,44094,0.080000
OH,44095,0.072500
OH,44096,0.072500
OH,44097,0.072500
OH,44099,0.067500
OH,44101,0.080000
OH,44102,0.080000
OH,44103,0.080000
OH,44104,0.080000
OH,44105,0.080000
OH,44106,0.080000
OH,44107,0.080000
OH,44108,0.080000
OH,44109,0.080000
OH,44110,0.080000
OH,44111,0.080000
OH,44112,0.080000
OH,44113,0.080000
OH,44114,0.080000
OH,44115,0.080000
OH,44116,0.080000
OH,44117,0.080000
OH,44118,0.080000
OH,44119,0.080000
OH,44120,0.080000
OH,44121,0.080000
OH,44122,0.080000
OH,44123,0.080000
OH,44124,0.080000
OH,44125,0.080000
OH,44126,0.080000
OH,44127,0.080000
OH,44128,0.080000
OH,44129,0.080000
OH,44130,0.080000
OH,44131,0.080000
OH,44132,0.080000
OH,44133,0.080000
OH,44134,0.080000
OH,44135,0.080000
OH,44136,0.080000
OH,44137,0.080000
OH,44138,0.080000
OH,44139,0.080000
OH,44140,0.080000
OH,44141,0.080000
OH,44142,0.080000
OH,44143,0.080000
OH,44144,0.080000
OH,44145,0.080000
OH,44146,0.080000
OH,44147,0.080000
OH,44149,0.080000
OH,44181,0.080000
OH,44188,0.080000
OH,44190,0.080000
OH,44191,0.080000
OH,44192,0.080000
OH,44193,0.080000
OH,44194,0.080000
OH,44195,0.080000
OH,44197,0.080000
OH,44198,0.080000
OH,44199,0.080000
OH,44201,0.070000
OH,44202,0.070000
OH,44203,0.067500
OH,44210,0.067500
OH,44211,0.070000
OH,44212,0.067500
OH,44214,0.067500
OH,44215,0.067500
OH,44216,0.067500
OH,44217,0.067500
OH,44221,0.067500
OH,44222,0.067500
OH,44223,0.067500
OH,44224,0.070000
OH,44230,0.067500
OH,44231,0.070000
OH,44232,0.067500
OH,44233,0.080000
OH,44234,0.070000
OH,44235,0.070000
