State,ZipCode,EstimatedCombinedRate
OK,71953,0.062500
OK,73001,0.060000
OK,73002,0.100000
OK,73003,0.086250
OK,73004,0.092500
OK,73005,0.100000
OK,73006,0.100000
OK,73007,0.086250
OK,73008,0.086250
OK,73009,0.100000
OK,73010,0.102500
OK,73011,0.082500
OK,73012,0.086250
OK,73013,0.086250
OK,73014,0.088500
OK,73015,0.100000
OK,73016,0.097500
OK,73017,0.095000
OK,73018,0.090000
OK,73019,0.087500
OK,73020,0.095000
OK,73021,0.085000
OK,73022,0.088500
OK,73023,0.090000
OK,73024,0.085000
OK,73025,0.082500
OK,73026,0.089950
OK,73027,0.092500
OK,73028,0.082500
OK,73029,0.100000
OK,73030,0.095000
OK,73031,0.100000
OK,73032,0.085000
OK,73033,0.090000
OK,73034,0.082500
OK,73036,0.089750
OK,73038,0.100000
OK,73039,0.095000
OK,73040,0.088750
OK,73041,0.090000
OK,73042,0.100000
OK,73043,0.083750
OK,73044,0.092500
OK,73045,0.086250
OK,73047,0.090000
OK,73048,0.105000
OK,73049,0.095000
OK,73050,0.092500
OK,73051,0.096250
OK,73052,0.100000
OK,73053,0.090000
OK,73054,0.086250
OK,73055,0.087000
OK,73056,0.092500
OK,73057,0.092500
OK,73058,0.072500
OK,73059,0.092500
OK,73061,0.100000
OK,73062,0.090000
OK,73063,0.082500
OK,73064,0.089750
OK,73065,0.100000
OK,73066,0.095000
OK,73067,0.090000
OK,73068,0.087500
OK,73069,0.087500
OK,73070,0.087500
OK,73071,0.090000
OK,73072,0.090000
OK,73073,0.093130
OK,73074,0.082500
OK,73075,0.097500
OK,73077,0.102500
OK,73078,0.098500
OK,73079,0.067500
OK,73080,0.100000
OK,73082,0.097500
OK,73083,0.082500
OK,73084,0.095000
OK,73085,0.088500
OK,73086,0.095000
OK,73089,0.097500
OK,73090,0.088500
OK,73092,0.090000
OK,73093,0.100000
OK,73095,0.100000
OK,73096,0.095000
OK,73097,0.086250
OK,73098,0.092500
OK,73099,0.098500
OK,73101,0.086250
OK,73102,0.086250
OK,73103,0.086250
OK,73104,0.086250
OK,73105,0.086250
OK,73106,0.086250
OK,73107,0.086250
OK,73108,0.086250
OK,73109,0.086250
OK,73110,0.091000
OK,73111,0.086250
OK,73112,0.086250
OK,73113,0.086250
OK,73114,0.086250
OK,73115,0.091000
OK,73116,0.086250
OK,73117,0.091000
OK,73118,0.086250
OK,73119,0.086250
OK,73120,0.090000
OK,73121,0.086250
OK,73122,0.086250
OK,73123,0.085000
OK,73124,0.086250
OK,73125,0.086250
OK,73126,0.086250
OK,73127,0.089750
OK,73128,0.089750
OK,73129,0.090000
OK,73130,0.095000
OK,73131,0.086250
OK,73132,0.089750
OK,73134,0.090000
OK,73135,0.090000
OK,73136,0.086250
OK,73137,0.086250
OK,73139,0.087500
OK,73140,0.091000
OK,73141,0.095000
OK,73142,0.086250
OK,73143,0.086250
OK,73144,0.087500
