State,ZipCode,EstimatedCombinedRate
OR,89421,0.000000
OR,97001,0.000000
OR,97002,0.000000
OR,97003,0.000000
OR,97004,0.000000
OR,97005,0.000000
OR,97006,0.000000
OR,97007,0.000000
OR,97008,0.000000
OR,97009,0.000000
OR,97010,0.000000
OR,97011,0.000000
OR,97013,0.000000
OR,97014,0.000000
OR,97015,0.000000
OR,97016,0.000000
OR,97017,0.000000
OR,97018,0.000000
OR,97019,0.000000
OR,97020,0.000000
OR,97021,0.000000
OR,97022,0.000000
OR,97023,0.000000
OR,97024,0.000000
OR,97026,0.000000
OR,97027,0.000000
OR,97028,0.000000
OR,97029,0.000000
OR,97030,0.000000
OR,97031,0.000000
OR,97032,0.000000
OR,97033,0.000000
OR,97034,0.000000
OR,97035,0.000000
OR,97036,0.000000
OR,97037,0.000000
OR,97038,0.000000
OR,97039,0.000000
OR,97040,0.000000
OR,97041,0.000000
OR,97042,0.000000
OR,97044,0.000000
OR,97045,0.000000
OR,97048,0.000000
OR,97049,0.000000
OR,97050,0.000000
OR,97051,0.000000
OR,97053,0.000000
OR,97054,0.000000
OR,97055,0.000000
OR,97056,0.000000
OR,97057,0.000000
OR,97058,0.000000
OR,97060,0.000000
OR,97062,0.000000
OR,97063,0.000000
OR,97064,0.000000
OR,97065,0.000000
OR,97067,0.000000
OR,97068,0.000000
OR,97070,0.000000
OR,97071,0.000000
OR,97075,0.000000
OR,97076,0.000000
OR,97077,0.000000
OR,97078,0.000000
OR,97079,0.000000
OR,97080,0.000000
OR,97086,0.000000
OR,97089,0.000000
OR,97101,0.000000
OR,97102,0.000000
OR,97103,0.000000
OR,97106,0.000000
OR,97107,0.000000
OR,97108,0.000000
OR,97109,0.000000
OR,97110,0.000000
OR,97111,0.000000
OR,97112,0.000000
OR,97113,0.000000
OR,97114,0.000000
OR,97115,0.000000
OR,97116,0.000000
OR,97117,0.000000
OR,97118,0.000000
OR,97119,0.000000
OR,97121,0.000000
OR,97122,0.000000
OR,97123,0.000000
OR,97124,0.000000
OR,97125,0.000000
OR,97127,0.000000
OR,97128,0.000000
OR,97129,0.000000
OR,97130,0.000000
OR,97131,0.000000
OR,97132,0.000000
OR,97133,0.000000
OR,97134,0.000000
OR,97135,0.000000
OR,97136,0.000000
OR,97137,0.000000
OR,97138,0.000000
OR,97140,0.000000
OR,97141,0.000000
OR,97143,0.000000
OR,97144,0.000000
OR,97145,0.000000
OR,97146,0.000000
OR,97147,0.000000
OR,97148,0.000000
OR,97149,0.000000
OR,97201,0.000000
OR,97202,0.000000
OR,97203,0.000000
OR,97204,0.000000
OR,97205,0.000000
OR,97206,0.000000
OR,97207,0.000000
OR,97208,0.000000
OR,97209,0.000000
OR,97210,0.000000
OR,97211,0.000000
OR,97212,0.000000
OR,97213,0.000000
OR,97214,0.000000
OR,97215,0.000000
OR,97216,0.000000
OR,97217,0.000000
OR,97218,0.000000
OR,97219,0.000000
OR,97220,0.000000
OR,97221,0.000000
OR,97222,0.000000
OR,97223,0.000000
OR,97224,0.000000
OR,97225,0.000000
OR,97227,0.000000
OR,97228,0.000000
OR,97229,0.000000
OR,97230,0.000000
OR,97231,0.000000
OR,97232,0.000000
OR,97233,0.000000
OR,97236,0.000000
OR,97238,0.000000
OR,97239,0.000000
OR,97240,0.000000
OR,97242,0.000000
OR,97250,0.000000
OR,97251,0.000000
OR,97252,0.000000
