State,ZipCode,EstimatedCombinedRate
PA,15001,0.070000
PA,15003,0.070000
PA,15004,0.060000
PA,15005,0.070000
PA,15006,0.070000
PA,15007,0.070000
PA,15009,0.060000
PA,15010,0.060000
PA,15012,0.070000
PA,15014,0.070000
PA,15015,0.070000
PA,15017,0.070000
PA,15018,0.070000
PA,15019,0.070000
PA,15020,0.070000
PA,15021,0.060000
PA,15022,0.060000
PA,15024,0.070000
PA,15025,0.070000
PA,15026,0.070000
PA,15027,0.060000
PA,15028,0.070000
PA,15030,0.070000
PA,15031,0.070000
PA,15032,0.070000
PA,15033,0.060000
PA,15034,0.070000
PA,15035,0.070000
PA,15037,0.070000
PA,15038,0.060000
PA,15042,0.060000
PA,15043,0.060000
PA,15044,0.070000
PA,15045,0.070000
PA,15046,0.070000
PA,15047,0.070000
PA,15049,0.070000
PA,15050,0.060000
PA,15051,0.070000
PA,15052,0.060000
PA,15053,0.060000
PA,15054,0.060000
PA,15055,0.060000
PA,15056,0.070000
PA,15057,0.070000
PA,15059,0.060000
PA,15060,0.060000
PA,15061,0.060000
PA,15062,0.060000
PA,15063,0.070000
PA,15064,0.070000
PA,15065,0.070000
PA,15066,0.060000
PA,15067,0.060000
PA,15068,0.070000
PA,15069,0.060000
PA,15071,0.070000
PA,15072,0.060000
PA,15074,0.060000
PA,15075,0.070000
PA,15076,0.070000
PA,15077,0.060000
PA,15078,0.060000
PA,15081,0.060000
PA,15082,0.070000
PA,15083,0.070000
PA,15084,0.070000
PA,15085,0.070000
PA,15086,0.070000
PA,15087,0.060000
PA,15088,0.070000
PA,15089,0.070000
PA,15090,0.070000
PA,15091,0.070000
PA,15095,0.070000
PA,15096,0.070000
PA,15101,0.070000
PA,15102,0.070000
PA,15104,0.070000
PA,15106,0.070000
PA,15108,0.070000
PA,15110,0.070000
PA,15112,0.070000
PA,15116,0.070000
PA,15120,0.070000
PA,15122,0.070000
PA,15123,0.070000
PA,15126,0.070000
PA,15127,0.070000
PA,15129,0.070000
PA,15131,0.070000
