State,ZipCode,EstimatedCombinedRate
SC,29001,0.080000
SC,29002,0.080000
SC,29003,0.080000
SC,29006,0.080000
SC,29009,0.080000
SC,29010,0.080000
SC,29014,0.080000
SC,29015,0.070000
SC,29016,0.080000
SC,29018,0.070000
SC,29020,0.080000
SC,29021,0.080000
SC,29030,0.080000
SC,29031,0.080000
SC,29032,0.080000
SC,29033,0.070000
SC,29036,0.080000
SC,29037,0.080000
SC,29038,0.080000
SC,29039,0.070000
SC,29040,0.080000
SC,29041,0.080000
SC,29042,0.080000
SC,29044,0.080000
SC,29045,0.080000
SC,29046,0.080000
SC,29047,0.080000
SC,29048,0.090000
SC,29051,0.080000
SC,29052,0.080000
SC,29053,0.080000
SC,29054,0.070000
SC,29055,0.080000
SC,29056,0.080000
SC,29058,0.080000
SC,29059,0.090000
SC,29061,0.080000
SC,29062,0.080000
SC,29063,0.080000
SC,29065,0.070000
SC,29067,0.080000
SC,29069,0.080000
SC,29070,0.080000
SC,29071,0.070000
SC,29072,0.070000
SC,29073,0.070000
SC,29074,0.080000
SC,29075,0.080000
SC,29078,0.080000
SC,29079,0.080000
SC,29080,0.080000
SC,29081,0.080000
SC,29082,0.080000
SC,29101,0.080000
SC,29102,0.080000
SC,29104,0.080000
SC,29105,0.080000
SC,29107,0.070000
SC,29108,0.070000
SC,29111,0.080000
SC,29112,0.080000
SC,29113,0.070000
SC,29114,0.080000
SC,29115,0.070000
SC,29116,0.070000
SC,29117,0.070000
SC,29118,0.080000
SC,29122,0.070000
SC,29123,0.080000
SC,29125,0.080000
SC,29126,0.070000
SC,29127,0.080000
SC,29128,0.080000
SC,29129,0.080000
SC,29130,0.080000
SC,29132,0.070000
SC,29133,0.070000
SC,29135,0.080000
SC,29137,0.080000
SC,29138,0.080000
SC,29142,0.070000
SC,29143,0.080000
SC,29145,0.070000
SC,29146,0.080000
SC,29147,0.080000
SC,29148,0.080000
SC,29150,0.080000
SC,29151,0.080000
SC,29152,0.080000
SC,29153,0.080000
SC,29154,0.080000
SC,29160,0.080000
SC,29161,0.080000
SC,29162,0.080000
SC,29163,0.070000
SC,29164,0.080000
SC,29166,0.080000
SC,29168,0.080000
SC,29169,0.070000
SC,29170,0.070000
SC,29171,0.070000
SC,29172,0.070000
SC,29175,0.080000
SC,29177,0.080000
SC,29178,0.080000
SC,29180,0.080000
SC,29201,0.080000
SC,29202,0.080000
SC,29203,0.080000
SC,29204,0.080000
SC,29205,0.080000
SC,29206,0.080000
SC,29207,0.080000
SC,29208,0.080000
SC,29209,0.080000
SC,29210,0.080000
SC,29211,0.080000
SC,29212,0.080000
SC,29214,0.080000
SC,29215,0.080000
SC,29216,0.080000
SC,29217,0.080000
SC,29218,0.080000
SC,29219,0.080000
SC,29220,0.080000
SC,29221,0.080000
SC,29222,0.080000
SC,29223,0.080000
SC,29224,0.080000
SC,29225,0.080000
SC,29226,0.080000
SC,29227,0.080000
SC,29228,0.080000
SC,29229,0.080000
SC,29230,0.080000
SC,29240,0.080000
SC,29250,0.080000
