State,ZipCode,EstimatedCombinedRate
SD,51001,0.045000
SD,51023,0.045000
SD,56136,0.045000
SD,56144,0.045000
SD,56164,0.045000
SD,56219,0.045000
SD,57001,0.065000
SD,57002,0.055000
SD,57003,0.065000
SD,57004,0.065000
SD,57005,0.065000
SD,57006,0.065000
SD,57007,0.065000
SD,57010,0.045000
SD,57012,0.065000
SD,57013,0.065000
SD,57014,0.065000
SD,57015,0.065000
SD,57016,0.045000
SD,57017,0.065000
SD,57018,0.065000
SD,57020,0.065000
SD,57021,0.065000
SD,57022,0.065000
SD,57024,0.065000
SD,57025,0.065000
SD,57026,0.065000
SD,57027,0.065000
SD,57028,0.065000
SD,57029,0.065000
SD,57030,0.065000
SD,57031,0.065000
SD,57032,0.065000
SD,57033,0.065000
SD,57034,0.065000
SD,57035,0.065000
SD,57036,0.065000
SD,57037,0.065000
SD,57038,0.065000
SD,57039,0.065000
SD,57040,0.065000
SD,57041,0.045000
SD,57042,0.065000
SD,57043,0.065000
SD,57045,0.065000
SD,57046,0.045000
SD,57047,0.065000
SD,57048,0.065000
SD,57049,0.065000
SD,57050,0.045000
SD,57051,0.065000
SD,57052,0.055000
SD,57053,0.065000
SD,57054,0.065000
SD,57055,0.045000
SD,57057,0.045000
SD,57058,0.065000
SD,57059,0.065000
SD,57061,0.045000
SD,57062,0.065000
SD,57063,0.065000
SD,57064,0.065000
SD,57065,0.065000
SD,57066,0.065000
SD,57067,0.055000
SD,57068,0.065000
SD,57069,0.065000
SD,57070,0.065000
SD,57071,0.065000
SD,57072,0.065000
SD,57073,0.065000
SD,57075,0.065000
SD,57076,0.045000
SD,57077,0.065000
SD,57078,0.065000
SD,57101,0.065000
SD,57103,0.065000
SD,57104,0.065000
SD,57105,0.065000
SD,57106,0.065000
SD,57107,0.065000
SD,57108,0.065000
SD,57109,0.065000
SD,57110,0.065000
SD,57117,0.065000
SD,57118,0.065000
SD,57186,0.065000
SD,57193,0.065000
SD,57197,0.065000
SD,57198,0.065000
SD,57201,0.065000
SD,57212,0.065000
SD,57213,0.065000
SD,57214,0.045000
SD,57216,0.065000
SD,57217,0.065000
SD,57218,0.065000
SD,57219,0.065000
SD,57220,0.065000
SD,57221,0.065000
SD,57223,0.065000
SD,57224,0.045000
SD,57225,0.065000
SD,57226,0.065000
SD,57227,0.065000
SD,57231,0.065000
SD,57232,0.055000
SD,57233,0.065000
SD,57234,0.065000
SD,57235,0.065000
SD,57236,0.045000
SD,57237,0.065000
SD,57238,0.065000
SD,57239,0.065000
SD,57241,0.065000
SD,57242,0.055000
SD,57243,0.065000
SD,57245,0.065000
SD,57246,0.055000
SD,57247,0.055000
SD,57248,0.065000
SD,57249,0.065000
SD,57251,0.045000
SD,57252,0.065000
SD,57255,0.065000
SD,57256,0.045000
SD,57257,0.065000
SD,57258,0.045000
SD,57259,0.055000
SD,57260,0.065000
SD,57261,0.075000
SD,57262,0.065000
SD,57263,0.055000
SD,57264,0.045000
SD,57265,0.045000
SD,57266,0.065000
SD,57268,0.065000
SD,57269,0.045000
SD,57270,0.065000
SD,57271,0.045000
SD,57272,0.055000
SD,57273,0.065000
SD,57274,0.065000
SD,57276,0.065000
SD,57278,0.065000
SD,57279,0.065000
SD,57301,0.065000
SD,57311,0.065000
SD,57312,0.055000
SD,57313,0.065000
SD,57314,0.065000
SD,57315,0.065000
SD,57317,0.065000
SD,57319,0.065000
SD,57321,0.064500
SD,57322,0.045000
SD,57323,0.065000
SD,57324,0.065000
SD,57325,0.065000
SD,57326,0.065000
SD,57328,0.065000
SD,57329,0.065000
SD,57330,0.065000
SD,57331,0.065000
SD,57332,0.065000
SD,57334,0.065000
SD,57335,0.065000
SD,57337,0.045000
SD,57339,0.045000
SD,57340,0.045000
SD,57341,0.045000
SD,57342,0.065000
SD,57344,0.045000
SD,57345,0.065000
SD,57346,0.045000
SD,57348,0.055000
SD,57349,0.065000
SD,57350,0.065000
SD,57353,0.055000
SD,57354,0.045000
SD,57355,0.065000
SD,57356,0.065000
SD,57358,0.065000
SD,57359,0.065000
SD,57361,0.045000
SD,57362,0.065000
SD,57363,0.065000
SD,57364,0.045000
SD,57365,0.065000
SD,57366,0.065000
SD,57367,0.065000
SD,57368,0.065000
SD,57369,0.065000
SD,57370,0.065000
SD,57371,0.045000
SD,57373,0.065000
SD,57374,0.065000
SD,57375,0.065000
SD,57376,0.065000
SD,57379,0.045000
SD,57380,0.065000
SD,57381,0.065000
SD,57382,0.065000
SD,57383,0.065000
SD,57384,0.065000
SD,57385,0.065000
SD,57386,0.055000
SD,57399,0.065000
SD,57401,0.065000
SD,57402,0.065000
SD,57420,0.065000
SD,57421,0.045000
SD,57422,0.065000
SD,57424,0.065000
SD,57426,0.045000
SD,57427,0.045000
SD,57428,0.065000
SD,57429,0.045000
SD,57430,0.065000
SD,57432,0.045000
SD,57433,0.065000
SD,57434,0.065000
SD,57435,0.065000
SD,57436,0.065000
SD,57437,0.065000
SD,57438,0.065000
SD,57439,0.045000
SD,57440,0.065000
SD,57441,0.055000
SD,57442,0.065000
SD,57445,0.065000
SD,57446,0.055000
SD,57448,0.065000
SD,57449,0.045000
SD,57450,0.065000
SD,57451,0.065000
SD,57452,0.065000
SD,57454,0.065000
SD,57455,0.045000
SD,57456,0.065000
SD,57457,0.045000
SD,57460,0.045000
SD,57461,0.065000
SD,57465,0.045000
SD,57466,0.045000
SD,57467,0.055000
SD,57468,0.065000
SD,57469,0.065000
SD,57470,0.045000
SD,57471,0.065000
SD,57472,0.065000
SD,57473,0.045000
SD,57474,0.065000
SD,57475,0.045000
SD,57476,0.055000
SD,57477,0.045000
SD,57479,0.065000
SD,57481,0.065000
SD,57501,0.065000
SD,57520,0.045000
SD,57521,0.065000
SD,57522,0.055000
SD,57523,0.065000
SD,57528,0.065000
SD,57529,0.065000
SD,57531,0.045000
SD,57532,0.065000
SD,57533,0.065000
SD,57534,0.045000
SD,57536,0.065000
SD,57537,0.045000
SD,57538,0.045000
SD,57540,0.045000
SD,57541,0.045000
SD,57543,0.065000
SD,57544,0.065000
SD,57547,0.045000
SD,57548,0.045000
SD,57551,0.065000
SD,57552,0.065000
SD,57553,0.045000
SD,57555,0.065000
SD,57559,0.065000
SD,57560,0.045000
SD,57562,0.045000
SD,57563,0.045000
SD,57564,0.065000
SD,57566,0.045000
SD,57567,0.065000
SD,57568,0.065000
SD,57569,0.065000
SD,57570,0.045000
SD,57571,0.045000
SD,57572,0.045000
SD,57574,0.045000
SD,57576,0.045000
SD,57577,0.045000
SD,57579,0.065000
SD,57580,0.065000
SD,57584,0.065000
SD,57585,0.065000
SD,57601,0.065000
SD,57620,0.065000
SD,57621,0.045000
SD,57622,0.045000
SD,57623,0.065000
SD,57625,0.065000
SD,57626,0.065000
SD,57630,0.045000
SD,57631,0.065000
SD,57632,0.065000
SD,57633,0.065000
SD,57634,0.045000
SD,57636,0.045000
SD,57638,0.065000
SD,57639,0.045000
SD,57640,0.045000
SD,57641,0.065000
SD,57642,0.065000
SD,57644,0.045000
SD,57645,0.060000
SD,57646,0.065000
SD,57648,0.065000
SD,57649,0.045000
SD,57650,0.045000
SD,57651,0.045000
SD,57652,0.045000
SD,57656,0.065000
SD,57657,0.045000
SD,57658,0.045000
SD,57659,0.045000
SD,57660,0.045000
SD,57661,0.045000
SD,57701,0.065000
SD,57702,0.065000
SD,57703,0.065000
SD,57706,0.065000
SD,57709,0.065000
SD,57714,0.045000
SD,57716,0.045000
SD,57717,0.065000
SD,57718,0.065000
SD,57719,0.065000
SD,57720,0.065000
SD,57722,0.045000
SD,57724,0.055000
SD,57725,0.045000
SD,57730,0.065000
SD,57732,0.065000
SD,57735,0.065000
SD,57737,0.045000
SD,57738,0.045000
SD,57741,0.045000
SD,57744,0.065000
SD,57745,0.065000
SD,57747,0.065000
SD,57748,0.045000
SD,57750,0.065000
SD,57751,0.065000
SD,57752,0.045000
SD,57754,0.065000
SD,57755,0.045000
SD,57756,0.045000
SD,57758,0.045000
SD,57759,0.045000
SD,57760,0.065000
SD,57761,0.065000
SD,57762,0.065000
SD,57763,0.065000
SD,57764,0.045000
SD,57766,0.045000
SD,57767,0.045000
SD,57769,0.065000
SD,57770,0.045000
SD,57772,0.045000
SD,57773,0.065000
SD,57775,0.055000
SD,57776,0.045000
SD,57779,0.065000
SD,57780,0.045000
SD,57782,0.045000
SD,57783,0.065000
SD,57785,0.065000
SD,57787,0.045000
SD,57788,0.045000
SD,57790,0.065000
SD,57791,0.055000
SD,57792,0.045000
SD,57793,0.065000
SD,57794,0.045000
SD,57799,0.065000
SD,58043,0.045000
SD,58053,0.045000
SD,58413,0.045000
SD,58436,0.045000
SD,58439,0.045000
SD,58568,0.045000
SD,58623,0.045000
SD,58639,0.045000
SD,58649,0.045000
SD,58653,0.045000
SD,69201,0.045000
SD,69211,0.045000
SD,69212,0.045000
SD,69216,0.045000
SD,69218,0.045000
SD,69337,0.045000
SD,82701,0.045000
