State,ZipCode,EstimatedCombinedRate
TX,73301,0.082500
TX,73344,0.082500
TX,73960,0.062500
TX,75001,0.082500
TX,75002,0.082500
TX,75006,0.082500
TX,75007,0.082500
TX,75009,0.082500
TX,75010,0.082500
TX,75011,0.082500
TX,75013,0.082500
TX,75014,0.082500
TX,75015,0.082500
TX,75016,0.082500
TX,75017,0.082500
TX,75019,0.082500
TX,75020,0.082500
TX,75021,0.082500
TX,75022,0.082500
TX,75023,0.082500
TX,75024,0.082500
TX,75025,0.082500
TX,75026,0.082500
TX,75027,0.082500
TX,75028,0.082500
TX,75029,0.082500
TX,75030,0.082500
TX,75032,0.082500
TX,75033,0.082500
TX,75034,0.082500
TX,75035,0.082500
TX,75036,0.082500
TX,75038,0.082500
TX,75039,0.082500
TX,75040,0.082500
TX,75041,0.082500
TX,75042,0.082500
TX,75043,0.082500
TX,75044,0.082500
TX,75045,0.082500
TX,75046,0.082500
TX,75047,0.082500
TX,75048,0.082500
TX,75049,0.082500
TX,75050,0.082500
TX,75051,0.082500
TX,75052,0.082500
TX,75053,0.082500
TX,75054,0.082500
TX,75056,0.082500
TX,75057,0.082500
TX,75058,0.082500
TX,75059,0.082500
TX,75060,0.082500
TX,75061,0.082500
TX,75062,0.082500
TX,75063,0.082500
TX,75064,0.082500
TX,75065,0.082500
TX,75067,0.082500
TX,75068,0.082500
TX,75069,0.082500
TX,75070,0.082500
TX,75071,0.082500
TX,75072,0.082500
TX,75074,0.082500
TX,75075,0.082500
TX,75076,0.082500
TX,75077,0.082500
TX,75078,0.082500
TX,75080,0.082500
TX,75081,0.082500
TX,75082,0.082500
TX,75083,0.082500
TX,75085,0.082500
TX,75086,0.082500
TX,75087,0.082500
TX,75088,0.082500
TX,75089,0.082500
TX,75090,0.082500
TX,75091,0.082500
TX,75092,0.082500
TX,75093,0.082500
TX,75094,0.082500
TX,75097,0.072500
TX,75098,0.082500
TX,75099,0.082500
TX,75101,0.072500
TX,75102,0.067500
TX,75103,0.082500
TX,75104,0.082500
TX,75105,0.067500
TX,75106,0.082500
TX,75109,0.082500
TX,75110,0.082500
TX,75114,0.082500
TX,75115,0.082500
TX,75116,0.082500
TX,75117,0.082500
TX,75118,0.062500
TX,75119,0.082500
TX,75120,0.082500
TX,75121,0.062500
TX,75123,0.082500
TX,75124,0.082500
TX,75125,0.082500
TX,75126,0.082500
TX,75127,0.082500
TX,75132,0.082500
TX,75134,0.082500
TX,75135,0.082500
TX,75137,0.082500
TX,75138,0.082500
TX,75140,0.082500
TX,75141,0.082500
TX,75142,0.082500
TX,75143,0.082500
TX,75144,0.082500
TX,75146,0.082500
TX,75147,0.082500
TX,75148,0.082500
TX,75149,0.082500
TX,75150,0.082500
TX,75151,0.082500
TX,75152,0.082500
TX,75153,0.067500
TX,75154,0.082500
TX,75155,0.080000
TX,75156,0.082500
TX,75157,0.072500
TX,75158,0.082500
TX,75159,0.082500
TX,75160,0.082500
TX,75161,0.082500
TX,75163,0.080000
TX,75164,0.077500
TX,75165,0.082500
TX,75166,0.082500
TX,75167,0.082500
TX,75168,0.082500
TX,75169,0.082500
TX,75172,0.082500
TX,75173,0.082500
TX,75180,0.082500
TX,75181,0.082500
TX,75182,0.082500
TX,75185,0.082500
TX,75187,0.082500
TX,75189,0.082500
TX,75201,0.082500
TX,75202,0.082500
TX,75203,0.082500
TX,75204,0.082500
TX,75205,0.082500
TX,75206,0.082500
TX,75207,0.082500
TX,75208,0.082500
TX,75209,0.082500
TX,75210,0.082500
TX,75211,0.082500
TX,75212,0.082500
TX,75214,0.082500
TX,75215,0.082500
TX,75216,0.082500
TX,75217,0.082500
TX,75218,0.082500
TX,75219,0.082500
TX,75220,0.082500
TX,75221,0.082500
TX,75222,0.082500
TX,75223,0.082500
TX,75224,0.082500
TX,75225,0.082500
TX,75226,0.082500
TX,75227,0.082500
TX,75228,0.082500
TX,75229,0.082500
TX,75230,0.082500
TX,75231,0.082500
TX,75232,0.082500
TX,75233,0.082500
TX,75234,0.082500
TX,75235,0.082500
TX,75236,0.082500
TX,75237,0.082500
TX,75238,0.082500
TX,75240,0.082500
TX,75241,0.082500
TX,75242,0.082500
TX,75243,0.082500
TX,75244,0.082500
TX,75246,0.082500
TX,75247,0.082500
TX,75248,0.082500
TX,75249,0.082500
TX,75250,0.082500
TX,75251,0.082500
TX,75252,0.082500
TX,75253,0.082500
TX,75254,0.082500
TX,75260,0.082500
TX,75261,0.082500
TX,75262,0.082500
TX,75263,0.082500
TX,75264,0.082500
TX,75265,0.082500
TX,75266,0.082500
TX,75267,0.082500
TX,75270,0.082500
TX,75275,0.082500
TX,75277,0.082500
TX,75283,0.082500
TX,75284,0.082500
TX,75285,0.082500
TX,75287,0.082500
TX,75301,0.082500
TX,75303,0.082500
TX,75312,0.082500
TX,75313,0.082500
TX,75315,0.082500
TX,75320,0.082500
TX,75326,0.082500
