State,ZipCode,EstimatedCombinedRate
UT,82930,0.071500
UT,83342,0.061000
UT,84001,0.063500
UT,84002,0.063500
UT,84003,0.072500
UT,84004,0.072500
UT,84005,0.071500
UT,84006,0.072500
UT,84007,0.063500
UT,84008,0.064500
UT,84009,0.072500
UT,84010,0.072500
UT,84011,0.072500
UT,84013,0.071500
UT,84014,0.072500
UT,84015,0.072500
UT,84016,0.072500
UT,84017,0.071500
UT,84018,0.067000
UT,84020,0.072500
UT,84021,0.064500
UT,84022,0.066000
UT,84023,0.084500
UT,84024,0.071500
UT,84025,0.072500
UT,84026,0.064500
UT,84027,0.063500
UT,84028,0.079500
UT,84029,0.070000
UT,84031,0.063500
UT,84032,0.075500
UT,84033,0.071500
UT,84034,0.066000
UT,84035,0.064500
UT,84036,0.071500
UT,84037,0.072500
UT,84038,0.063500
UT,84039,0.064500
UT,84040,0.072500
UT,84041,0.072500
UT,84042,0.072500
UT,84043,0.072500
UT,84044,0.077500
UT,84045,0.072500
UT,84046,0.073500
UT,84047,0.074500
UT,84049,0.078500
UT,84050,0.069500
UT,84051,0.063500
UT,84052,0.064500
UT,84053,0.063500
UT,84054,0.077500
UT,84055,0.071500
UT,84056,0.074500
UT,84057,0.072500
UT,84058,0.072500
UT,84059,0.072500
UT,84060,0.090500
UT,84061,0.071500
UT,84062,0.072500
UT,84063,0.064500
UT,84064,0.063500
UT,84065,0.072500
UT,84066,0.067500
UT,84067,0.074500
UT,84068,0.090500
UT,84069,0.066000
UT,84070,0.072500
UT,84071,0.066000
UT,84072,0.063500
UT,84073,0.063500
UT,84074,0.081500
UT,84075,0.072500
UT,84076,0.064500
UT,84078,0.069500
UT,84079,0.069500
UT,84080,0.066000
UT,84081,0.072500
UT,84082,0.064500
UT,84083,0.066000
UT,84084,0.074500
UT,84085,0.064500
UT,84086,0.063500
UT,84087,0.072500
UT,84088,0.072500
UT,84089,0.072500
UT,84090,0.072500
UT,84091,0.072500
UT,84092,0.087500
UT,84093,0.072500
UT,84094,0.072500
UT,84095,0.072500
UT,84096,0.072500
UT,84097,0.072500
UT,84098,0.090500
UT,84101,0.077500
UT,84102,0.077500
UT,84103,0.077500
UT,84104,0.077500
UT,84105,0.077500
UT,84106,0.077500
UT,84107,0.074500
UT,84108,0.077500
UT,84109,0.077500
UT,84110,0.077500
UT,84111,0.077500
UT,84112,0.077500
UT,84113,0.077500
UT,84114,0.077500
UT,84115,0.077500
UT,84116,0.077500
UT,84117,0.074500
UT,84118,0.072500
UT,84119,0.077500
UT,84120,0.077500
UT,84121,0.083500
UT,84122,0.077500
UT,84123,0.074500
UT,84124,0.072500
UT,84125,0.077500
UT,84126,0.077500
UT,84127,0.077500
UT,84128,0.077500
UT,84129,0.072500
UT,84130,0.077500
UT,84131,0.077500
UT,84132,0.077500
UT,84133,0.077500
UT,84134,0.077500
UT,84138,0.077500
UT,84139,0.077500
UT,84141,0.077500
UT,84143,0.077500
UT,84145,0.077500
UT,84147,0.077500
UT,84148,0.077500
UT,84150,0.077500
UT,84151,0.077500
UT,84152,0.077500
UT,84157,0.074500
UT,84158,0.077500
UT,84165,0.074500
UT,84170,0.072500
UT,84171,0.072500
UT,84180,0.077500
UT,84184,0.072500
UT,84190,0.077500
UT,84199,0.077500
UT,84201,0.072500
UT,84244,0.072500
UT,84301,0.061000
UT,84302,0.066500
UT,84304,0.067000
UT,84305,0.067000
UT,84306,0.067000
UT,84307,0.061000
UT,84308,0.067000
UT,84309,0.061000
UT,84310,0.072500
UT,84311,0.061000
UT,84312,0.061000
UT,84313,0.061000
UT,84314,0.061000
UT,84315,0.072500
UT,84316,0.061000
UT,84317,0.072500
UT,84318,0.070000
UT,84319,0.070000
UT,84320,0.069500
UT,84321,0.070000
UT,84322,0.070000
UT,84323,0.070000
UT,84324,0.064000
UT,84325,0.067000
UT,84326,0.070000
UT,84327,0.067000
UT,84328,0.067000
UT,84329,0.061000
UT,84330,0.061000
UT,84331,0.061000
UT,84332,0.070000
UT,84333,0.070000
UT,84334,0.061000
UT,84335,0.070000
UT,84336,0.071000
UT,84337,0.061000
UT,84338,0.067000
UT,84339,0.070000
UT,84340,0.066500
UT,84341,0.070000
UT,84401,0.072500
UT,84402,0.072500
UT,84403,0.072500
UT,84404,0.072500
UT,84405,0.074500
UT,84407,0.072500
UT,84408,0.072500
UT,84409,0.072500
UT,84412,0.072500
UT,84414,0.072500
UT,84415,0.072500
UT,84501,0.067500
UT,84510,0.063500
UT,84511,0.067500
UT,84512,0.074500
UT,84513,0.063500
UT,84515,0.068500
UT,84516,0.063500
UT,84518,0.063500
UT,84520,0.063500
UT,84521,0.063500
UT,84522,0.063500
UT,84523,0.063500
UT,84525,0.082500
UT,84526,0.064500
UT,84528,0.063500
UT,84529,0.063500
UT,84530,0.063500
UT,84531,0.063500
UT,84532,0.088500
UT,84533,0.071000
UT,84534,0.063500
UT,84535,0.067500
UT,84536,0.063500
UT,84537,0.063500
UT,84539,0.063500
UT,84540,0.068500
UT,84542,0.066500
UT,84601,0.072500
UT,84602,0.072500
UT,84603,0.072500
UT,84604,0.072500
UT,84605,0.072500
UT,84606,0.072500
UT,84620,0.064500
UT,84621,0.063500
UT,84622,0.067500
UT,84623,0.063500
UT,84624,0.063500
UT,84626,0.071500
UT,84627,0.067500
UT,84628,0.061000
UT,84629,0.067500
UT,84630,0.063500
UT,84631,0.064500
UT,84632,0.063500
UT,84633,0.071500
UT,84634,0.067500
UT,84635,0.063500
UT,84636,0.063500
UT,84637,0.063500
UT,84638,0.063500
UT,84639,0.061000
UT,84640,0.063500
UT,84642,0.066500
UT,84643,0.064500
UT,84644,0.063500
UT,84645,0.062000
UT,84646,0.063500
UT,84647,0.067500
UT,84648,0.065000
UT,84649,0.063500
UT,84651,0.072500
UT,84652,0.064500
UT,84653,0.071500
UT,84654,0.067500
UT,84655,0.072500
UT,84656,0.063500
UT,84657,0.063500
UT,84660,0.072500
UT,84662,0.063500
UT,84663,0.072500
UT,84664,0.072500
UT,84665,0.063500
UT,84667,0.063500
UT,84701,0.067500
UT,84710,0.071000
UT,84711,0.063500
UT,84712,0.071000
UT,84713,0.073500
UT,84714,0.061000
UT,84715,0.061000
UT,84716,0.081000
UT,84718,0.071000
UT,84719,0.081000
UT,84720,0.062000
UT,84721,0.062000
UT,84722,0.064500
UT,84723,0.061000
UT,84724,0.063500
UT,84725,0.064500
UT,84726,0.082000
UT,84728,0.063500
UT,84729,0.071000
UT,84730,0.063500
UT,84731,0.063500
UT,84732,0.061000
UT,84733,0.064500
UT,84734,0.061000
UT,84735,0.071000
UT,84736,0.071000
UT,84737,0.067500
UT,84738,0.067500
UT,84739,0.063500
UT,84740,0.061000
UT,84741,0.082000
UT,84742,0.062000
UT,84743,0.061000
UT,84744,0.063500
UT,84745,0.067500
UT,84746,0.064500
UT,84747,0.061000
UT,84749,0.061000
UT,84750,0.061000
UT,84751,0.063500
UT,84752,0.063500
UT,84753,0.061000
UT,84754,0.067500
UT,84755,0.081000
UT,84756,0.061000
UT,84757,0.064500
UT,84758,0.081000
UT,84759,0.081000
UT,84760,0.061000
UT,84761,0.061000
UT,84762,0.071000
UT,84763,0.064500
UT,84764,0.083000
UT,84765,0.067500
UT,84766,0.063500
UT,84767,0.080500
UT,84770,0.067500
UT,84771,0.067500
UT,84772,0.061000
UT,84773,0.061000
UT,84774,0.067500
UT,84775,0.061000
UT,84776,0.081000
UT,84779,0.074500
UT,84780,0.067500
UT,84781,0.064500
UT,84782,0.064500
UT,84783,0.064500
UT,84784,0.064500
UT,84790,0.067500
UT,84791,0.067500
