State,ZipCode,EstimatedCombinedRate
VA,20101,0.060000
VA,20102,0.060000
VA,20103,0.060000
VA,20104,0.060000
VA,20105,0.060000
VA,20106,0.053000
VA,20108,0.060000
VA,20109,0.060000
VA,20110,0.060000
VA,20111,0.060000
VA,20112,0.060000
VA,20113,0.060000
VA,20115,0.053000
VA,20116,0.053000
VA,20117,0.060000
VA,20118,0.060000
VA,20119,0.060000
VA,20120,0.060000
VA,20121,0.060000
VA,20122,0.060000
VA,20124,0.060000
VA,20128,0.053000
VA,20129,0.060000
VA,20130,0.053000
VA,20131,0.060000
VA,20132,0.060000
VA,20134,0.060000
VA,20135,0.060000
VA,20136,0.060000
VA,20137,0.060000
VA,20138,0.053000
VA,20139,0.053000
VA,20140,0.053000
VA,20141,0.060000
VA,20142,0.060000
VA,20143,0.060000
VA,20144,0.053000
VA,20146,0.060000
VA,20147,0.060000
VA,20148,0.060000
VA,20149,0.060000
VA,20151,0.060000
VA,20152,0.060000
VA,20153,0.060000
VA,20155,0.060000
VA,20156,0.060000
VA,20158,0.060000
VA,20159,0.060000
VA,20160,0.060000
VA,20163,0.060000
VA,20164,0.060000
VA,20165,0.060000
VA,20166,0.060000
VA,20167,0.060000
VA,20168,0.060000
VA,20169,0.060000
VA,20170,0.060000
VA,20171,0.060000
VA,20172,0.060000
VA,20175,0.060000
VA,20176,0.060000
VA,20177,0.060000
VA,20178,0.060000
VA,20180,0.060000
VA,20181,0.060000
VA,20182,0.060000
VA,20184,0.060000
VA,20185,0.053000
VA,20186,0.053000
VA,20187,0.060000
VA,20188,0.053000
VA,20189,0.060000
VA,20190,0.060000
VA,20191,0.060000
VA,20192,0.060000
VA,20194,0.060000
VA,20195,0.060000
VA,20196,0.060000
VA,20197,0.060000
VA,20198,0.053000
VA,22003,0.060000
VA,22009,0.060000
VA,22015,0.060000
VA,22025,0.060000
VA,22026,0.060000
VA,22027,0.060000
VA,22030,0.060000
VA,22031,0.060000
VA,22032,0.060000
VA,22033,0.060000
VA,22034,0.060000
VA,22035,0.060000
VA,22036,0.060000
VA,22037,0.060000
VA,22038,0.060000
VA,22039,0.060000
VA,22040,0.060000
VA,22041,0.060000
VA,22042,0.060000
VA,22043,0.060000
VA,22044,0.060000
VA,22046,0.060000
VA,22060,0.060000
VA,22066,0.060000
VA,22067,0.060000
VA,22079,0.060000
VA,22081,0.060000
VA,22082,0.060000
VA,22095,0.060000
VA,22096,0.060000
VA,22101,0.060000
VA,22102,0.060000
VA,22103,0.060000
VA,22106,0.060000
VA,22107,0.060000
VA,22108,0.060000
VA,22109,0.060000
VA,22116,0.060000
VA,22118,0.060000
VA,22119,0.060000
VA,22121,0.060000
VA,22122,0.060000
VA,22124,0.060000
VA,22125,0.060000
VA,22134,0.060000
VA,22135,0.060000
VA,22150,0.060000
VA,22151,0.060000
VA,22152,0.060000
VA,22153,0.060000
VA,22156,0.060000
VA,22158,0.060000
VA,22159,0.060000
VA,22160,0.060000
VA,22161,0.060000
VA,22172,0.060000
VA,22180,0.060000
VA,22181,0.060000
VA,22182,0.060000
VA,22183,0.060000
VA,22185,0.060000
VA,22191,0.060000
VA,22192,0.060000
VA,22193,0.060000
VA,22194,0.060000
VA,22195,0.060000
VA,22199,0.060000
VA,22201,0.060000
VA,22202,0.060000
VA,22203,0.060000
VA,22204,0.060000
VA,22205,0.060000
VA,22206,0.060000
VA,22207,0.060000
VA,22209,0.060000
VA,22210,0.060000
VA,22211,0.060000
VA,22212,0.060000
VA,22213,0.060000
VA,22214,0.060000
VA,22215,0.060000
VA,22216,0.060000
VA,22217,0.060000
VA,22219,0.060000
VA,22225,0.060000
