State,ZipCode,EstimatedCombinedRate
WA,83854,0.081000
WA,83856,0.077000
WA,98001,0.102000
WA,98002,0.102000
WA,98003,0.101000
WA,98004,0.102000
WA,98005,0.102000
WA,98006,0.101000
WA,98007,0.101000
WA,98008,0.101000
WA,98009,0.101000
WA,98010,0.087000
WA,98011,0.105000
WA,98012,0.106000
WA,98013,0.087000
WA,98014,0.087000
WA,98015,0.101000
WA,98019,0.089000
WA,98020,0.105000
WA,98021,0.105000
WA,98022,0.088000
WA,98023,0.103000
WA,98024,0.089000
WA,98025,0.087000
WA,98026,0.106000
WA,98027,0.101000
WA,98028,0.102000
WA,98029,0.101000
WA,98030,0.102000
WA,98031,0.101000
WA,98032,0.102000
WA,98033,0.102000
WA,98034,0.102000
WA,98035,0.101000
WA,98036,0.106000
WA,98037,0.106000
WA,98038,0.087000
WA,98039,0.101000
WA,98040,0.101000
WA,98041,0.101000
WA,98042,0.102000
WA,98043,0.105000
WA,98045,0.090000
WA,98046,0.106000
WA,98047,0.102000
WA,98050,0.087000
WA,98051,0.087000
WA,98052,0.102000
WA,98053,0.101000
WA,98055,0.101000
WA,98056,0.101000
WA,98057,0.101000
WA,98058,0.101000
WA,98059,0.101000
WA,98061,0.092000
WA,98062,0.101000
WA,98063,0.101000
WA,98064,0.101000
WA,98065,0.089000
WA,98068,0.087000
WA,98070,0.087000
WA,98071,0.102000
WA,98072,0.101000
WA,98073,0.101000
WA,98074,0.101000
WA,98075,0.101000
WA,98077,0.101000
WA,98082,0.106000
WA,98083,0.102000
WA,98087,0.106000
WA,98089,0.101000
WA,98092,0.102000
WA,98093,0.101000
WA,98101,0.102500
WA,98102,0.102500
WA,98103,0.102500
WA,98104,0.102500
WA,98105,0.102500
WA,98106,0.102500
WA,98107,0.102500
WA,98108,0.102500
WA,98109,0.102500
WA,98110,0.092000
WA,98111,0.102500
WA,98112,0.102500
WA,98113,0.102500
WA,98114,0.102500
WA,98115,0.102500
WA,98116,0.102500
WA,98117,0.102500
WA,98118,0.102500
WA,98119,0.102500
WA,98121,0.102500
WA,98122,0.102500
WA,98124,0.102500
WA,98125,0.103000
WA,98126,0.102500
WA,98127,0.102500
WA,98129,0.102500
WA,98131,0.102500
WA,98133,0.105000
WA,98134,0.102500
WA,98136,0.102500
WA,98138,0.101000
WA,98139,0.102500
WA,98141,0.102500
WA,98144,0.102500
WA,98145,0.102500
WA,98146,0.102500
WA,98148,0.101000
WA,98154,0.102500
WA,98155,0.105000
WA,98158,0.101000
WA,98160,0.102500
WA,98161,0.102500
WA,98164,0.102500
WA,98165,0.102500
WA,98166,0.101000
WA,98168,0.101000
WA,98170,0.102500
WA,98174,0.102500
WA,98175,0.102500
WA,98177,0.105000
WA,98178,0.102500
WA,98181,0.102500
WA,98185,0.102500
WA,98188,0.101000
WA,98190,0.102500
WA,98191,0.102500
WA,98194,0.102500
WA,98195,0.102500
WA,98198,0.101000
WA,98199,0.102500
WA,98201,0.099000
WA,98203,0.099000
WA,98204,0.105000
WA,98206,0.099000
WA,98207,0.099000
WA,98208,0.106000
WA,98213,0.099000
WA,98220,0.086000
WA,98221,0.088000
WA,98222,0.083000
WA,98223,0.094000
WA,98224,0.087000
WA,98225,0.088000
WA,98226,0.088000
WA,98227,0.088000
WA,98228,0.088000
WA,98229,0.088000
WA,98230,0.088000
WA,98231,0.088000
WA,98232,0.086000
WA,98233,0.086000
WA,98235,0.086000
WA,98236,0.088000
WA,98237,0.086000
WA,98238,0.082000
WA,98239,0.088000
WA,98240,0.086000
WA,98241,0.091000
WA,98243,0.083000
WA,98244,0.086000
WA,98245,0.083000
WA,98247,0.086000
WA,98248,0.088000
WA,98249,0.088000
WA,98250,0.085000
WA,98251,0.091000
WA,98252,0.091000
WA,98253,0.088000
WA,98255,0.086000
WA,98256,0.091000
WA,98257,0.086000
WA,98258,0.094000
WA,98259,0.094000
WA,98260,0.088000
WA,98261,0.083000
WA,98262,0.086000
WA,98263,0.086000
WA,98264,0.088000
WA,98266,0.086000
WA,98267,0.086000
WA,98270,0.094000
WA,98271,0.094000
WA,98272,0.094000
WA,98273,0.088000
WA,98274,0.088000
WA,98275,0.106000
WA,98276,0.086000
WA,98277,0.090000
WA,98278,0.090000
WA,98279,0.083000
WA,98280,0.083000
WA,98281,0.086000
WA,98282,0.088000
WA,98283,0.086000
WA,98284,0.086000
WA,98286,0.083000
WA,98287,0.091000
WA,98288,0.087000
WA,98290,0.094000
WA,98291,0.093000
WA,98292,0.094000
WA,98293,0.091000
WA,98294,0.091000
WA,98295,0.086000
WA,98296,0.106000
WA,98297,0.083000
WA,98303,0.080000
WA,98304,0.080000
WA,98305,0.086000
WA,98310,0.092000
WA,98311,0.092000
WA,98312,0.092000
WA,98314,0.092000
WA,98315,0.092000
WA,98320,0.091000
WA,98321,0.094000
WA,98322,0.092000
WA,98323,0.080000
WA,98324,0.086000
WA,98325,0.091000
WA,98326,0.086000
WA,98327,0.094000
WA,98328,0.080000
WA,98329,0.092000
WA,98330,0.080000
WA,98331,0.091000
WA,98332,0.088000
WA,98333,0.080000
WA,98335,0.088000
WA,98336,0.078000
WA,98337,0.092000
WA,98338,0.094000
WA,98339,0.091000
WA,98340,0.092000
WA,98342,0.092000
WA,98343,0.086000
WA,98344,0.080000
WA,98345,0.092000
WA,98346,0.092000
WA,98348,0.080000
WA,98349,0.080000
WA,98350,0.086000
WA,98351,0.080000
WA,98352,0.094000
WA,98353,0.092000
WA,98354,0.101000
WA,98355,0.078000
WA,98356,0.078000
WA,98357,0.086000
WA,98358,0.091000
WA,98359,0.092000
WA,98360,0.094000
WA,98361,0.078000
WA,98362,0.088000
WA,98363,0.088000
WA,98364,0.092000
WA,98365,0.091000
WA,98366,0.093000
WA,98367,0.093000
WA,98368,0.091000
WA,98370,0.093000
WA,98371,0.100000
WA,98372,0.101000
WA,98373,0.100000
WA,98374,0.100000
WA,98375,0.100000
WA,98376,0.091000
WA,98377,0.078000
WA,98378,0.092000
WA,98380,0.092000
WA,98381,0.086000
WA,98382,0.091000
WA,98383,0.092000
WA,98384,0.092000
WA,98385,0.080000
WA,98386,0.092000
WA,98387,0.100000
WA,98388,0.100000
WA,98390,0.101000
WA,98391,0.101000
WA,98392,0.092000
WA,98393,0.092000
WA,98394,0.080000
WA,98395,0.080000
WA,98396,0.080000
WA,98397,0.080000
WA,98398,0.080000
WA,98401,0.103000
WA,98402,0.103000
WA,98403,0.103000
WA,98404,0.103000
WA,98405,0.103000
WA,98406,0.103000
WA,98407,0.103000
WA,98408,0.103000
WA,98409,0.103000
WA,98411,0.103000
WA,98412,0.103000
WA,98413,0.103000
WA,98415,0.103000
WA,98416,0.103000
WA,98417,0.103000
WA,98418,0.103000
WA,98419,0.103000
WA,98421,0.103000
WA,98422,0.103000
WA,98424,0.103000
WA,98430,0.094000
WA,98431,0.094000
WA,98433,0.103000
WA,98438,0.100000
WA,98439,0.100000
WA,98443,0.103000
WA,98444,0.103000
WA,98445,0.103000
WA,98446,0.100000
WA,98447,0.100000
WA,98448,0.100000
WA,98464,0.100000
WA,98465,0.103000
WA,98466,0.103000
WA,98467,0.103000
WA,98471,0.103000
WA,98481,0.103000
WA,98490,0.103000
WA,98493,0.094000
WA,98496,0.100000
WA,98497,0.100000
WA,98498,0.100000
WA,98499,0.103000
WA,98501,0.095000
WA,98502,0.095000
WA,98503,0.095000
WA,98504,0.095000
WA,98505,0.093000
WA,98506,0.095000
WA,98507,0.095000
WA,98508,0.095000
WA,98509,0.095000
WA,98511,0.095000
WA,98512,0.095000
WA,98513,0.095000
WA,98516,0.095000
WA,98520,0.090800
WA,98522,0.078000
WA,98524,0.085000
