State,ZipCode,EstimatedCombinedRate
WI,53001,0.055000
WI,53002,0.055000
WI,53003,0.055000
WI,53004,0.055000
WI,53005,0.055000
WI,53006,0.055000
WI,53007,0.055000
WI,53008,0.050000
WI,53010,0.055000
WI,53011,0.055000
WI,53012,0.055000
WI,53013,0.055000
WI,53014,0.055000
WI,53015,0.055000
WI,53016,0.055000
WI,53017,0.055000
WI,53018,0.050000
WI,53019,0.055000
WI,53020,0.055000
WI,53021,0.055000
WI,53022,0.055000
WI,53023,0.055000
WI,53024,0.055000
WI,53026,0.055000
WI,53027,0.055000
WI,53029,0.055000
WI,53031,0.055000
WI,53032,0.055000
WI,53033,0.055000
WI,53034,0.055000
WI,53035,0.055000
WI,53036,0.055000
WI,53037,0.055000
WI,53038,0.055000
WI,53039,0.055000
WI,53040,0.055000
WI,53042,0.055000
WI,53044,0.055000
WI,53045,0.050000
WI,53046,0.050000
WI,53047,0.055000
WI,53048,0.055000
WI,53049,0.055000
WI,53050,0.055000
WI,53051,0.055000
WI,53052,0.050000
WI,53056,0.050000
WI,53057,0.055000
WI,53058,0.050000
WI,53059,0.055000
WI,53060,0.055000
WI,53061,0.055000
WI,53062,0.055000
WI,53063,0.050000
WI,53064,0.050000
WI,53065,0.055000
WI,53066,0.055000
WI,53069,0.050000
WI,53070,0.055000
WI,53072,0.050000
WI,53073,0.055000
WI,53074,0.055000
WI,53075,0.055000
WI,53076,0.055000
WI,53078,0.055000
WI,53079,0.055000
WI,53080,0.055000
WI,53081,0.055000
WI,53082,0.055000
WI,53083,0.055000
WI,53085,0.055000
WI,53086,0.055000
WI,53088,0.055000
WI,53089,0.050000
WI,53090,0.055000
WI,53091,0.055000
WI,53092,0.055000
WI,53093,0.055000
WI,53094,0.055000
WI,53095,0.055000
WI,53097,0.055000
WI,53098,0.055000
WI,53099,0.055000
WI,53101,0.055000
WI,53102,0.055000
WI,53103,0.050000
WI,53104,0.055000
WI,53105,0.055000
WI,53108,0.055000
WI,53109,0.055000
WI,53110,0.055000
WI,53114,0.055000
WI,53115,0.055000
WI,53118,0.055000
WI,53119,0.055000
WI,53120,0.055000
WI,53121,0.055000
WI,53122,0.055000
WI,53125,0.055000
WI,53126,0.050000
WI,53127,0.050000
WI,53128,0.055000
WI,53129,0.055000
WI,53130,0.055000
WI,53132,0.055000
WI,53137,0.055000
WI,53138,0.055000
WI,53139,0.055000
WI,53140,0.055000
WI,53141,0.055000
WI,53142,0.055000
WI,53143,0.055000
WI,53144,0.055000
WI,53146,0.050000
WI,53147,0.055000
WI,53148,0.055000
WI,53149,0.055000
WI,53150,0.055000
WI,53151,0.055000
WI,53152,0.055000
WI,53153,0.050000
WI,53154,0.055000
WI,53156,0.055000
WI,53157,0.055000
WI,53158,0.055000
WI,53159,0.055000
WI,53167,0.050000
WI,53168,0.055000
WI,53170,0.055000
WI,53171,0.055000
WI,53172,0.055000
WI,53176,0.055000
WI,53177,0.055000
WI,53178,0.055000
WI,53179,0.055000
WI,53181,0.055000
WI,53182,0.055000
WI,53183,0.050000
WI,53184,0.055000
WI,53185,0.050000
WI,53186,0.050000
WI,53187,0.050000
WI,53188,0.050000
WI,53189,0.050000
WI,53190,0.055000
WI,53191,0.055000
WI,53192,0.055000
WI,53194,0.055000
WI,53195,0.055000
WI,53201,0.055000
WI,53202,0.055000
WI,53203,0.055000
WI,53204,0.055000
WI,53205,0.055000
WI,53206,0.055000
WI,53207,0.055000
WI,53208,0.055000
WI,53209,0.055000
WI,53210,0.055000
WI,53211,0.055000
WI,53212,0.055000
WI,53213,0.055000
WI,53214,0.055000
WI,53215,0.055000
WI,53216,0.055000
WI,53217,0.055000
WI,53218,0.055000
WI,53219,0.055000
WI,53220,0.055000
WI,53221,0.055000
WI,53222,0.055000
WI,53223,0.055000
WI,53224,0.055000
WI,53225,0.055000
WI,53226,0.055000
WI,53227,0.055000
WI,53228,0.055000
WI,53233,0.055000
WI,53234,0.055000
WI,53235,0.055000
WI,53237,0.055000
WI,53259,0.055000
WI,53263,0.055000
WI,53274,0.055000
WI,53278,0.055000
WI,53288,0.055000
WI,53290,0.055000
WI,53293,0.055000
WI,53295,0.055000
WI,53401,0.050000
WI,53402,0.055000
WI,53403,0.055000
WI,53404,0.050000
WI,53405,0.050000
WI,53406,0.050000
WI,53407,0.050000
WI,53408,0.050000
WI,53501,0.055000
WI,53502,0.055000
WI,53503,0.055000
WI,53504,0.055000
WI,53505,0.055000
WI,53506,0.055000
WI,53507,0.055000
WI,53508,0.055000
WI,53510,0.055000
WI,53511,0.055000
WI,53512,0.055000
WI,53515,0.055000
WI,53516,0.055000
WI,53517,0.055000
WI,53518,0.055000
WI,53520,0.055000
WI,53521,0.055000
WI,53522,0.055000
WI,53523,0.055000
WI,53525,0.055000
WI,53526,0.055000
WI,53527,0.055000
WI,53528,0.055000
WI,53529,0.055000
WI,53530,0.055000
WI,53531,0.055000
WI,53532,0.055000
WI,53533,0.055000
WI,53534,0.055000
WI,53535,0.055000
WI,53536,0.055000
WI,53537,0.055000
WI,53538,0.055000
WI,53540,0.055000
WI,53541,0.055000
WI,53542,0.055000
WI,53543,0.055000
WI,53544,0.055000
WI,53545,0.055000
WI,53546,0.055000
WI,53547,0.055000
WI,53548,0.055000
WI,53549,0.055000
WI,53550,0.055000
WI,53551,0.055000
WI,53553,0.055000
WI,53554,0.055000
WI,53555,0.055000
WI,53556,0.055000
WI,53557,0.055000
WI,53558,0.055000
WI,53559,0.055000
WI,53560,0.055000
WI,53561,0.055000
WI,53562,0.055000
WI,53563,0.055000
WI,53565,0.055000
WI,53566,0.055000
WI,53569,0.055000
WI,53570,0.055000
WI,53571,0.055000
WI,53572,0.055000
WI,53573,0.055000
WI,53574,0.055000
WI,53575,0.055000
WI,53576,0.055000
WI,53577,0.055000
WI,53578,0.055000
WI,53579,0.055000
WI,53580,0.055000
WI,53581,0.055000
WI,53582,0.055000
WI,53583,0.055000
WI,53584,0.055000
WI,53585,0.055000
WI,53586,0.055000
WI,53587,0.055000
WI,53588,0.055000
WI,53589,0.055000
WI,53590,0.055000
WI,53593,0.055000
WI,53594,0.055000
WI,53595,0.055000
WI,53596,0.055000
WI,53597,0.055000
WI,53598,0.055000
WI,53599,0.055000
WI,53701,0.055000
WI,53702,0.055000
WI,53703,0.055000
WI,53704,0.055000
WI,53705,0.055000
WI,53706,0.055000
WI,53707,0.055000
WI,53708,0.055000
WI,53711,0.055000
WI,53713,0.055000
WI,53714,0.055000
WI,53715,0.055000
WI,53716,0.055000
WI,53717,0.055000
WI,53718,0.055000
WI,53719,0.055000
WI,53725,0.055000
WI,53726,0.055000
WI,53744,0.055000
WI,53774,0.055000
WI,53777,0.055000
WI,53782,0.055000
WI,53783,0.055000
WI,53784,0.055000
WI,53785,0.055000
WI,53786,0.055000
WI,53788,0.055000
WI,53790,0.055000
WI,53791,0.055000
WI,53792,0.055000
WI,53793,0.055000
WI,53794,0.055000
WI,53801,0.055000
WI,53802,0.055000
WI,53803,0.055000
WI,53804,0.055000
WI,53805,0.055000
WI,53806,0.055000
WI,53807,0.055000
WI,53808,0.055000
WI,53809,0.055000
WI,53810,0.055000
WI,53811,0.055000
WI,53812,0.055000
