State,ZipCode,EstimatedCombinedRate
WV,20135,0.060000
WV,24701,0.070000
WV,24712,0.070000
WV,24714,0.060000
WV,24715,0.060000
WV,24716,0.060000
WV,24719,0.060000
WV,24724,0.060000
WV,24726,0.060000
WV,24729,0.060000
WV,24731,0.060000
WV,24732,0.060000
WV,24733,0.060000
WV,24736,0.060000
WV,24737,0.060000
WV,24738,0.060000
WV,24739,0.070000
WV,24740,0.070000
WV,24747,0.060000
WV,24751,0.060000
WV,24801,0.060000
WV,24808,0.060000
WV,24811,0.060000
WV,24813,0.060000
WV,24815,0.060000
WV,24816,0.060000
WV,24817,0.060000
WV,24818,0.060000
WV,24822,0.060000
WV,24823,0.060000
WV,24826,0.060000
WV,24827,0.060000
WV,24828,0.060000
WV,24829,0.060000
WV,24830,0.060000
WV,24831,0.060000
WV,24834,0.060000
WV,24836,0.060000
WV,24839,0.060000
WV,24843,0.060000
WV,24844,0.060000
WV,24845,0.060000
WV,24846,0.060000
WV,24847,0.060000
WV,24848,0.060000
WV,24849,0.060000
WV,24850,0.060000
WV,24851,0.060000
WV,24853,0.060000
WV,24854,0.060000
WV,24855,0.060000
WV,24857,0.060000
WV,24859,0.060000
WV,24860,0.060000
WV,24861,0.060000
WV,24862,0.060000
WV,24866,0.060000
WV,24867,0.060000
WV,24868,0.060000
WV,24869,0.060000
WV,24870,0.060000
WV,24871,0.060000
WV,24872,0.060000
WV,24873,0.060000
WV,24874,0.060000
WV,24878,0.060000
WV,24879,0.060000
WV,24880,0.060000
WV,24881,0.060000
WV,24882,0.060000
WV,24884,0.060000
WV,24887,0.060000
WV,24888,0.060000
WV,24892,0.060000
WV,24894,0.060000
WV,24895,0.060000
WV,24898,0.060000
WV,24901,0.070000
WV,24902,0.060000
WV,24910,0.070000
WV,24915,0.060000
WV,24916,0.060000
WV,24918,0.060000
WV,24920,0.060000
WV,24924,0.060000
WV,24925,0.060000
WV,24927,0.060000
WV,24931,0.060000
WV,24934,0.060000
WV,24935,0.060000
WV,24938,0.060000
WV,24941,0.060000
WV,24943,0.060000
WV,24944,0.060000
WV,24945,0.060000
WV,24946,0.060000
WV,24951,0.060000
WV,24954,0.060000
WV,24957,0.060000
WV,24962,0.060000
WV,24963,0.060000
WV,24966,0.060000
WV,24970,0.060000
WV,24974,0.060000
WV,24976,0.060000
WV,24977,0.060000
WV,24981,0.060000
WV,24983,0.060000
WV,24984,0.060000
WV,24985,0.060000
WV,24986,0.060000
WV,24991,0.060000
WV,24993,0.060000
WV,25002,0.060000
WV,25003,0.060000
WV,25005,0.060000
WV,25007,0.060000
WV,25008,0.060000
WV,25009,0.060000
WV,25011,0.060000
WV,25015,0.060000
WV,25019,0.060000
WV,25021,0.060000
WV,25022,0.060000
WV,25024,0.060000
WV,25025,0.060000
WV,25026,0.060000
WV,25028,0.060000
WV,25030,0.060000
WV,25031,0.060000
WV,25033,0.060000
WV,25035,0.060000
WV,25036,0.060000
WV,25039,0.060000
WV,25040,0.060000
WV,25043,0.060000
WV,25044,0.060000
WV,25045,0.060000
WV,25047,0.060000
WV,25048,0.060000
WV,25049,0.060000
WV,25051,0.060000
WV,25053,0.060000
WV,25054,0.060000
WV,25057,0.060000
WV,25059,0.060000
WV,25060,0.060000
WV,25061,0.060000
WV,25062,0.060000
WV,25063,0.060000
WV,25064,0.070000
WV,25067,0.060000
WV,25070,0.060000
WV,25071,0.060000
WV,25075,0.060000
WV,25076,0.060000
WV,25079,0.060000
WV,25081,0.060000
WV,25082,0.060000
WV,25083,0.060000
WV,25085,0.060000
WV,25086,0.060000
WV,25088,0.060000
WV,25090,0.060000
WV,25093,0.060000
WV,25102,0.060000
WV,25103,0.060000
WV,25106,0.060000
WV,25107,0.060000
WV,25108,0.060000
WV,25109,0.060000
WV,25110,0.060000
WV,25111,0.060000
WV,25112,0.060000
WV,25113,0.060000
WV,25114,0.060000
WV,25115,0.060000
WV,25118,0.060000
WV,25119,0.060000
WV,25121,0.060000
WV,25123,0.060000
WV,25124,0.060000
WV,25125,0.060000
WV,25126,0.060000
WV,25130,0.060000
WV,25132,0.060000
WV,25133,0.060000
WV,25134,0.060000
WV,25136,0.070000
WV,25139,0.060000
WV,25140,0.060000
WV,25141,0.060000
WV,25142,0.060000
WV,25143,0.070000
WV,25148,0.060000
WV,25149,0.060000
WV,25152,0.060000
WV,25154,0.060000
WV,25156,0.060000
WV,25159,0.060000
WV,25160,0.060000
WV,25161,0.060000
WV,25162,0.060000
WV,25164,0.060000
WV,25165,0.060000
WV,25168,0.060000
WV,25169,0.060000
WV,25173,0.060000
WV,25174,0.060000
WV,25177,0.070000
WV,25180,0.060000
WV,25181,0.060000
WV,25183,0.060000
WV,25185,0.060000
WV,25186,0.070000
WV,25187,0.060000
WV,25193,0.070000
WV,25201,0.060000
WV,25202,0.060000
WV,25203,0.060000
WV,25204,0.060000
WV,25205,0.060000
WV,25206,0.060000
WV,25208,0.060000
WV,25209,0.060000
WV,25211,0.060000
WV,25213,0.060000
WV,25214,0.060000
WV,25231,0.060000
WV,25234,0.060000
WV,25235,0.060000
WV,25239,0.060000
WV,25241,0.060000
WV,25243,0.060000
WV,25244,0.060000
WV,25245,0.060000
WV,25247,0.060000
WV,25248,0.060000
WV,25251,0.060000
WV,25252,0.060000
WV,25253,0.060000
WV,25259,0.060000
WV,25260,0.060000
WV,25261,0.060000
WV,25262,0.060000
WV,25264,0.060000
WV,25265,0.060000
WV,25266,0.060000
WV,25267,0.060000
WV,25268,0.060000
