State,ZipCode,EstimatedCombinedRate
WY,57717,0.060000
WY,82001,0.060000
WY,82002,0.060000
WY,82003,0.060000
WY,82005,0.060000
WY,82006,0.060000
WY,82007,0.060000
WY,82009,0.060000
WY,82010,0.060000
WY,82050,0.060000
WY,82051,0.060000
WY,82052,0.060000
WY,82053,0.060000
WY,82054,0.060000
WY,82055,0.060000
WY,82058,0.060000
WY,82059,0.060000
WY,82060,0.060000
WY,82061,0.060000
WY,82063,0.060000
WY,82070,0.060000
WY,82071,0.060000
WY,82072,0.060000
WY,82073,0.060000
WY,82081,0.060000
WY,82082,0.060000
WY,82083,0.060000
WY,82084,0.060000
WY,82190,0.060000
WY,82201,0.060000
WY,82210,0.060000
WY,82212,0.052500
WY,82213,0.060000
WY,82214,0.060000
WY,82215,0.060000
WY,82217,0.052500
WY,82218,0.052500
WY,82219,0.052500
WY,82221,0.060000
WY,82222,0.060000
WY,82223,0.052500
WY,82224,0.060000
WY,82225,0.060000
WY,82227,0.060000
WY,82229,0.050000
WY,82240,0.052500
WY,82242,0.060000
WY,82243,0.052500
WY,82244,0.052500
WY,82301,0.060000
WY,82310,0.055000
WY,82321,0.060000
WY,82322,0.060000
WY,82323,0.060000
WY,82324,0.060000
WY,82325,0.060000
WY,82327,0.060000
WY,82329,0.060000
WY,82331,0.060000
WY,82332,0.060000
WY,82334,0.060000
WY,82335,0.060000
WY,82336,0.060000
WY,82401,0.060000
WY,82410,0.050000
WY,82411,0.050000
WY,82412,0.050000
WY,82414,0.040000
WY,82420,0.050000
WY,82421,0.050000
WY,82422,0.050000
WY,82423,0.050000
WY,82426,0.050000
WY,82428,0.050000
WY,82430,0.060000
WY,82431,0.050000
WY,82432,0.050000
WY,82433,0.040000
WY,82434,0.050000
WY,82435,0.050000
WY,82440,0.040000
WY,82441,0.050000
WY,82442,0.050000
WY,82443,0.060000
WY,82450,0.040000
WY,82501,0.055000
WY,82510,0.055000
WY,82512,0.055000
WY,82513,0.055000
WY,82514,0.055000
WY,82515,0.055000
WY,82516,0.055000
WY,82520,0.055000
WY,82523,0.055000
WY,82524,0.055000
WY,82601,0.050000
WY,82602,0.050000
WY,82604,0.060000
WY,82605,0.050000
WY,82609,0.050000
WY,82615,0.060000
WY,82620,0.050000
WY,82630,0.050000
WY,82633,0.050000
WY,82635,0.050000
WY,82636,0.050000
WY,82637,0.050000
WY,82638,0.055000
WY,82639,0.050000
WY,82640,0.050000
WY,82642,0.060000
WY,82643,0.050000
WY,82644,0.050000
WY,82646,0.050000
WY,82648,0.050000
WY,82649,0.055000
WY,82701,0.060000
WY,82710,0.060000
WY,82711,0.060000
WY,82712,0.060000
WY,82714,0.060000
WY,82715,0.050000
WY,82716,0.050000
WY,82717,0.050000
WY,82718,0.050000
WY,82720,0.060000
WY,82721,0.060000
WY,82723,0.050000
WY,82725,0.050000
WY,82727,0.050000
WY,82729,0.060000
WY,82730,0.060000
WY,82731,0.060000
WY,82732,0.050000
WY,82801,0.060000
WY,82831,0.060000
WY,82832,0.060000
WY,82833,0.060000
WY,82834,0.050000
WY,82835,0.060000
WY,82836,0.060000
WY,82837,0.060000
WY,82838,0.060000
WY,82839,0.060000
WY,82840,0.050000
WY,82842,0.060000
WY,82844,0.060000
WY,82845,0.060000
WY,82901,0.060000
WY,82902,0.060000
WY,82922,0.040000
WY,82923,0.040000
WY,82925,0.040000
WY,82929,0.060000
WY,82930,0.050000
WY,82931,0.050000
WY,82932,0.060000
WY,82933,0.050000
WY,82934,0.060000
WY,82935,0.060000
WY,82936,0.050000
WY,82937,0.050000
WY,82938,0.060000
WY,82939,0.050000
WY,82941,0.040000
WY,82942,0.060000
WY,82943,0.060000
WY,82944,0.050000
WY,82945,0.060000
WY,83001,0.060000
WY,83002,0.060000
WY,83011,0.060000
WY,83012,0.060000
WY,83013,0.060000
WY,83014,0.060000
WY,83025,0.080000
WY,83101,0.050000
WY,83110,0.050000
WY,83111,0.050000
WY,83112,0.050000
WY,83113,0.040000
WY,83114,0.050000
WY,83115,0.040000
WY,83116,0.050000
WY,83118,0.050000
WY,83119,0.050000
WY,83120,0.050000
WY,83121,0.050000
WY,83122,0.050000
WY,83123,0.050000
WY,83124,0.050000
WY,83126,0.050000
WY,83127,0.050000
WY,83128,0.050000
WY,83414,0.080000
